Honolulu County Republican Party,12000,59997
SAFE,12000,30995
Ron Curtis for Hawaii,10000,19998
Maui 'Ohana Candidates,9944,19885
Solar Rebate,9000,30994
Civiqs,6000,14998
ConAm For Keiki,2000,9998
Airbnb Citizen,1000,12991
Maui Rise Up,1000,4999
Maui Causes,1000,4999
Friends of Tommy Waters,1000,4999
National Republican Congressional Committee,709,1851
Tom Steyer,445,1133
Penzeys Spices,242,593
Heidi Heitkamp,181,375
Concealed Online,80,419
Defenders of Wildlife,76,381
Donald J. Trump,71,1144
Indivisible Guide,66,1339
Everytown for Gun Safety,62,327
Bill Nelson,61,302
Ocean Conservancy,58,334
Pfizer,55,287
Parks Project,54,269
Goods Unite Us,47,235
Joe Kennedy III,42,219
Jay Inslee,34,68
Proud Right Winger,31,124
Finance Watchdogs,30,161
Human Coalition,30,149
Angie Craig,26,53
Alliance Defending Freedom,25,123
Donnie Harrison for Wake County Sheriff,24,48
Phil Bredesen,22,44
Louder with Crowder,19,38
Impact Dog Crates,17,87
Beto O'Rourke,16,33
Association of American Railroads,14,28
Republicans for the Rule of Law,13,63
PrintedKicks,13,32
Restore the Mississippi River Delta,10,52
Colorado Liberty PAC,10,20
Environmental Defense Fund,9,141
Kyrsten Sinema,9,49
Republican Party of Maricopa County,9,44
Your Trump Shop,9,43
Sand Cloud,8,40
Science for Humans and Freedom Institute,8,39
National Domestic Workers Alliance,7,40
End Citizens United,6,34
Fix Politics Now,6,32
World Vision USA,5,25
Heifer International,4,1019
Donald Trump Is My President,4,18
VoteTogether,3,380
Resistance School,3,17
American AF,3,17
Association of Young Americans,3,14
Planned Parenthood Action,2,14
I Love My Freedom,2,12
CREDO Mobile,2,12
Democratic Attorneys General Association,2,10
Derek Kitchen,2,9
Democrats,2,9
Elizabeth Warren,2,8
Blue Wave,2,8
Linda Koop,2,4
UnitedVoice.com,1,7
Shield Republic,1,7
Newseum,1,6
Cooperative Action Network,1,6
Ron DiNicola for Congress,1,5
ACLU of Northern California,1,5
Kraut for CT.,1,3
Friends of Derek Kawakami,0,11988
Parents for Public Schools Hawaii,0,3996
Juno Ann Apalla,0,3996
Democratic Party,0,3949
PragerU,0,1199
Jon Tester,0,999
Co-ops Vote,0,999
Politicon,0,542
Exclusive Apparel,0,227
Swing Left,0,204
EMILY's List,0,116
Gavin Newsom,0,100
Working Families Party,0,54
Askov Finlayson,0,51
Framed Tweets,0,29
Resist Trump's agenda,0,24
Chris Pappas for Congress,0,22
Tina Smith,0,19
Military Officers Association of America (MOAA),0,19
National Network of Abortion Funds,0,17
Nancy Soderberg for FL Congress District 6,0,17
Vote YES for New Smyrna Beach Turnbull Creek Water Quality Bonds,0,16
Pi Yoga Pants,0,16
Tony Evers,0,15
Greenpeace USA,0,15
Time To Vote On Climate,0,14
Monuments For All,0,14
LCV Victory Fund,0,13
Shireen for Congress,0,12
Power In Cooperation,0,12
NRDC Action Fund,0,12
The Western Journal,0,10
CARE,0,10
The People For Bernie Sanders,0,9
MoveOn,0,9
Giving Brush,0,8
Unite America,0,7
Rep. Jeff Helfrich,0,7
Disrupt Aging,0,6
Adam Schiff,0,6
Capital Research Center,0,5
American Friends Service Committee,0,5
Winning For Women,0,4
Unspeakable Crimes,0,4
ThoughtFull,0,4
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,0,4
Our Kids 1st - Our Schools Now,0,4
Chris Murphy,0,4
We The People Holsters,0,3
Seafood Harvesters of America,0,3
Planned Parenthood,0,3
It Starts Today - Missouri,0,3
Flip It Blue,0,3
Buffy Wicks,0,3
Phyllis Chesler,0,2
Kevin McCarthy,0,2
Eric Bolling,0,2
Dean Phillips for Congress,0,2
American Jewish World Service - AJWS,0,2
"Philly Women Rally, Inc.",0,1
Anti Tea Party MEMEs3,0,1
Alliance for a Better Minnesota,0,1
