Idaho Freedom Foundation,9970
Janice for Idaho,5000
Greg Pruett,5000
"CWI Yes, Inc.",5000
"BJ Swanson for Latah County Treasurer; Greg Mann, CPA, Campaign Treasurer",5000
AARP Idaho,5000
Backcountry Hunters & Anglers,2631
Healthy Hospital Healthy Community PAC,1231
"the Collum for Idaho Campaign, Donna Pence Treasurer  ",1000
Swisher for Idaho,1000
Management & Training Corporation,1000
"Kelly Yvonne Mitchell for Ada County, Camille Mitchell Treasurer",1000
Inside Idaho Politics Podcast,1000
Idaho Education News,1000
IDLCC,1000
"Doug Zenner for County Commissioner, Corinne Zenner Treasurer",1000
Committee to Elect Dotti Owens For Ada County Coroner,1000
Cindy Wilson for Idaho Schools,1000
" the Committee to Elect Lynn M Luker, James Hodges - Treasurer",1000
Sutherland for Washington,614
Riley J Hill for Mayor,534
Progress News Network,463
ReBuild USA,214
Dissent Pins,212
Washington Policy Center,184
Kilili Sablan,84
"Wolf PAC. This message has been authorized by Wolf PAC, 6230 Wilshire Blvd Suite 140, Los Angeles, CA 90048, David Koller, Treasurer. This message has not been authorized or approved by any candidate, candidate's committee, or ballot issue committee.",66
Defenders of Wildlife,61
Turning Point USA,56
Republican Senate Campaign Committee,54
Pew Research Center,49
"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",38
Gillibrand for Senate,38
the nonprofit Northwest Abortion Access Fund,37
Penzeys,36
Keep and Bear,36
Truthout,35
Heidi for North Dakota,32
Swing Left. Not authorized by any candidate or candidate's committee.,22
Elizabeth for MA,21
The Wilderness Society Action Fund,20
MJ for Texas,20
Conservation Northwest,17
Citizens for Monzel,17
CRTV,11
Alyse for Alaska,11
Teflon Film LLC,10
Human Coalition,10
"Donald J. Trump for President, Inc.",10
435 Labs,10
Sand Cloud,9
PETA,7
Movement Voter Project,7
USA for UNHCR,6
The Years Project Action Fund,6
Scamazon,6
OuterGoods LLC,6
Concealed Online,6
Build With Strength,6
WeThePeopleHolsters ,5
Shope for House 2018,5
Proud Right Winger,5
Beto for Texas,5
Sinema for Arizona,4
Jay Ruderman,4
Alliance San Diego Mobilization Fund - For Educational Purposes.,4
"All electoral content on this account is prepared by the SEIU Minn State Council Political Fund, 2233 University Ave W, #422, St. Paul, MN 55114, as an independent expenditure, and is not approved by any candidate nor is any candidate responsible for its content.",4
The Republican Party of Texas,3
The Dude's Designs,3
Lisa Brown for Congress,3
"Kristen Grimm for TN Senate, Susan Nance, Treasurer",3
Californians Against the Costly Disruption of Our Health Care,3
Bird + Stone ,3
the NRCC and not authorized by any candidate or candidate's committee.,2
Tania Nyman Campaign,2
Savory Institute,2
Planned Parenthood Action Fund.,2
Matt Hall for Mayor 2018,2
Finance Watch Dogs,2
Facing History and Ourselves,2
and authorized by Janet Mills for Governor.,1
Walden for Congress Inc.,1
Sierra Club,1
Norgaard4AZ,1
Georgia Right to Life,1
Friends of Lindsay James,1
Eric Eliason for Congress,1
the Trump Make America Great Again Committee,0
the North Carolina Democratic Party and Robert Kellogg for NC House.,0
the North Carolina Democratic Party and Gail Young for North Carolina.,0
the National Network of Abortion Funds,0
the Democratic National Committee,0
the DSCC,0
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",0
"the Committee to Elect Steve Berch, Susan Eastlake, Treasurer",0
"the Committee to Elect Jim Bratnober - Laura Metzler, Treasurer",0
Working Families Party,0
"Winning For Women, Inc.",0
Tousley4Idaho2018 - Jim Bennett Treasurer,0
Tony Thompson for Bullitt Judge Executive,0
Tina Smith for Minnesota,0
The nonprofit Giraffe Heroes Project,0
The Years Project,0
The Rutherford Institute,0
The Pragmatic Libertarian,0
The Markey Committee,0
The Epoch Times,0
TZ Insurance Solutions,0
"Steve Lockwood for Commissioner, Marilyn Sabella Treasurer",0
Stephanie Murphy for Congress,0
Soderberg for Congress,0
Shireen for Congress,0
"Sean Fay for Clerk, Sean Fay Treasurer ",0
Science for Humans and Freedom Institute,0
Roscoe For Wyoming,0
Republicans For Paulette Jordan,0
Reclaim Idaho,0
PrintedKicks,0
Population Connection,0
Politicon,0
Pfizer,0
Parks Project,0
Ocean Conservancy,0
No Kid Hungry,0
Need to Impeach,0
National Solar Rebate,0
National Domestic Workers Alliance,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Montanans for Tester,0
Mercy For Animals,0
Joe Kennedy for Congress.,0
Indivisible Action,0
I Love My Freedom,0
Hanks for Idaho,0
Greenpeace USA,0
Giving Brush LLC,0
Framed Tweets Inc,0
Forest Fire Facts,0
Environmental Defense Fund,0
Energy Citizens,0
End Citizens United,0
"Elect Cindy Riegel, Treasurer Tim Watters",0
EMILY's List,0
Donna Yule,0
Divided We Stand®️,0
Daniel Weston,0
Cort Vanostran for Congress,0
Conservative Gear,0
ConocoPhillips Company,0
Congressional Leadership Fund,0
CARE,0
Bredesen for Senate,0
"Bliss Publishers, LLC",0
Bill Nelson for U.S. Senate,0
Askov Finlayson,0
Armed American Supply,0
Animal Matters,0
#VoteTogether,0
,0
