JB for Governor,100000
Citizens for Kay,100000
Illinois Policy ,50000
Ellman for IL Senate D21,50000
DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee.,50000
Need to Impeach,21544
the Committee to Elect Judge John Sanders,10000
the Amanda Byassee Gott for Judge Committee,10000
"WOMEN VOTE!, 855-667-5900. Not authorized by any candidate or candidate's committee.",10000
"The Coalition for a Better Illinois 6th (CBIL6), a network of grassroots groups across the 6th Congressional District of Illinois who share a core set of values based on the beliefs that people in the United States deserve equal and fair treatment and that a successful democracy requires an informed and engaged public.",10000
Studenroth for Judge,10000
St. Clair County Democratic Central Committee,10000
McCann for Illinois,10000
Lauren Underwood for Congress,10000
Kinzinger for Congress,10000
Gregg Johnson for State Senate,10000
Friends of Jaime M Andrade Jr,10000
Friends For Rabe '18,10000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,10000
Committee to Elect Judge Rudolf,10000
Champaign County Republican Central Committee,10000
Hanley Wood,9031
A. Blair Dunn for New Mexico,8745
Levi Strauss & Co.,6184
the NRCC and not authorized by any candidate or candidate’s committee.,5000
Goslin Campaign Comm,5000
Friends of Peter Breen,5000
Friends of Mark Batinick,5000
Elevate Chicago,5000
Citizens for Schimpf,5000
Citizens for Jim Dodge,5000
Citizens for Independent Judges,5000
Chicago Socialist Alternative ,5000
" Mendrick for Sheriff, a copy of this transaction report is or will be available at the Illinois State Board Of Elections website",5000
Justin Hanson for Congress,4999
Friends of Nick Hyde,4974
"Citizens for Judge Donna Honzel.  A copy of our report filed with the State Board of Elections is (or will be) available on the Board's official website or for purchase from the State Board of Elections, Springfield, IL",4271
Nine Line Apparel,1804
Amy Loudenbeck For Assembly,1402
Scientology Volunteer Ministers International,1317
The family of Michael E. Bell,1305
the Friends of Jake Castanza,1000
the Democratic Citizens of Berwyn,1000
the Committee to Elect Ramona Sullivan,1000
the Committee to Elect Mike Ingram,1000
the Committee to Elect Dustin Heuerman,1000
Wiley for DuPage County.  All contributions are reported to the State Board of Elections.,1000
Voters Sean M. Morrison ,1000
Vote Judge Carey Gill Committee,1000
Vermilion County Republican Central Committee,1000
The Committee to Elect Kevin T. Hoerner as Appellate Court Judge,1000
The Bond County Democratic Central Committee,1000
Team Demmer,1000
Team Clark,1000
Sargent Shriver National Center on Poverty Law,1000
SEIU Healthcare Illinois & Indiana,1000
Randy Hultgren for Congress,1000
Rachelle Aud Crowe for Senate,1000
Rachelle Aud Crowe For Senate,1000
RF for LCA,1000
Pro-Life Action League,1000
Personal PAC,1000
Nicholas M Williams,1000
News For Democracy,1000
New Lenox Fire District Foundation,1000
National Solar Rebate,1000
Luke Thomas,1000
Laurel Prussing For Treasurer,1000
Kathleen Sances,1000
Jonathan Russell,1000
John C. Ackerman for Tazewell County Clerk,1000
"If You Want It, LTD - a nonprofit supporting the fight for LGBTQ equality",1000
IL Clean Jobs,1000
Friends of Rick Lesser,1000
Friends of Nikita Richards,1000
Friends of Kevin Gaither,1000
Friends of Ken Idstein,1000
Friends of Judge Randy Rosenbaum,1000
Friends of John Curtis,1000
Friends of John Curran,1000
Friends of Edward M. Burke ,1000
Friends of Ed Gallagher,1000
Friends of Bob Watt,1000
Friends of Barrett Davie,1000
Friends of Andrew Lopinot,1000
Friends for Seth McMillan,1000
Friends for Gary Seyring,1000
Fair and Equal Illinois,1000
DoSomething,1000
"David Ormsby, Inc.",1000
Dale Fowler for Senate.,1000
Congressional Leadership Fund,1000
Committee to Elect Jeff Mackay Circuit Court Judge,1000
Citizens to Elect Dick Barr,1000
Citizens for Tunney,1000
Citizens for Seth Lewis,1000
Citizens for Laurie Nehring,1000
Citizens for Jesse White,1000
Citizens for Andrew Proctor,1000
Citizens for Amy Grant.,1000
Chicago Humanities Festival,1000
Chesney for Illinois ,1000
"Anti-Harassment, Equality and Access Panel",1000
Friends of Steve McClure,999
Friends of George Cardenas Political Committee,999
Paid for by Friends of Kelli Wegener,994
PAWS Chicago,949
Brian W. Stewart.  ,935
AFSCME Council 31,906
McCombie for Illinois,869
the DSCC,498
Gleason for Senate,467
Wyoming Progress,447
 Josh Hawley For Senate,416
Angie Craig for Congress,410
laurence kruckman,404
Food for the Hungry,304
the Claremont Institute.,301
FM NewsTalk 97.1,298
Novak for Assembly ,293
DCCC,292
Beto for Texas,236
Cournoyer for Senate,226
Circa,222
California Democratic Party,218
Color Of Change,209
IVN News,183
Concealed Online,181
Penzeys,178
Chris Grisolia,169
World Mercury Project,161
Bill O'Reilly Staff,149
Palzewicz For Wisconsin,124
self,95
Florida Strong Action PAC independently of any candidate.,95
Indivisible Action,93
Ad approved and funded by Chuck Jones for Township Trustee. Jed Barot Treasurer ,93
Making Every Vote Count,84
Scott Webster for Scott County,70
Affordable Housing Now Yes on Props 1 & 2 Coalition,62
Finkenauer for Congress,59
Planned Parenthood Federation of America,48
"Equality Florida Action PAC, P.O. Box 13184, Saint Petersburg, FL 33733",48
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",46
The Nib,45
Armed American Supply,45
Truthout,44
Goodwin for Terre Haute,40
Rustic Edge Marketing,39
For Kids & Country,39
"AAF Nation, LLC",39
Gillibrand for Senate,38
WEPOWER,37
Stitt for Governor 2018,37
Proud Right Winger,37
Friends of Ann McDonough for County Supervisor,37
PrintedKicks,36
