Self-Reliant Republic,100000,199999
Terry Hayes for Governor,95000,349958
Stop The Scam Maine,50000,99999
Our Next America,36751,73502
Maine Matters,36000,167992
Jared Golden for Congress,35989,164942
Janet Mills,27000,143982
Beacon,21000,104997
Angus King,20000,122869
Our Flag Our Country,20000,99998
Living Free,19998,99989
Yes on 1 - Mainers for Home Care,18000,75974
Re-Elect Ben Chipman for State Senate,16000,64997
Crystal Canney for Senate District 27 - Portland,13000,34995
Maine Republican Party,12892,82742
Shawn Moody,10640,53197
Troy Jackson,10000,49999
Jeff Timberlake for Maine Senate,10000,49999
Brad Farrin for Senate,10000,49999
Susan Deschambault for Senate District 32,6000,14998
Kim Rosen for Maine,5000,24995
David Nealley for Bangor City Council,5000,12996
Terri Jane Casavant for Maine State House,5000,9999
Matt Pouliot,5000,9999
Jennie Butler for Maine House District 25,5000,9999
Ellie Espling for Maine Senate,5000,9999
Tom Steyer,2037,5717
Senator Amy Volk,2000,9998
NRCC IE,2000,9998
Jason Putnam for Maine House District 87,2000,9998
AARP Maine,2000,9998
Emerge Maine,1156,5779
Joshua Hiatt for District 126,1000,6997
Derek,1000,5998
Seth Berry for Legislature,1000,4999
Planned Parenthood Maine Action Fund,1000,4999
Michael Brennan for Maine House District 36,1000,4999
Maine Family Planning,1000,4999
Maine Audubon,1000,4999
Jeremy Mele For State Representative,1000,4999
Frederick -“Eric”- Samp for House District 14,1000,4999
Winning For Women,265,11141
Catholics for Choice,260,519
Donald J. Trump,245,4466
Kirsten Gillibrand,179,892
Heifer International,152,768
Democratic Senatorial Campaign Committee (DSCC),112,563
Population Connection,98,491
Chris Meier for New Hampshire Senate District 3 -Carroll County,96,481
Angie Craig,95,473
Heidi Heitkamp,86,429
Concealed Online,85,485
Penzeys Spices,84,421
Independent Voter,83,1414
Goods Unite Us,70,355
Circa,60,180
United States Constitution,58,202
Bill Nelson,54,197
John Catsimatidis,52,262
Wolf-PAC,52,261
4ocean,50,250
Swing Left,47,252
Jay Inslee,43,87
Silkies,41,205
Energy Citizens,40,103
Proud Right Winger,37,74
Parks Project,36,179
The Atlas Society,36,72
Defending Donald,36,71
America with Eric Bolling,35,174
NARAL Pro-Choice America,34,68
Planned Parenthood Action,18,98
We The People Holsters,18,36
Sand Cloud,17,84
Savory Institute,17,83
Senator Paul Feeney,15,75
EMILY's List,13,197
Center for Western Priorities,12,60
Wayne County Indivisible Public Page,11,54
Representative Kate D. Campanale,11,23
Concerned Citizen,11,23
Working Families Party,10,94
MJ for Texas,10,51
The National Memo,9,44
Phil Bredesen,8,85
Vote Tony Thompson for Bullitt County Judge Executive,8,42
Exclusive Apparel,7,59
Stand Up America,7,37
Ho'ola Na Pua,7,36
Power In Cooperation,7,34
Craig Christiansen for State Representative,7,13
Pfizer,6,38
CREDO Mobile,6,32
Beto O'Rourke,6,32
VoteTogether,6,31
"Philly Women Rally, Inc.",6,29
Nine Line Apparel,6,28
Ocean Conservancy,5,1722
Greenpeace USA,5,60
Finance Watchdogs,5,27
Best Medicare Plans,5,27
Save the Children Action Network,5,26
Rep. Steve Ross,5,26
Watson Institute for International and Public Affairs,5,25
I Love My Freedom,5,25
AARP Member Benefits,5,25
Shield Republic,5,24
PrintedKicks,4,22
America Fighting Back PAC,4,22
Human Coalition,4,21
Science for Humans and Freedom Institute,3,22
Show Up 2018,3,17
FrackFeed,3,17
Marla Livengood for Congress,3,5
Democrats,2,56
Kraut for CT.,2,12
Edwards for New Hampshire,2,12
Ric Vandett for NC Senate,2,11
Republican Party of Maricopa County,2,10
American AF,2,10
Tom Palzewicz for Congress,2,9
Partnership for Oregon Communities,1,6
War On Our Future,1,4
SEIU Local 503,1,4
Mary Jane Caylor for City Council,1,4
Jay Gonzalez,1,4
Sharen Wilson,1,3
Human Rights Campaign,1,3
Democratic Party,0,11447
National Republican Congressional Committee,0,8114
Lachance for Lewiston,0,3996
Chris Pappas for Congress,0,2154
Stacey Guerin for Senate,0,1998
"Jon Torsch for Portland City Council, District 2",0,1998
Bonnie L Young,0,1998
Michael McKinney For Maine State Senate,0,999
Mercy For Animals,0,999
Matt Irwin for Aroostook County Sheriff,0,999
Joey Brunelle for Portland,0,999
"Concerned Taxpayers of Scarborough, Maine",0,999
"Bruce White Candidate for Maine House of Representatives, District 109",0,999
Amy Glidden,0,999
Amy B. Arata for Maine House,0,999
Future Now USA,0,482
Ivory Ella,0,250
Nathan Morin for Register of Deeds,0,243
I Vote Because,0,177
MoveOn,0,157
Conversations with Bill Kristol,0,111
Askov Finlayson,0,88
United Way of Greater New Haven,0,77
Politicon,0,75
National Domestic Workers Alliance,0,64
Civiqs,0,62
Mercy Corps,0,39
National Network of Abortion Funds,0,31
Rainforest Action Network,0,30
Kyrsten Sinema,0,29
Environmental Defense Fund,0,28
American Jewish World Service - AJWS,0,23
The Black Conservative Post,0,20
Everytown for Gun Safety,0,19
Elizabeth Warren,0,19
Straight Twist - Animal Welfare,0,18
ADL - Anti-Defamation League,0,16
Resist Trump's agenda,0,14
PETA (People for the Ethical Treatment of Animals),0,13
Sivoli For Senate,0,11
Novin2018,0,11
Brady PAC,0,11
Andy Biggs,0,9
Joe Kennedy III,0,8
Definition.org,0,7
Planned Parenthood,0,6
DiversityInc,0,6
Chad McEvoy for NY Assembly 101,0,6
West Whiteland Democrats,0,4
USA for UNHCR,0,4
Turning Point USA,0,4
TrustedBest,0,4
Dana Balter for Congress,0,4
CARE,0,4
Giving Brush,0,3
Voters - Not Politicians,0,2
Animal Matters,0,2
45th President Donald J. Trump,0,2
Shareable,0,1
