,50000
"Sandfire America, P.O. Box 431, 17 East Main, White Sulphur Springs, MT 59645. Nancy Schlepp, Treasurer",10000
"Pardy for Judge, PO Box 1692, Billings, MT 59103",10000
"MONTANANS AGAINST TAX HIKES – NO ON I-185 CHARLES DENOWH, TREASURER P.O. BOX 4932, HELENA, MT 59604",10000
"Hecla Mining Company. 34524 US Hwy 2, Libby, Montana 59923. Janine Price, Treasurer.",10000
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624",10000
"The Committee to STOP I-186 to Protect Miners and Jobs., P.O. Box 1585, Helena, Montana 59624. Bruce Vincent, Treasurer",5000
"Seth Mangini for HD 68 PO Box 6598 Bozeman, MT 59771 (D)",5000
Protect Freedom PAC and not authorized by any candidate or candidate’s committee.,5000
News For Democracy,5000
Jay Nelson for Sheriff/Coroner ,5000
"Yes for Open Space, Rivers and Farmland. 3011 American Way, Missoula MT 59808. Julie Gardner, Treasurer",1000
"Travis Wafstet for Missoula County Sheriff/Coroner, Independent Candidate: P.O. Box 24, Milltown, MT 59851",1000
"Tom McGillvray for Montana, Dan Hofferber, Treasurer, PO Box 50909, Billings MT 59105",1000
Restoration PAC,1000
Protect Our Winters Action Fund,1000
Orvis,1000
Northern Plains Resource Council,1000
National Association for Gun Rights PAC,1000
Living Independently for Today & Tomorrow Inc.,1000
Leesha Ford for MT Legislature • Treasurer: Peggy Tremper,1000
Lake County Republican Women,1000
"JoBethHD11, PO Box 2262, Kalispell, MT 59903",1000
"Healthy Montana, Dr. Steven Bailey, Treasurer, PO Box 1614, Helena, MT 59624.",1000
Greg for Montana.,1000
Future in America,1000
Erin Cox for Gallatin County Auditor - REMEMBER to VOTE !!! ,1000
Concealed Online,1000
Bryher Herak for HD75,1000
"Ben McKee for Montana (D) • PO Box 22701 • Billings, MT 59104",1000
Ashley Harada for District Judge,1000
Montana Wilderness Association,991
"4Ocean, LLC",280
Texans for Natural Gas,78
Fuel Freedom Foundation,70
National Media Distribution Services,65
Heidi for North Dakota,51
Teflon Film LLC,49
Kiss the Ground,49
Access Fund,42
Penzeys,37
Indivisible Action,32
The Ruderman Family Foundation,26
Beto for Texas,25
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",22
Color Of Change,19
OuterGoods LLC,14
End Citizens United,13
Tom Steyer,11
"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",10
The Mackinac Center for Public Policy,9
League of Conservation Voters,9
#VoteTogether,8
Kialo,7
Rustic Edge Marketing,6
Dave Yost for Ohio,6
"AAF Nation, LLC",6
WeThePeopleHolsters ,5
Sand Cloud,5
IVN News,5
"Donald J. Trump for President, Inc.",5
the National Women's Law Center,4
Gillibrand for Senate,4
Catholic Relief Services,4
McCaskill for Missouri,3
Lilie Schoenack,3
DD Adams for Congress,3
CRTV,3
Debono for Congress,2
Bill Nelson for U.S. Senate,2
O'Dorisio for Adams County,1
"Jamie Ballinger for Senate, LaKenya Middlebrook, Treasurer",1
Giving Brush LLC,1
Friends of Paul Bradley,1
"California Nurses Association Political Action Committee (CNA-PAC), sponsored by the California Nurses Association. Committee major funding from the California Nurses Association. Not authorized by a candidate or a committee controlled by a candidate.",1
Arizona List PAC,1
AFSCME Council 31,1
the Trump Make America Great Again Committee,0
the Progressive Change Campaign Committee PAC and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Foundation for Constitutional Government,0
the Democratic National Committee,0
the DSCC,0
izzit,0
Working Families Party,0
"Winning For Women, Inc.",0
Unite Arizona,0
"Tom Halvorson, Sidney, Montana",0
"ThoughtFull Enterprises, Inc.",0
The Vegan Vibe,0
The Human Trafficking Institute,0
The Epoch Times,0
The Dude's Designs,0
The Daily Wire,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Soderberg for Congress,0
Sinema for Arizona,0
Shireen for Congress,0
Seafood Harvesters of America,0
"Rex for Montana. John W. Edwards, Treasurer. P.O. Box 718, Helena, MT 59624",0
"Regier for House District 4, Terry Fosbery Treasurer, PO Box 9763, Kalispell, MT 59904",0
Ranker,0
"Randy Brodehl for Commissioner, William Leininger Treasurer, 1101 La Brant Ridge, Kalispell, MT  59901",0
Proud Right Winger,0
Planned Parenthood Action Fund.,0
Pfizer,0
Patriot Depot,0
Palzewicz For Wisconsin,0
Ocean Conservancy,0
Newsom for California Governor 2018,0
Need to Impeach,0
National Partnership for Women & Families,0
National Domestic Workers Alliance,0
NRA,0
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Montanans for Tester,0
Modern Medicaid Alliance,0
Merecki for Montana D Margaret Melvin Treasurer 1533 Lewis Billings MT 59102,0
Mercy Corps,0
Maura Healey Exposed,0
Matt Hall for Mayor 2018,0
Kevin Peterson,0
Jose Aristimuno,0
Johnson for Governor,0
Joe Kennedy for Congress.,0
Instagram,0
Indivisible Project,0
Hirstified,0
Heifer International,0
Greenpeace USA,0
"Gallatin County Democrats, Treasurer Hanah McCarthy, PO Box 344, Bozeman, MT 59771",0
Friends of Dana Balter,0
Flush The Jon 2018,0
Everytown for Gun Safety Action Fund,0
"Esp for Senate, Ron Arthun, Treasurer, Box 375, Clyde Park, MT 59018. Republican",0
Environmental Defense Fund,0
Energy Nation,0
Energy Citizens,0
EMILY's List,0
David Molina for Oregon,0
DSC Foundation,0
DIANE FOR COLORADO CD3,0
Crowson for Judge,0
Conservative Gear,0
Conservation International,0
ConocoPhillips Company,0
Connie Delaney,0
Committee to Elect Collin Warren,0
Chris Pappas for Congress,0
"Cascade County Democrats - Bill Strizich, Chair",0
Californians Against the Costly Disruption of Our Health Care,0
CARE,0
Bureau of Business and Economic Research at the University of Montana,0
Bob Rosipal for Sheriff,0
Bill O'Reilly Staff,0
"Big Horn County, P.O Box 908, Hardin, MT 59034",0
Best Friends Animal Society,0
Askov Finlayson,0
Animal Matters,0
American Jewish World Service,0
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,0
Adam Hertz for Montana,0
AFT Solidarity.,0
AARP ,0
