Conor Lamb for Congress,99902
American Tort Reform Association,86519
We Are Pennsylvania,50000
Friends of Justin Simmons,50000
Tom Wolf for Governor,10000
Shareblue Media,10000
Rothfus for Congress,10000
"PennEast Pipeline Company, LLC",10000
MEUSER FOR CONGRESS,10000
"John Chrin for Congress, Inc",10000
Friends of Mike Hanna,10000
Friends of John Lawrence,10000
Friends of Jeremy Shaffer,10000
Friends of Doyle Heffley,10000
Committee to Elect Clark Mitchell,10000
Citizens for Mackenzie,10000
Aument for Senate,10000
Brian Fitzpatrick for Congress,9985
Common Defense / Beyond the Choir Action Fund and not authorized by any candidate or candidate's committee,9941
Friends To Elect Mike Doyle,9189
Pennsylvania United,5000
No Nuclear Bailout,5000
Friends of Wendy Ullman,5000
Friends of Sara Johnson Rothman,5000
Friends of Judith Higgins,5000
Friends of Ernest Lemoncelli,5000
Friends of Aaron Bernstine,5000
CHI St. Joseph Children's Health,3867
Patagonia ,3585
Environmental Voter Project,1470
the NRCC and not authorized by any candidate or candidate’s committee.,1000
West Whiteland Democrats,1000
We The People - PA Action,1000
Wayne Kress,1000
Vote Lauren Lareau,1000
Tioga County Democratic Party,1000
"Sludge Free UMBT, Inc.",1000
"Ric Caruso, Candidate for the PA US Senate 2018",1000
Rafferty for Senate,1000
"Planned Parenthood Pennsylvania Votes (1514 N. 2nd  Street, Harrisburg, PA 17102), an independent expenditure committee connected to Planned Parenthood Pennsylvania Advocates, and not authorized by any candidate or candidate’s committee.",1000
Pennsylvania Leadership Committee. Connected Organization: American Leadership Committee,1000
Pennsylvania Association of Realtors®,1000
NextGen Climate Action Committee,1000
Michele For PA 41 Committee ,1000
McCauley for Congress,1000
Friends of Warren Kampf,1000
Friends of Tim O'Neal,1000
Friends of Meredith Buck,1000
Friends of Lisa Boeving-Learned,1000
Friends of Gene DiGirolamo,1000
Friends of Eric Roe,1000
Friends of Anton Andrew,1000
Friends of A.G. Howell,1000
Friends for Melissa Shusterman,1000
Delaware County GOP,1000
Committee to Elect Emily Best,1000
Bob Casey for Senate,1000
Bedford County Democrats,1000
Area 4 Democrats,1000
Shatterproof,996
Pennsylvania Family Council,992
One Pennsylvania,976
Republican Committee of Lancaster County,946
the ACLU,823
The Make Comedy Great Again Tour,800
Working America,792
Color Of Change,771
Middle Class Voices,754
Ceisler Media & Issue Advocacy,736
Fred Akshar For Our Future,518
Bird + Stone ,487
Pat McGeehan for 1st District,439
Media Research Center,426
U.S. Chamber of Commerce,423
Good Jobs Nation,396
Law Offices of Vaughan de Kirby A.P.C.,390
Define American,388
Change Now,361
Sand Cloud,350
End Citizens United,339
DTN/The Progressive Farmer.,299
Julie Magill,288
Clearing out the Clutter.  The views expressed are those of the author only.,239
Delgado for Congress,217
Keep and Bear,206
Common Ground Committee,190
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",175
Progress Puerto Rico PAC and not authorized by any candidate or candidate's committee.,161
IVN News,156
Alliance Defending Freedom,154
"Friends of John Barr (Thomas Newcomer, Treasurer)",141
"Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.",127
Committee to Keep Judge Jeremy Mattox,107
X Social Media LLC,85
Friends of Mike Oliverio,83
John McCann for Congress,74
Indivisible Action,74
New York State Laborers' Union,66
HomeGrown Tees,55
Congressional Leadership Fund,54
Capital Research Center,53
Spiritual Endeavors LLC,49
PETA,47
Elizabeth for MA,47
Tina Smith for Minnesota,46
The Daily Wire,46
Ashley Powell,46
"Senate Republican Campaign Committee, P.O. Box 12023, Lansing, MI 48901. Not authorized by any candidate or candidate’s committee.",44
PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,44
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",43
Beto for Texas,42
AHIP,41
Friends of Ferns,40
CRTV,40
The Tikvah Fund,39
American Action News,39
Primarily Primates,38
Environmental Defense Fund,38
Gillibrand for Senate,36
Fire Ted Cruz PAC,35
"Tony for Wisconsin. Connie Hutchison, Treasurer.",34
Spectrum News,31
Planned Parenthood Action Fund.,31
