Henry McMaster,456000,1214983
Concealed Online,139435,352335
Ralph Norman for Congress,60689,213800
American Tort Reform Association,60000,149998
Katie Arrington,42000,209994
Lindsey Graham,17000,69996
Joseph Dunkle,17000,39995
John Kraljevich for SC26,14949,59779
Walt Wilkins for Solicitor,13000,68988
Solar Rebate,11965,29912
Trafalgar Group,10000,49999
A Penny for Progress,9872,19743
Tom Steyer,8938,18633
4ocean,6173,12345
Able South Carolina,5000,9999
Tim Ridge For Ward 2 Hilton Head Island Town Council,4000,19996
Tom Rice for Congress,3000,14997
Progress News Network,2657,5315
Heidi Heitkamp,2409,6700
Retirement321,2000,13992
Re-elect Janice Dabney - School Board District 5,2000,11996
Personhood South Carolina,2000,10997
Jody Gaulin for SC House District 2,2000,10997
Lake and Main,2000,9998
John J. McCann For Mayor of Hilton Head Island,2000,9998
Energy Consumers of the Carolinas,2000,9998
Democrats for Marchant,2000,9998
Serve America,1758,3841
Donald J. Trump,1382,28461
Georgia Shift,1000,8995
Kathy Maness for Lexington Town Council,1000,6997
William Cogswell Jr.,1000,5998
Joe Cunningham,1000,5998
Curtis Loftis,1000,5998
Socastee - SC68 Cameron Ventura,1000,4999
Smith4Mayor,1000,4999
JA Moore For SC District 15,1000,4999
House of Pizza Clinton,1000,4999
Charleston County Democrats,1000,4999
Alan Wilson,1000,4999
Joe Preston for SC House,992,4958
Independent Voter,763,2437
Dan Forest,583,3733
Tulsi Gabbard,480,2402
National Republican Congressional Committee,304,1558
New Georgia Project,229,457
Indivisible Guide,227,1149
Representative Nick Mattiello,227,1136
The Western Journal,210,1070
Nine Line Apparel,205,1021
League of Women Voters of the U.S.,203,1016
45 Hats,197,985
American AF,179,895
Exploiting America,177,886
Penzeys Spices,176,882
Bill O'Reilly,169,843
Population Connection,156,614
United States Constitution,151,755
Ben Shapiro,134,268
Capital Research Center,125,250
Dr. Bronner's,124,618
Swing Left,119,1141
Sand Cloud,113,278
Pfizer,96,299
Strong Women Society,91,216
VoteTogether,83,449
Finance Watchdogs,81,547
David Rouzer,80,565
Jay Inslee,80,398
Our Flag Our Country,80,195
Proud American Hunter,76,152
Kialo,70,183
Color Of Change,68,136
Turning Point USA,63,190
Flip It Blue,61,122
Progress NC Votes,59,293
Rick Allen,50,116
Greenpeace USA,44,223
Stand For Salmon,43,213
Brennan Bailey for State Representative,36,178
If I Were Running for Senate In Pennsylvania,35,176
Jeff Scott for Congress,34,172
The Atlas Society,32,159
FreedomWorks,32,76
Your Trump Shop,31,159
Breaking Patriot News,26,130
Your Energy,23,191
45th President Donald J. Trump,22,109
I Love My Freedom,21,127
Otha Thornton For Georgia State School Superintendent,21,105
Veterans and Affordable Housing Act,20,40
Conservative Gear,19,113
Giving Brush,19,101
PrintedKicks,16,80
Independent Women's Voice,16,79
Beto O'Rourke,15,75
The Humane Society of the United States,15,74
Bill Nelson,14,149
Rhonda Cole Schandevel,14,72
America Rise Up,14,69
Exclusive Apparel,12,333
Heifer International,12,61
Patriot Depot,11,86
Alliance San Diego Mobilization Fund,11,56
Democratic Coalition Against Trump,10,51
Anna Caballero for Senate,9,46
Support Our Firefighters PAC,8,41
Self-Reliant Republic,8,38
Human Rights Campaign,7,36
Trump on Earth,7,34
Representative Bobbie Richardson,7,33
Riveters Collective,6,30
Protect CA Health Care,4,22
Lea Black,4,22
Cape Cod & Islands Association of REALTORS,4,20
Alliance for a Better Minnesota,3,17
Jay Egolf for Henderson County School Board,3,16
Tom Palzewicz for Congress,3,15
WCS Newsroom,3,14
Hon John A. Torbett,3,5
LDS Dems,2,11
Dave Yost,2,11
Angela Birdsong,2,11
Democrats,2,10
Grow America's Infrastructure Now,2,8
Scott Walker,1,12
Janet Mills,1,12
Jordan Brandman for Anaheim,1,4
Enbridge Line 3,1,4
