McMaster for Governor,100000
American Tort Reform Association,50000
Walt Wilkins for Solicitor,10000
The Trafalgar Group,10000
"Team Graham, Inc.",10000
John For SC,9961
"4Ocean, LLC",6173
Able SC,5000
National Solar Rebate,4980
Capital Project Sales Tax of Abbeville SC,4958
Progress News Network,2657
the campaign to re-elect Janice Dabney,1000
the Committee to Elect John J. McCann,1000
Tom Rice for Congress,1000
SC68 Cameron Ventura,1000
Personhood SC,1000
Lake and Main,1000
Kathy Maness for Lexington Town Council,1000
KATIE ARRINGTON FOR CONGRESS,1000
Joseph Dunkle,1000
Jody Gaulin for SC House District 2,1000
JA Moore for SC,1000
Energy Consumers of the Carolinas,1000
Democrats for Marchant,1000
Committee to Elect Tim Ridge for Ward 2,1000
Cogswell For House,1000
Charleston County Democratic Party,1000
Brandon Smith for Mayor,1000
Alan Wilson for Attorney General,1000
Ralph Norman for Congress,993
Preston for Progress,992
"AAF Nation, LLC",900
Tulsi for Hawai'i,480
,229
Friends of Nicholas Mattiello ,227
the League of Women Voters,203
45 Hats,197
Exploiting America,177
Penzeys,176
Bill O'Reilly Staff,169
Keep and Bear,151
Daily Wire,134
Capital Research Center,125
Dr. Bronner's,124
Population Connection,101
"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",80
Heidi for North Dakota,78
Proud American Hunter,76
News For Democracy,68
Color Of Change,68
Turning Point USA,63
Retail Politics LLC,61
Progress NC Action IE PAC,59
RICK W ALLEN FOR CONGRESS,44
Stand for Salmon,43
Friends of Brennan Bailey,36
Eric Fasci,35
Elect Jeff Scott Congressman NC09,34
The Atlas Society,32
Breaking Patriot News ,26
IVN News,25
Indivisible Action,24
OuterGoods LLC,22
The Committee to Elect Otha Thornton,21
I Love My Freedom,21
Affordable Housing Now Yes on Props 1 & 2 Coalition,20
Giving Brush LLC,19
Sand Cloud,18
PrintedKicks,16
Nine Line Apparel,16
Independent Women's Voice,16
Your Trump Shop,15
The Humane Society of the United States,15
three American friends who care,14
the North Carolina Democratic Party and Rhonda for NC.,14
Kialo,14
Need to Impeach,13
Greenpeace USA,13
Heifer International,12
Alliance San Diego Mobilization Fund - For Educational Purposes.,11
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,10
California Democratic Party,9
Houston Fire Fighters Political Action Committee,8
Beto for Texas,8
the North Carolina Democratic Party and Bobbie Richardson for NC House.,7
Trump on Earth,7
Human Rights Campaign PAC,7
Riveters Collective PAC (Riveters Collective). Top Contributor: James L. Swift.   No candidate authorized this ad.,6
Rick W. Allen for Congress,6
The Democratic Coalition,5
Lea Black,4
CCIAOR,4
the Wildlife Conservation Society,3
Palzewicz For Wisconsin,3
Friends to Elect John Torbett,3
Campaign to elect Jay Egolf for Board of Education,3
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,3
LDS Dems,2
Grow America's Infrastructure Now,2
DCCC,2
"Angela Birdsong, Democrat, for Hillsborough County Commission, District 2",2
"Support Our Anaheim Resort Area PAC.  Committee major funding from Disney Worldwide Services, Inc. and affiliated entities.  Not authorized by a candidate or a committee controlled by a candidate.",1
Stephanie Murphy for Congress,1
FRIENDS OF SCOTT WALKER,1
Enbridge Line 3,1
Defending Donald,1
DAVID ROUZER FOR CONGRESS,1
"Committee to Elect Danny Mackey, Steve Stone, Treasurer",1
Allegra Collins for Judge,1
the Trump Make America Great Again Committee,0
the North Carolina Democratic Party and Love for NC.,0
the North Carolina Democratic Party and Gayle Kemp for State House.,0
the National Network of Abortion Funds,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Democratic National Committee,0
and authorized by Janet Mills for Governor.,0
Zoë Bands,0
Working Families Party,0
"Winning For Women, Inc.",0
Urban Hollywood 411,0
"To Be Fair, Inc. ",0
"ThoughtFull Enterprises, Inc.",0
The Years Project,0
The Western Journal,0
The Epoch Times,0
The Dude's Designs,0
Tammy Baldwin for Senate,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Sudan Relief Fund Inc.,0
Stitt for Governor 2018,0
Soderberg for Congress,0
Sinema for Arizona,0
Shireen for Congress,0
Serve America PAC,0
Science for Humans and Freedom Institute,0
Save the Children Action Network ,0
Sarasota Citizen Martin Hyde,0
Rustic Edge Marketing,0
Rick Green for Congress,0
Restore the Mississippi River Delta,0
Raquel Caldwell ,0
Proud Right Winger,0
Protect Our Winters Action Fund,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
PragerU ,0
Politicon,0
Planned Parenthood Federation of America,0
Pfizer,0
Patriot Depot,0
Oconee County Democratic Party,0
Ocean Conservancy,0
No Kid Hungry,0
Newsom for California Governor 2018,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Montanans for Tester,0
"Monmouth County Democrats, 106 Apple St, Ste 200D, Tinton Falls, NJ 07724",0
Military Officers Association of America (MOAA),0
Mercy For Animals,0
Maple Heights African American Gazette,0
Mallory Hagan for Congress,0
Loftis for Treasurer,0
LCV Victory Fund,0
Klean Kanteen,0
Kentucky Family Values,0
