"the Utah Republican Party, Authorized by Thatcher for Senate",10000
Utah Decides Healthcare ,10000
Friends of Ben McAdams,10000
"Friends for Chris Stewart, Inc.",10000
Campaign to elect Lee Castillo,10000
Americans for Prosperity,10000
Vote Castagno,5000
Utah Progressives,5000
Salt Lake County Democratic Party,5000
Rosenbush4Utah,5000
Our Schools Now,5000
Friends of Mike Winder,5000
Edgel For Utah,5000
Drug Safe Utah,5000
Committee to Elect Jen Dailey-Provost,5000
Parks Project,2131
WPA Intelligence,1000
Utah Department of Health,1000
The Senator Brian Zehnder Campaign,1000
The Committee to Re-Elect Angela Romero,1000
Rebecca Winstead for Southeast County Council,1000
People United for Privacy,1000
Pat Riley for School Board Campaign Fund,1000
Orem Families for UVU,1000
Matt Fairbanks,1000
LDS Dems,1000
Kenneth Ivory Campaign Committee,1000
Kathie Darby for Utah House District 9,1000
Jim Bradley for Salt Lake County Council,1000
Jeff Stenquist for Utah House District 51,1000
Friends to elect David Young,1000
Eric Eliason for Congress,1000
Elisabeth Luntz,1000
Democrats for Nathan Evershed,1000
Craig K. Pitts for Utah State Board of Education District #2,1000
Congressional Leadership Fund,1000
Committee to Re-Elect Steve Handy ,1000
Committee to Re-Elect Ray Ward,1000
Brad Bonham for House 32,1000
Bob Aagard Campaign Committee,1000
Bill Nelson for U.S. Senate,746
Marsha Holland Campaign,673
ReBuild USA,334
Future Now Fund,270
FreightWaves,247
Tom O'Halleran for Congress,136
Penzeys,125
Elizabeth for MA,92
Planned Parenthood Action Fund.,90
Circa,75
End Citizens United,57
Medals of America,53
Indivisible Action,53
Turning Point USA,51
"Goods Unite Us, Inc.",44
John Catsimatidis,41
Proud Right Winger,40
Heidi for North Dakota,40
Defenders of Wildlife,37
Dissent Pins,36
DSC Foundation,36
Keep and Bear,31
Conservative Gear,31
Faith First ,25
IVN News,21
"AAF Nation, LLC",20
Lake County Gazette,16
Cindy Wilson for Idaho Schools,14
Safe Horizon,13
Partnership for Oregon Communities,11
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",11
Human Rights Campaign PAC,10
"Citizens for Brian Frosh, Jerry Gross, Treasurer.",10
Planned Parenthood Federation of America,9
News For Democracy,9
New Yorkers Together.,7
Everytown for Gun Safety Action Fund,7
Concealed Online,7
Brady PAC,7
Americans for Farmers and Families,7
three American friends who care,6
Rooted in Rights,6
Pfizer,6
National Education Association,6
"Jay Inslee for Washington (D) PO BOX 21067 Seattle, WA 98111",6
OuterGoods LLC,5
Liberty Nation,5
Heifer International,5
