"Morrisey for Senate, Inc.",200000
National Association for Gun Rights PAC,50000
Americans for Limited Government,50000
McKinley for Congress,48763
Wilkes for Supreme Court,10000
Matt Wender for County Commission,10000
News For Democracy,9993
Talley Sergent for West Virginia,9980
Team Lissa,5000
Robinson for House,5000
Ihlenfeld for Senate,5000
Future of 55 PAC,5000
Andrew Robinson,5000
Zucker for West Virginia,1000
The Committee to Elect Andy Backus,1000
Susan Shelton Perry,1000
Restoration PAC,1000
Joe Powers for Cabell County Clerk Committee,1000
Greenbrier County Republican Club,1000
"Goodwin for Mayor, Patrick Smith, Treasurer",1000
Friends of Ben Queen,1000
Dakota In The House 2018,1000
Committee to Elect Clay Riley,1000
Hansen for House,999
Friends of Mike Oliverio,988
the committee to elect Bill Hartman. ,743
"4Ocean, LLC",362
NARAL Pro-Choice America,155
Science for Humans and Freedom Institute,112
Proud American Hunter,80
Pew Research Center,79
Partnership for Civil Justice Fund - defending democracy and civil rights in the courts and in the streets,79
Teflon Film LLC,60
Penzeys,50
Diversity Incorporated ,48
Daily Wire,44
CARE,44
NRA,39
"Larry Hogan for Governor, R. Christopher Rosenthal, Treasurer",32
End Citizens United,29
Committee to elect Karl Bickel Sheriff,25
Beto for Texas,22
The Years Project,20
America Fighting Back PAC,20
AFSCME Maryland,20
World Vision USA ,18
FRIENDS OF GREG ROTHMAN,17
In Kind,16
IVN News,16
"Unminced Words, LLC - Not Affiliated with any Campaign or PAC",12
Texans for Natural Gas,12
Our Lives Our Vote,12
Teamsters for O'Brien/Zuckerman,11
I Love My Freedom,11
Committee to Elect Emily Best,11
Partnership for Oregon Communities,10
the Newseum,9
PrintedKicks,9
Center for Community Change,9
"AAF Nation, LLC",9
the DSCC,8
Need to Impeach,8
Joe Kennedy for Congress.,8
GoVote Media Project,8
Serve America PAC,7
National Domestic Workers Alliance,7
Bill Nelson for U.S. Senate,7
Backcountry Hunters & Anglers,7
MJ for Texas,6
LaRose for Ohio,6
U.S. Chamber of Commerce,5
The Dude's Designs,5
Swing Left. Not authorized by any candidate or candidate's committee.,5
John Adcock for NC House,5
Adam Schiff for Congress,5
Hillel International,4
Angie Craig for Congress,4
the North Carolina Democratic Party and Gail Young for North Carolina.,3
Soderberg for Congress,3
National Partnership for Women & Families,3
Michelle Lapine McCabe 2018,3
Latino Tax Professionals Association,3
the Progressive Change Campaign Committee PAC and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,2
the NRCC and not authorized by any candidate or candidate’s committee.,2
"Stand for Children, Inc. ",2
Palzewicz For Wisconsin,2
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,2
Define American,2
"New Spire Arts, Inc",1
Greenberg for State Senate. Kelly P Ricciardi Treasurer. Approved by Adam D Greenberg.,1
Dr. Kim Schrier for Congress,1
Dave Yost for Ohio,1
Colorado Liberty PAC,1
California Democratic Party,1
AFSCME Council 31,1
the Trump Make America Great Again Committee,0
the North Carolina Democratic Party and Love for NC.,0
the North Carolina Democratic Party and Jennifer Benson for NC House.,0
the National Network of Abortion Funds,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Foundation for Constitutional Government,0
the Democratic National Committee,0
the Committee to Elect Don Nickerson,0
the Center for Immigration Studies,0
and authorized by Janet Mills for Governor.,0
Working Families Party,0
Working America,0
"Winning For Women, Inc.",0
Will Thompson for Justice Committee,0
WV Future PAC,0
WV Citizen Action Group,0
Vote Elliott Pritt for House of Delegates,0
Unite Arizona,0
The Tucker County Democratic ExecutiveCommittee,0
The Epoch Times,0
TZ Insurance Solutions,0
Stennis Center for Public Service,0
Sinema for Arizona,0
Shireen for Congress,0
Savage for Mayor Campaign,0
Sand Cloud,0
Rustic Edge Marketing,0
Rainforest Action Network,0
Proud Right Winger,0
Pfizer,0
Patriot Depot,0
Pat McGeehan for 1st District,0
Oxfam America,0
Oceana,0
Ocean Conservancy,0
No Kid Hungry,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Modern Medicaid Alliance,0
Mark Uncapher,0
MPower Change,0
MAST FOR CONGRESS,0
Kendra Fershee for Congress,0
Indivisible Action,0
Heifer International,0
Heidi for North Dakota,0
Harrison County Democratic Executive Committee,0
Guerrilla Warrior,0
Greenpeace USA,0
Friends of Larry D. Kump,0
Friends of Ferns,0
Friends of Chris Murphy,0
Framed Tweets Inc,0
Florida Conservation Campaign,0
Fipple,0
"Equality Florida Action PAC, P.O. Box 13184, Saint Petersburg, FL 33733",0
Energy Nation,0
Energy Citizens,0
Emma Johnson,0
Elect Knecht for AZ Senate in LD 21,0
Elect Don Wilson to Palmdale Water District - Division 2,0
EMILY's List,0
Doug Skaff for WV,0
"Donald J. Trump for President, Inc.",0
Don Blankenship,0
Divided We Stand®️,0
Craig Lindon for State Representative,0
Cort Vanostran for Congress,0
Conservative Gear,0
Concealed Online,0
Committee to Elect Ty Nestor,0
Committee to Elect Theresa Jackson,0
Committee to Elect Madhavi Venkatesan,0
Civiqs,0
Citizens for Kail,0
Chris Pappas for Congress,0
Chad Lovejoy,0
Care2,0
"Beachside Media, Inc.",0
Baria for Mississippi,0
Armed American Supply,0
Anti-Defamation League,0
Andy Kim for Congress,0
Airbnb,0
ABC COMMITTEE,0
2atees1,0
#VoteTogether,0
,0
