Donald J. Trump,6710
Democratic Party,5357
March For Our Lives,931
Everytown for Gun Safety,849
Concealed Online,798
Winning For Women,750
Ocean Conservancy,744
MoveOn,562
National Republican Congressional Committee,545
Beto O'Rourke,545
Tom Steyer,538
Askov Finlayson,471
Politicon,451
Kyrsten Sinema,409
Phil Bredesen,401
America First Action,386
Bill Nelson,381
EMILY's List,362
Working For Us,301
Save Idaho Horse Racing,297
Swing Left,261
Alliance for a Better Minnesota,255
Planned Parenthood Advocates of Michigan,247
Greenpeace USA,240
Arizona Democratic Legislative Campaign Committee,237
Exclusive Apparel,235
Congressional Leadership Fund,230
Heidi Heitkamp,211
Fix Politics Now,202
Indivisible Guide,197
National Domestic Workers Alliance,186
Science for Humans and Freedom Institute,182
Jay Gonzalez,182
Lauren Underwood for Congress,174
Sand Cloud,168
League of Conservation Voters,153
Greg Abbott,153
Power In Cooperation,152
MedicareSupplement.com,152
CARE,151
Finance Watchdogs,150
Environmental Defense Fund,148
Giffords,142
Independent Voter,137
Carl DeMaio,136
Diane Mitsch Bush for Colorado CD3,128
Joe Kennedy III,127
Pfizer,124
Senate Leadership Fund,122
Reform Austin,114
Northwest Abortion Access Fund,113
LCV Victory Fund,112
Giving Brush,112
Coverage of the Trump Presidency by The Epoch Times,110
Priorities USA Action,109
Democrats,109
Planned Parenthood,103
Keith Ellison for Attorney General,102
Valerie Harris for AZ State House LD22,101
CBIA,100
Democratic Senatorial Campaign Committee (DSCC),99
The Western Journal,97
Working Families Party,93
No Kid Hungry,92
Proud Right Winger,91
Heifer International,91
Steve Dettelbach,90
Solar Energy Today,90
Kirsten Gillibrand,90
VoteTogether,89
Yes to Affordable Groceries,88
Restoration PAC,83
Our Kids 1st - Our Schools Now,83
Solar Rebate,81
NextGen America,80
Andrew Gillum,78
Laxalt Taking Nevada Backward,76
Buffy Wicks,76
Dana Balter for Congress,75
Planned Parenthood Action,74
Shield Republic,73
Penzeys Spices,73
Educators for Thurmond for State Superintendent of Public Instruction,72
No On Prop 5,71
Harley Rouda,71
PrintedKicks,69
Dave Yost,68
Jon Tester,66
Mikie Sherrill,65
Leadership MKE,65
Downtown for Democracy,65
Dean Phillips for Congress,65
David Baria for Mississippi,64
Animal Matters,63
Oxfam,62
MJ for Texas,62
ACLU,62
ChooseChildren,61
DefendArizona,60
Mercy For Animals,59
Claire McCaskill,59
American Jewish World Service - AJWS,59
You Should Know Texas,58
Tony Evers,58
American AF,58
Andy Kim for Congress,57
Human Rights Campaign,56
Energy Nation,56
Chris Murphy,56
Protect CA Health Care,55
MO Research,55
Kids Not Profits,55
Cort VanOstran for Congress,55
The Fighting for Families Fund,54
I Love My Freedom,54
Kanew for Congress,53
FreedomWorks,53
Shareblue Media,52
Framed Tweets,52
Military Officers Association of America (MOAA),50
Lupe Valdez,50
Nancy Soderberg for FL Congress District 6,49
Voters - Not Politicians,47
45th President Donald J. Trump,47
Renee Hoagenson for Congress,46
Kate Brown,46
Jason Crow for Congress,46
Janet Mills,46
Terry Hayes for Governor,45
You Should Know Florida,44
Making Every Vote Count,44
Maine Republican Party,44
FloridaStrong,44
Energy Citizens,44
Jeff Johnson,43
Elizabeth Warren,43
Angus King,43
Adam Schiff,43
Tina Smith,42
Stand Up America,42
"Re-Elect Justice Patricia O. Alvarez, Fourth Court of Appeals",42
Jennifer Pawlik,42
AFGE,42
Sharon Shewmake Page,41
Rick Green,41
Nine Line Apparel,41
National Network of Abortion Funds,41
Yes on A: Strengthen the Seawall for Earthquakes and Disasters,40
Unite America,40
End Citizens United,39
Coloradans for Fairness,39
Our Lives Our Vote,38
United States Constitution,37
The Nib,37
Self-Reliant Republic,37
Bruce Rauner,37
Turning Point USA,36
Lesley for CU Regent,36
Justice Democrats,36
Angie Craig,36
Progress NC Votes,35
Patriot Depot,35
Ivory Ella,35
Armed American Supply,35
Veterans and Affordable Housing Act,34
North Carolina Citizens,34
Judge Emil Kiehne for New Mexico Court of Appeals,34
Colin Schmitt,34
Tammy Baldwin,33
Sharice for Congress,33
Richard Cordray,33
Jared Polis,33
Full Voter Participation Act,33
Democratic Coalition Against Trump,33
CRTV Tonight with Gavin McInnes,33
POW Action Fund,32
Matt Rinaldi,31
IFC PAC,31
Human Coalition,31
Dishonest Dean Heller,31
Conservative Gear,31
Al Redmer Jr,31
With Honor,30
Saving The West,30
Save the Children Action Network,30
Ro Khanna,30
Ralph Norman for Congress,30
Portside,30
Pi Yoga Pants,30
Greg Gianforte,30
Frank LaRose,30
DiversityInc,30
Conservation International,30
Circa,30
United Way of Greater New Haven,29
Mike DeWine,29
JB Pritzker,29
Divided We Stand,29
Dallas Votes 4 Kids,29
Color Of Change PAC,29
Alliance for Michigan Power,29
Yes for Affordable Housing,28
Vote for Mark Murphy,28
Missouri's Voice,28
Gail Young for North Carolina,28
Co-ops Vote,28
Blue Wave,28
No Prop 6,27
Nathan Fletcher for County Supervisor 2018,27
NC House Republicans,27
Civiqs,27
Brill for Congress,27
Annie Rabbitt for Senate,27
Yes on 1 - Mainers for Home Care,26
Save Your Home Now,26
Parks Project,26
Jeff Pravato for Senate,26
We The People Holsters,25
Vote for Vicki Campaign,25
The Devil We Know,25
Mercy Corps,25
Healthy Choice For Nevada,25
Center for Arizona Policy Action,25
Anthony Brindisi For Congress,25
Andrew Cuomo,25
Xavier Becerra,24
Senate Majority Fund IEC,24
Ned Lamont,24
Healthy Montana Campaign,24
Dissent Pins,24
Arizona Truth Squad,24
Yes on 8,23
The Voter Participation Center,23
PETA (People for the Ethical Treatment of Animals),23
Linda Bennett,23
Kate Brophy McGee - State Senate,23
E. O. Wilson Biodiversity Foundation,23
CREDO Mobile,23
CD3 Republicans,23
4ocean,23
Yes Ready by Five,22
Todd Kaminsky,22
Tim Barnsback for NC House,22
Stand For Salmon,22
Say Yes to the Penny,22
SF Environment,22
Resist Trump's agenda,22
One Nation,22
Mike Levin,22
Mallory Hagan for Congress,22
FloridaPolitics,22
Definition.org,22
Bob Krist for Governor,22
Trenton Don't Touch My Insurance Rates,21
Tim Bjorkman,21
Peter Roskam,21
Equality Florida Action PAC,21
Your Trump Shop,20
USA for UNHCR,20
Tom Basile for State Senate,20
Texas Public Policy Foundation,20
PragerU,20
No Nuclear Bailout,20
NO on 3,20
Lee Zeldin,20
Keith Rothfus,20
Gayle Kemp for State House,20
Dan Cronin,20
Anna Caballero for Senate,20
ADL - Anti-Defamation League,20
Texans for Natural Gas,19
Ohioans for Fair Maps,19
No on 103,19
Fipple,19
Don Sun for FUHSD Trustee,19
David Smith for State Representative,19
Senator Elaine Phillips,18
Senator Brian Zehnder,18
Say No to impeachment,18
Save the Redwoods League,18
ReBuild USA,18
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,18
Pramila Jayapal,18
PCCC - BoldProgressives.org,18
