Walt Maddox,"[75085, 210422]"
Ten Commandments Amendment,"[50000, 100998]"
Hoover Democrats,"[46000, 155991]"
Caroline Self,"[34999, 159990]"
Lynn Greer for Alabama House,"[22000, 109996]"
Frank Barger for Probate Judge,"[20000, 100997]"
Sanderford for Alabama House,"[20000, 99998]"
Rex Reynolds,"[20000, 99998]"
Steven Dixon,"[16000, 65996]"
Carl Carter for Alabama Senate 11,"[12000, 39986]"
Jack Jacobs,"[11000, 55997]"
Tim Melson for State Senate,"[10000, 49999]"
"Re-elect Judge David Kimberley, Circuit Judge, Place 3","[10000, 49999]"
DoSomething.org,"[10000, 49999]"
"Andrew Sorrell for State House, District 3","[10000, 49999]"
Vote Jenn Gray,"[10000, 19998]"
Take Back Our Republic,"[10000, 19998]"
Jim Carns,"[9271, 46352]"
Miranda Joseph for State Auditor,"[6000, 14998]"
Arnold Mooney for Alabama,"[5000, 10998]"
Proncey Robertson for State Representative District 7,"[5000, 9999]"
Mike Ball for Alabama House,"[5000, 9999]"
Madison County (AL) Republican Party,"[5000, 9999]"
Jefferson County Sheriff's Office,"[5000, 9999]"
Ron Anders For Auburn,"[3000, 15996]"
Vote Mike Cole Sheriff Of Walker County 2018,"[3000, 14997]"
ReBuild USA,"[2147, 4295]"
Todd Greeson for Circuit Clerk,"[2000, 17990]"
Sherman Guyton for Mayor,"[2000, 9998]"
Fix Our Roads Alabama,"[2000, 9998]"
Elect Marcus Vandiver,"[2000, 9998]"
Donald J. Trump,"[1227, 23043]"
Women For Civility,"[1072, 2680]"
"Talmadge ""Tal"" East for Probate Judge","[1000, 7996]"
Will Benton,"[1000, 5998]"
Austin Perine,"[1000, 5998]"
Solar Rebate,"[1000, 4999]"
Jones for State House 27,"[1000, 4999]"
Joanne Whetstone for House District 90,"[1000, 4999]"
Jeff Austin for Circuit Judge,"[1000, 4999]"
Elect Rodney Sullivan House District 61,"[1000, 4999]"
Alabama Today,"[1000, 4999]"
National Republican Congressional Committee,"[486, 2814]"
Circa,"[484, 1397]"
Penzeys Spices,"[406, 2032]"
ACLU,"[369, 1417]"
John Catsimatidis,"[350, 1750]"
Concealed Online,"[347, 1698]"
Giving Brush,"[334, 684]"
American AF,"[210, 1049]"
People United for Privacy,"[200, 1001]"
VoteTogether,"[183, 535]"
FrackFeed,"[117, 585]"
Parks Project,"[115, 598]"
Medals Of America,"[115, 574]"
Chicago Council on Global Affairs,"[103, 517]"
We The People Holsters,"[98, 196]"
Bill Nelson,"[86, 261]"
Sand Cloud,"[79, 395]"
Jose Aristimuño,"[69, 137]"
Population Connection,"[66, 355]"
End Citizens United,"[62, 312]"
Heidi Heitkamp,"[61, 218]"
Environmental Voter Project,"[57, 114]"
Independent Voter,"[47, 235]"
