Stand for Alaska,"[110000, 399993]"
Stand For Salmon,"[96000, 302610]"
Cook Inletkeeper,"[4989, 9977]"
John Lincoln for State House,"[4000, 20995]"
Chuck Kopp for State House,"[2000, 9998]"
Alaska Republican Party,"[2000, 9998]"
Matt Claman for State House,"[1000, 5998]"
The Alaska Landmine,"[1000, 4999]"
Marilyn Stewart for Alaska State House,"[1000, 4999]"
Jim Crawford for Alaska State Senate,"[1000, 4999]"
Bryce Edgmon for State House,"[1000, 4999]"
Anchorage Republican Women (ARWC),"[1000, 4999]"
Alyse Galvin for Congress,"[1000, 4999]"
Alaska Right to Life,"[1000, 4999]"
Northwest Abortion Access Fund,"[953, 3917]"
National Republican Congressional Committee,"[440, 2135]"
Swing Left,"[263, 534]"
American AF,"[226, 461]"
Donald J. Trump,"[175, 1540]"
Bill Nelson,"[146, 318]"
Giving Brush,"[100, 475]"
Kyrsten Sinema,"[99, 403]"
Dr. Bronner's,"[57, 285]"
Proud Right Winger,"[56, 216]"
Penzeys Spices,"[50, 249]"
Alexandria Ocasio-Cortez,"[42, 212]"
Tom Steyer,"[41, 92]"
Concealed Online,"[38, 1238]"
The Devil We Know,"[38, 189]"
POW Action Fund,"[37, 185]"
Hidden Tribes,"[30, 148]"
Sand Cloud,"[27, 72]"
I Love My Freedom,"[25, 124]"
Parks Project,"[23, 45]"
EMILY's List,"[20, 61]"
United States Constitution,"[15, 29]"
Our Flag Our Country,"[13, 63]"
Tony Evers,"[13, 26]"
Jay Inslee,"[10, 20]"
Democratic Senatorial Campaign Committee (DSCC),"[10, 20]"
Greenpeace USA,"[9, 66]"
W.K. Kellogg Foundation,"[8, 42]"
Corrections Tough,"[8, 15]"
National Domestic Workers Alliance,"[6, 363]"
Gerry  Serrano,"[6, 31]"
SDSU WEST,"[6, 26]"
CARE,"[5, 29]"
RDTdaily.com,"[5, 26]"
Mike Kelly for Congress,"[5, 25]"
Anna Caballero for Senate,"[5, 9]"
Planned Parenthood,"[4, 27]"
Working Families Party,"[4, 24]"
Science for Humans and Freedom Institute,"[4, 19]"
Independent Voter,"[4, 19]"
Tammy Baldwin,"[4, 18]"
Alexander Street,"[4, 18]"
Hillel International,"[4, 8]"
"Arizona State Representative Regina E. Cobb, DDS","[4, 7]"
Democratic Party,"[3, 5425]"
dittymoji,"[3, 19]"
Center for Western Priorities,"[3, 16]"
Mike Coffman,"[3, 15]"
Angie Craig,"[3, 14]"
World Vision USA,"[3, 13]"
Chris Murphy,"[2, 15]"
Veterans and Affordable Housing Act,"[2, 11]"
Democrats,"[1, 5]"
Bill Troutman for PA Senate 2018,"[1, 5]"
Finance Watchdogs,"[1, 4]"
Elizabeth Warren,"[1, 4]"
Sackett 4 House,"[0, 3996]"
MedicareSupplement.com,"[0, 2997]"
Power In Cooperation,"[0, 1863]"
Southeast Alaska Conservation Council,"[0, 999]"
Janice Park for Alaska Senate M,"[0, 999]"
Co-ops Vote,"[0, 999]"
Alaska Governor Bill Walker,"[0, 999]"
Alaska Commons,"[0, 999]"
Native American Rights Fund,"[0, 749]"
Ocean Conservancy,"[0, 116]"
Askov Finlayson,"[0, 62]"
Jon Tester,"[0, 42]"
Resist Trump's agenda,"[0, 40]"
Mike Herrera Johnson,"[0, 28]"
MoveOn,"[0, 18]"
2atees1,"[0, 18]"
Energy Citizens,"[0, 15]"
Energy Nation,"[0, 14]"
Military Officers Association of America (MOAA),"[0, 13]"
Framed Tweets,"[0, 11]"
Dana Balter for Congress,"[0, 11]"
Justice Democrats,"[0, 10]"
Dean Phillips for Congress,"[0, 9]"
Chris Pappas for Congress,"[0, 9]"
Catholic Relief Services,"[0, 8]"
Whatcom Wave,"[0, 7]"
NRA - National Rifle Association of America,"[0, 7]"
Diane Mitsch Bush for Colorado CD3,"[0, 7]"
Phil Bredesen,"[0, 6]"
No Kid Hungry,"[0, 6]"
Disrupt Aging,"[0, 6]"
Simon for House,"[0, 5]"
PETA (People for the Ethical Treatment of Animals),"[0, 5]"
Janet Garrett for Congress,"[0, 5]"
Definition.org,"[0, 5]"
Yale Environment 360,"[0, 4]"
VoteTogether,"[0, 4]"
Shield Republic,"[0, 4]"
National Conference on Public Employee Retirement Systems (NCPERS),"[0, 4]"
45th President Donald J. Trump,"[0, 4]"
WhyHunger,"[0, 3]"
Roaming Millennial Uncensored,"[0, 3]"
Nancy Soderberg for FL Congress District 6,"[0, 3]"
CRTV Tonight with Gavin McInnes,"[0, 3]"
Mary Auker-Endres for PA,"[0, 2]"
Karen Smythe for NYS Senate,"[0, 2]"
Environmental Defense Fund,"[0, 2]"
DiversityInc,"[0, 2]"
