Protect Arizona Taxpayers,"[1147985, 2645904]"
Arizona Democratic Legislative Campaign Committee,"[1064937, 3774638]"
Working For Us,"[868000, 2527938]"
Human Rights Campaign,"[235000, 559992]"
YES on 127: Clean Energy for a Healthy Arizona,"[230000, 649996]"
Our Lives Our Vote,"[200000, 401996]"
Winning For Women,"[187000, 1300338]"
Arizonans 4 Affordable Electricity,"[172000, 530988]"
Save Our Schools Arizona,"[153000, 676957]"
Stanton for Arizona,"[150000, 299997]"
The Wilderness Society,"[100000, 199999]"
Domingo DeGrazia for Arizona House,"[70000, 334988]"
Kyrsten Sinema,"[68067, 334566]"
Kathy Hoffman,"[56000, 115996]"
Ducey for Governor,"[54000, 124990]"
Harris for Arizona Senate,"[50690, 104371]"
Martha McSally,"[50000, 99999]"
Valerie Harris for AZ State House LD22,"[47000, 265900]"
Arizona Truth Squad,"[47000, 215977]"
Just Fix Our Roads 2018- Prop 463,"[42366, 208697]"
Kurland for Arizona House 23,"[33000, 104992]"
Andy Biggs,"[30000, 154992]"
DefendArizona,"[23000, 132937]"
Ed Gogek for State Representative,"[22000, 109996]"
Gilbert Romero for State Representative,"[21000, 104997]"
Crawford for Scottsdale,"[21000, 74996]"
Kelli Butler for Arizona,"[20000, 99998]"
Lea Marquez Peterson for Congress,"[16000, 64997]"
Solange for Scottsdale City Council,"[15000, 59998]"
Lynsey Robinson 4 House LD12,"[11000, 55997]"
Kate Brophy McGee - State Senate,"[11000, 28877]"
Politicon,"[10984, 67023]"
Jennifer Pawlik,"[10000, 70958]"
Mark Yarbrough for Mesa District 3,"[10000, 50998]"
No Labels Action,"[10000, 49999]"
Daria Lohman for Arizona,"[10000, 49999]"
Arizona Senate Victory PAC,"[10000, 49999]"
Solar Energy Today,"[8000, 25995]"
Indivisible Guide,"[7448, 22314]"
You Should Know Arizona,"[7000, 25991]"
David Schapira for Superintendent,"[6000, 14998]"
Yes On 418,"[5000, 9999]"
Jenny Richardson Mesa School Board,"[4000, 22993]"
Military Network,"[3000, 15996]"
Living Free,"[3000, 14997]"
Kolby Granville,"[3000, 14997]"
Progressive Turnout Project,"[2128, 4256]"
Fix Politics Now,"[2000, 27980]"
David Garcia,"[2000, 13994]"
Citizens for Transportation Solutions,"[2000, 12995]"
Kirsten Engel,"[2000, 10997]"
ClearPath Action Fund,"[2000, 10997]"
Tom O'Halleran,"[2000, 9998]"
Save the Dells,"[2000, 9998]"
ACLU,"[1294, 2587]"
Donald J. Trump,"[1132, 21182]"
Center for Arizona Policy Action,"[1000, 28975]"
Sharon Girard for AZ Senate LD8,"[1000, 6997]"
"The Republican Party of Chandler, Sun Lakes & Gilbert","[1000, 5998]"
Syms for Arizona,"[1000, 5998]"
Integrity First PAC,"[1000, 5998]"
Alexis Hermosillo for Mayor of El Mirage,"[1000, 5998]"
Suzy Tubbs Payson Town Council,"[1000, 4999]"
Dr. Randy Friese,"[1000, 4999]"
Dr. Kathy Mohr-Almeida,"[1000, 4999]"
Brian Garcia for Tempe Union,"[1000, 4999]"
"Arizona State Representative Regina E. Cobb, DDS","[1000, 4999]"
Maggie's List,"[999, 4995]"
Beto O'Rourke,"[905, 1881]"
Judicial Watch,"[808, 1615]"
League of Conservation Voters,"[532, 1250]"
Mi Familia Vota,"[480, 1303]"
Democratic Senatorial Campaign Committee (DSCC),"[429, 1603]"
Democrats,"[409, 2046]"
ReBuild USA,"[346, 1729]"
Independent Voter,"[308, 1539]"
The Western Journal,"[300, 1518]"
Tom Steyer,"[226, 1791]"
End Citizens United,"[225, 1125]"
Tammy Duckworth,"[209, 1045]"
Proud Right Winger,"[205, 825]"
Heidi Heitkamp,"[202, 1076]"
Alexander Street,"[183, 916]"
I Love My Freedom,"[176, 890]"
Penzeys Spices,"[176, 883]"
Point Source Youth,"[152, 761]"
Swing Left,"[152, 760]"
Good Jobs Nation,"[144, 718]"
Color Of Change,"[138, 689]"
Stars and Stripes Forever PAC,"[134, 670]"
Conservative Gear,"[120, 602]"
Kirsten Gillibrand,"[104, 522]"
FrackFeed,"[77, 155]"
Concealed Online,"[76, 721]"
Re-Elect Ballweg for Mesquite City Council,"[72, 144]"
MJ for Texas,"[70, 350]"
Congressional Leadership Fund,"[69, 234]"
Association of American Railroads,"[58, 116]"
Nathan Fletcher for County Supervisor 2018,"[53, 266]"
Giving Brush,"[48, 116]"
VoteTogether,"[46, 889]"
Judge Emil Kiehne for New Mexico Court of Appeals,"[43, 216]"
Ocean Conservancy,"[41, 958]"
EZ.Insure Medicare,"[40, 80]"
Rugged Roots,"[35, 177]"
Will County Gazette,"[30, 148]"
OAF Nation,"[27, 136]"
Mike Kelly for Congress,"[27, 135]"
California Republican Party,"[27, 135]"
Capital Research Center,"[21, 104]"
Say No to impeachment,"[20, 99]"
PrintedKicks,"[19, 114]"
Catholic Relief Services,"[19, 93]"
Define American,"[18, 88]"
Anne Stava-Murray for State Rep,"[18, 36]"
PCCC - BoldProgressives.org,"[17, 101]"
National Republican Congressional Committee,"[16, 1169]"
Exclusive Apparel,"[16, 358]"
Sand Cloud,"[15, 76]"
Everytown for Gun Safety,"[15, 76]"
Making Every Vote Count,"[13, 90]"
FreedomWorks,"[12, 58]"
Shield Republic,"[10, 52]"
Claire McCaskill,"[8, 39]"
Facing History and Ourselves,"[8, 38]"
Anthony Bonna,"[7, 37]"
Best Medicare Plans,"[7, 36]"
Annie Black for Mesquite City Council,"[5, 29]"
Voters - Not Politicians,"[5, 26]"
DuPage Policy Journal,"[5, 25]"
Alliance for a Better Minnesota,"[4, 519]"
Dave Yost,"[4, 23]"
Vote Donna Lasinski,"[4, 21]"
Dr. Donna Campbell,"[4, 21]"
New Yorkers Together,"[4, 9]"
Self-Reliant Republic,"[2, 11]"
Elect Carolyn Long,"[2, 8]"
AFSCME Council 31,"[1, 7]"
Make HIM Great,"[1, 5]"
Todd Greeson for Circuit Clerk,"[1, 3]"
Ken King,"[1, 3]"
Heritage Action for America,"[1, 3]"
Democratic Party,"[0, 34111]"
Brill for Congress,"[0, 26945]"
Coconino County Democratic Party,"[0, 7992]"
MoveOn,"[0, 6018]"
Marie Sullivan for Maricopa Community Colleges - District 3,"[0, 4995]"
Jake Brown for Mesa,"[0, 3996]"
Kiana Maria Sears,"[0, 3966]"
Modern Medicaid Alliance,"[0, 2997]"
World Animal Protection USA,"[0, 1998]"
Jeff Fine for Superior Court Clerk,"[0, 1998]"
Unite America,"[0, 1897]"
Heifer International,"[0, 1343]"
Dana Balter for Congress,"[0, 1249]"
Framed Tweets,"[0, 1166]"
Jon Tester,"[0, 1033]"
Verl Farnsworth for Mesa City Council,"[0, 999]"
The Molina Law Group PLLC,"[0, 999]"
Silkies,"[0, 999]"
Sean Bowie,"[0, 999]"
Ryan Winkle,"[0, 999]"
Raquel Terán for Arizona House of Representatives,"[0, 999]"
MedicareSupplement.com,"[0, 999]"
LDS Dems,"[0, 999]"
KGUN 9 On Your Side,"[0, 999]"
City of Tempe Government,"[0, 999]"
Arizona Democrats of Legislative District 18,"[0, 999]"
Priorities USA Action,"[0, 833]"
Jill Norgaard for AZ House,"[0, 830]"
Environmental Defense Fund,"[0, 596]"
X Straws,"[0, 500]"
PragerU,"[0, 500]"
Ivory Ella,"[0, 500]"
Be Conscious. Be Kind.,"[0, 500]"
Mercy For Animals,"[0, 450]"
WhyHunger,"[0, 333]"
Ro Khanna,"[0, 254]"
Chris Pappas for Congress,"[0, 190]"
Marsha Holland,"[0, 178]"
Blue Wave,"[0, 177]"
National Domestic Workers Alliance,"[0, 173]"
Askov Finlayson,"[0, 133]"
Justice Democrats,"[0, 123]"
LGBTQ Victory Fund,"[0, 100]"
Greenpeace USA,"[0, 97]"
National Network of Abortion Funds,"[0, 79]"
EMILY's List,"[0, 78]"
Oceana,"[0, 77]"
Nine Line Apparel,"[0, 77]"
Fight the New Drug,"[0, 72]"
Power In Cooperation,"[0, 68]"
Science for Humans and Freedom Institute,"[0, 66]"
No Kid Hungry,"[0, 63]"
Chris Murphy,"[0, 63]"
Save the Redwoods League,"[0, 62]"
Pocket Your Dollars,"[0, 62]"
Fipple,"[0, 54]"
Planned Parenthood Action,"[0, 53]"
Phil Bredesen,"[0, 53]"
Bill Nelson,"[0, 47]"
Pi Yoga Pants,"[0, 46]"
E. O. Wilson Biodiversity Foundation,"[0, 42]"
Joe Kennedy III,"[0, 41]"
NRSC,"[0, 36]"
Katica Roy,"[0, 33]"
Save the Children Action Network,"[0, 31]"
Conservative Mama PhD,"[0, 30]"
ADL - Anti-Defamation League,"[0, 30]"
Planned Parenthood Advocates of Michigan,"[0, 29]"
Diane Mitsch Bush for Colorado CD3,"[0, 24]"
Finance Watchdogs,"[0, 23]"
Human Coalition,"[0, 22]"
CARE,"[0, 22]"
Working Families Party,"[0, 21]"
SCAR,"[0, 21]"
Turning Point USA,"[0, 18]"
Progressive Takeover,"[0, 16]"
LCV Victory Fund,"[0, 16]"
Jose Oropeza For Fremont City Council,"[0, 15]"
The Longshore Institute,"[0, 13]"
Lupe Valdez,"[0, 13]"
Sarah Smith for US Congress,"[0, 11]"
Elizabeth Warren,"[0, 10]"
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,"[0, 7]"
Angie Craig,"[0, 7]"
Tammy Baldwin,"[0, 6]"
Kristi Noem,"[0, 6]"
Voters Decide,"[0, 5]"
Teri for Mayor,"[0, 5]"
Protect CA Health Care,"[0, 4]"
Kentucky People's PAC,"[0, 4]"
Sam Edney,"[0, 3]"
Rep. Peter Breen,"[0, 3]"
Josh Harder,"[0, 3]"
