Planned Parenthood,"[83005, 235045]"
Liberty Defense Network,"[50000, 99999]"
Proxy.Vote,"[31000, 155995]"
Living Free,"[30000, 149997]"
Jonathan Crossley for AR House District 41,"[22000, 110995]"
Leslie Rutledge for Arkansas,"[21000, 104997]"
Protect AR Families,"[20000, 99998]"
Our Flag Our Country,"[20000, 99998]"
Benham for Mayor,"[20000, 99998]"
Arkansans for Jobs and Justice,"[18000, 75994]"
Military Network,"[11000, 25996]"
Women For Civility,"[10000, 49999]"
Self-Reliant Republic,"[10000, 49999]"
Andrew Collins for State Rep,"[10000, 49999]"
Warwick Sabin,"[10000, 20997]"
Jim Webb for Bentonville Mayor,"[5000, 9999]"
Better With Age,"[4848, 9695]"
Ryan Carter For State Representative,"[3000, 16995]"
Kallen Peret for Arkansas House District 24,"[3000, 15996]"
Alderman Ken Keplinger,"[3000, 14997]"
Jared Henderson for Governor,"[2000, 11996]"
Chris Moore for Mayor,"[2000, 10997]"
ExxonMobil,"[1665, 4161]"
Tony Evers,"[1102, 2204]"
Independence County Democrats,"[1000, 18985]"
Vernon Morris,"[1000, 5998]"
"Hunter Windle for Pulaski County Justice of the Peace, District 4","[1000, 5998]"
Deakins for Washington County JP5,"[1000, 5998]"
Bob Johnson for Mayor,"[1000, 5998]"
Baker Kurrus for Mayor,"[1000, 5998]"
Tyler Dunegan for Mississippi County Clerk,"[1000, 4999]"
Talk Business & Politics-Statewide,"[1000, 4999]"
RJ Mazzoni for Maumelle Ward 2,"[1000, 4999]"
Karen Garcia City Director District 5,"[1000, 4999]"
Jeremy Ross,"[1000, 4999]"
Greg White for Alderman,"[1000, 4999]"
Governor's Council on Developmental Disabilities - State of Arkansas,"[1000, 4999]"
French Hill for Arkansas,"[1000, 4999]"
Erika Snow for Clay County Tax Assessor,"[1000, 4999]"
"Elect Steven Ward, Union County Justice of the Peace","[1000, 4999]"
East End Democrats,"[1000, 4999]"
Driving Arkansas Forward,"[1000, 4999]"
Denise Garner for Arkansas,"[1000, 4999]"
Clinton House Museum,"[1000, 4999]"
Arkansas Abortion Support Network,"[1000, 4999]"
Donald J. Trump,"[828, 12888]"
American Financial Advisory For A Better Future,"[403, 2014]"
Humane Society International,"[234, 467]"
IOOGO,"[181, 905]"
Ben Shapiro,"[172, 862]"
The Devil We Know,"[166, 828]"
Circa,"[165, 823]"
Concealed Online,"[154, 1010]"
American Heart Association: You're the Cure,"[140, 280]"
Tom Steyer,"[121, 305]"
Mi Familia Vota,"[100, 499]"
SDSU WEST,"[84, 167]"
Penzeys Spices,"[79, 396]"
United States Constitution,"[75, 376]"
Kyrsten Sinema,"[66, 333]"
Democratic Coalition Against Trump,"[62, 311]"
Your Trump Shop,"[62, 147]"
Angie Chen Button for Texas,"[52, 259]"
Finance Watchdogs,"[44, 222]"
Kirsten Gillibrand,"[43, 211]"
MJ for Texas,"[32, 161]"
