Planned Parenthood Federation of America,83005
Liberty Defense Network,50000
Protect AR Families,20000
Benham for Benton,20000
Arkansans for Jobs and Justice ,18000
Proxy Vote,11000
Warwick Sabin for Mayor ,10000
News For Democracy,10000
Andrew Collins for State Representative,10000
Jim Webb for Bentonville Mayor,5000
Ryan Carter For AR State Representative District 56,3000
Re-Elect Alderman Ken Keplinger Campaign,3000
Peret for Arkansas Campaign,3000
Jared Henderson for Governor,2000
Chris Moore for Mayor,2000
ExxonMobil,1665
Tony for Wisconsin. ,1102
the committee for Vernon Morris ,1000
Tyler Dunegan for County Clerk,1000
The Governor's Council on Developmental Disabilities,1000
Talk Business and Politics,1000
RJ Mazzoni,1000
Karen Garcia Campaign,1000
Jeremy M Ross for State Representative,1000
Independence County AR Democratic Committee,1000
Hunter Windle,1000
Group Elect,1000
French Hill for Arkansas,1000
Erika Snow for Clay County Assessor,1000
Driving Arkansas Forward,1000
Deakins For JP,1000
"Clinton House Museum, a private, nonprofit, nonpartisan organization.",1000
Bob Johnson for Mayor,1000
Baker Kurrus for Mayor,1000
Arkansas Abortion Support Network,1000
 Greg White,1000
the Trump Make America Great Again Committee,419
"Donald J. Trump for President, Inc.",409
,403
Humane Society International,234
Daily Wire,172
Teflon Film LLC,166
Circa,165
Concealed Online,154
American Heart Association,140
Need to Impeach,121
Patriot Depot,102
Mi Familia Vota,100
Penzeys,79
Keep and Bear,75
Sinema for Arizona,66
Your Trump Shop,62
Finance Watch Dogs,44
Christian Democrats of America,30
EMILY's List,29
National Media Distribution Services,26
Beto for Texas,26
"and Authorized by Maryland Democratic Senate Caucus Committee; Patricia L. Horton, Treasurer",25
the DSCC,20
Giving Brush LLC,20
Drew McKissick,20
Sand Cloud,19
Coffman for Congress 2018,16
Science for Humans and Freedom Institute,15
Human Rights Campaign,15
CRTV,15
Angie Craig for Congress,15
the NRCC and not authorized by any candidate or candidate's committee.,14
Rory Allen,14
NASPA - Student Affairs Administrators in Higher Education,14
Gillibrand for Senate,14
NRA,13
"Beachside Media, Inc.",13
The Atlas Society,12
Human Coalition,12
Heidi for North Dakota,12
PrintedKicks,11
I Love My Freedom,11
We Are The Mighty,10
FRIENDS OF RENEE HOAGENSON,10
the Progressive Student Association (Our Revolution),9
"AAF Nation, LLC",9
"Julie C. Hancock, Your Virtual Advocate.  All views expressed are my own. ",8
Petrie-Norris for Assembly 2018 ,6
National Partnership for Women & Families,6
Airline Passengers for Justice,6
MJ for Texas,5
Human Rights Campaign PAC,5
"Citizens for a Better Butler County, Tyler Travers, Treasurer",5
Ocean Conservancy,4
National Domestic Workers Alliance,3
Bill Nelson for U.S. Senate,3
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,3
Martin Heinrich for Senate,2
Friends for Marc Parker,2
Dave Yost for Ohio,1
the North Carolina Democratic Party and Gail Young for North Carolina.,0
the Democratic National Committee,0
the Campaign to Elect Christie Craig,0
"Winning For Women, Inc.",0
United Way of Greater New Haven,0
USA for UNHCR,0
Turning Point USA,0
This is not an ad. It's news.,0
The Years Project,0
The Rutherford Institute,0
The Epoch Times,0
The Dude's Designs,0
TZ Insurance Solutions,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Save the Redwoods League,0
Save the Children Action Network ,0
Sarasota Citizen Martin Hyde,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
Pilkington for AR,0
Pfizer,0
Parks Project,0
Paid for by Ballinger for State Senate.,0
PETA,0
Oxfam America,0
OuterGoods LLC,0
Ocean Helper,0
National Rural Electric Association,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Military Officers Association of America (MOAA),0
Mercy For Animals,0
Mallory Hagan for Congress,0
LaRose for Ohio,0
Joe Kennedy for Congress.,0
Jason Dobson Campaign,0
Inspiration Ministries,0
Indivisible Action,0
Heifer International,0
Greenpeace USA,0
Gary Morris 2018,0
"Friends for Tim Lowery, Mark Goldstein, Treasurer",0
First Electric Cooperative,0
Faulkner Forward PAC,0
Everytown for Gun Safety Action Fund,0
Environmental Defense Fund,0
Emily Sledge for Washington County Clerk,0
David Molina for Oregon,0
David Chiu for Assembly 2018,0
Dane Dillion.,0
DIANE FOR COLORADO CD3,0
DCCC,0
Conservation International,0
ConocoPhillips Company,0
Coleman W2 Campaign,0
Citizens for Martin for Mayor,0
Campaign to Elect Stephanie Orman for Mayor,0
CLARKE TUCKER FOR CONGRESS,0
CARE,0
Buffy Wicks for Assembly 2018. FPPC #1396734,0
Bredesen for Senate,0
Bob Ballinger for State Senate.,0
Blue Wave Voters,0
Barnes for JP,0
Askov Finlayson,0
Armed American Supply,0
Americans for Farmers and Families,0
Adam Schiff for Congress,0
AARP Arkansas,0
#VoteTogether,0
#BentonvilleVotes,0
 Keith Greene,0
