"The Simpler Campaign, LLC",36000
Committee To Elect Paradee,23000
Krista Griffith For Delaware,9000
Arlett for Senate,2000
World Vision USA ,502
Friends of Anton Andrew,490
"Talana D. Watson 4 Students Campaign, Oliver L. Waters, Treasurer",308
Friends for Sue Walker,282
Nine Line Apparel,270
"AAF Nation, LLC",266
"4Ocean, LLC",214
"Donald J. Trump for President, Inc.",105
Concealed Online,93
Brindisi for Congress,55
Circa,50
the Trump Make America Great Again Committee,47
Bill & Melinda Gates Foundation,42
Need to Impeach,40
I Love My Freedom,37
Everytown for Gun Safety Action Fund,35
Human Rights Campaign,33
Gillibrand for Senate,29
Sand Cloud,25
#VoteTogether,23
IVN News,22
National Domestic Workers Alliance,21
Bill Nelson for U.S. Senate,21
Dissent Pins,17
Keep and Bear,16
"LT Democratic Victory Committee 607 Seagrove Ave, Cape May, NJ",15
MJ for Texas,14
International Rescue Committee,12
Giving Brush LLC,12
the NRCC and not authorized by any candidate or candidate's committee.,11
Planned Parenthood Federation of America,11
McCauley for Congress,10
Finance Watch Dogs,10
Andy Harris for Congress,10
Truth in Annapolis,9
OK Health Action,9
Healthy Living Initiative ,9
Beto for Texas,9
Mannion for State Senate,8
United By Blue,7
the Democratic National Committee,6
Working Families Party,6
Sinema for Arizona,6
"Citizens for Brian Frosh, Jerry Gross, Treasurer.",6
The Dude's Designs,5
Friends of Louise Valentine,5
Bird + Stone ,5
The Western Journal,4
Swing Left. Not authorized by any candidate or candidate's committee.,4
Proud Right Winger,4
Human Coalition,4
Grassroots For You,4
Corey for Senate,4
Source Politics LLC,3
Science for Humans and Freedom Institute,3
Ocean Conservancy,3
New Direction PAC,3
LaRose for Ohio,3
Heidi for North Dakota,3
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,3
Christian Democrats of America,3
Adam Schiff for Congress,3
The Vegan Vibe,2
Population Connection,2
Grossman for Congress Committee,2
End Citizens United,2
EMILY's List,2
Conservation International,2
Angie Craig for Congress,2
мои личные средства в рекламу моей компании,1
The Atlas Society,1
"Eric Mikkelson for Mayor. Brendon Jenks, Treasurer.",1
Dave Yost for Ohio,1
California Democratic Party,1
"Anna V. Eskamani, Democrat, for Florida House 47",1
the Paulette Jordan Campaign,0
the National Network of Abortion Funds,0
The OTAP Show,0
Spadola by Auditor,0
Soderberg for Congress,0
Sears For Arizona,0
Rustic Edge Marketing,0
Ro for Congress,0
Ranker,0
"Pursuit, a non-partisan, non-profit organization",0
Politicon,0
Pfizer,0
Ocean Helper,0
No Kid Hungry,0
"Nancy Makar, Democrat, for Hernando County Commissioner, District 4",0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Mercy For Animals,0
Matt Hall for Mayor 2018,0
Marvin Davis,0
LCV Victory Fund,0
Jake Brown for Mesa,0
Indivisible Action,0
Greenpeace USA,0
Friends of Mike Hein,0
Friends of Eric Roe,0
Friends of Dana Balter,0
Carl Carter for Alabama Senate 11,0
CARE,0
"Bliss Publishers, LLC",0
Armed American Supply,0
Anti-Defamation League,0
,0
