Choose Me Not 3,"[1240000, 2889983]"
FloridaStrong,"[1105000, 2750959]"
The Voter Participation Center,"[550000, 1558977]"
Andrew Gillum,"[467000, 1602922]"
Bill Nelson,"[453000, 1321919]"
Working For Us,"[351000, 1490815]"
Strong Miami,"[290885, 588744]"
All for Transportation,"[207000, 519996]"
With Honor,"[206273, 511311]"
Rick Scott Is Not For Florida,"[150000, 299998]"
Floridians for a Fair Shake,"[117000, 273991]"
Just Vote No On 13,"[103000, 275987]"
Moving Broward,"[99944, 199887]"
Americans for Prosperity -  Florida,"[60000, 151996]"
Captains for Clean Water,"[51000, 105997]"
U.S. Sugar,"[49763, 99524]"
American Patriots PAC,"[33580, 168885]"
Lauren Baer for Congress,"[33000, 134993]"
State Representative Manny Diaz Jr,"[32000, 159995]"
Solar Energy Today,"[26000, 114987]"
You Should Know Florida,"[24000, 128956]"
Vote for Vicki Campaign,"[22000, 126979]"
Our Lives Our Vote,"[21000, 105996]"
Committee To Support Greyhounds,"[21000, 75995]"
Color Of Change PAC,"[20177, 103267]"
SAGE,"[20000, 99998]"
Chad Chronister,"[20000, 99998]"
Ardila Law Firm  / U.S. Immigration Law,"[20000, 99998]"
"Tara O'Connor for Pasco County School Board, District 5","[20000, 69997]"
Teri for Mayor,"[19000, 83990]"
Collier County Democratic Party,"[16955, 69798]"
Vote YES for New Smyrna Beach Turnbull Creek Water Quality Bonds,"[16000, 64977]"
Trump Care 2019,"[15000, 59998]"
Deborah Hooker for County Judge,"[15000, 59998]"
Carlos Curbelo,"[15000, 59998]"
Local Majority,"[13506, 64008]"
Association of American Railroads,"[12898, 64486]"
Greg Green For Judge,"[12000, 29996]"
Jay Inslee,"[11480, 28700]"
Linda Jack,"[11000, 54998]"
Gus Bilirakis for Congress,"[11000, 54998]"
Matt for Florida House,"[11000, 24997]"
"Cia Gomez-Sherman for Lehigh Acres Fire Commissioner, Seat 5","[10000, 50998]"
Your Obamacare Quote .com,"[10000, 49999]"
Two Faced Lauren Book,"[10000, 49999]"
Senator René García,"[10000, 49999]"
Lee Mangold for House District 28,"[10000, 49999]"
LCV Victory Fund,"[10000, 49999]"
Citizens Against Foreign Interference,"[10000, 49999]"
Allison Gilman For Judge,"[10000, 49999]"
Be Ready to Vote,"[10000, 36992]"
Jason Haeseler For Florida House,"[10000, 19998]"
Joe Gruters,"[8000, 27981]"
March For Our Lives,"[7029, 126065]"
The School District of Palm Beach County,"[7000, 19997]"
Marybel Reinoso Coleman for Circuit Court Judge,"[6998, 19989]"
The Center for Community Change,"[6412, 28257]"
Michael  Joseph,"[6000, 35988]"
Viviana Janer for Osceola,"[6000, 34989]"
Anna For Florida,"[6000, 18994]"
Florida House Victory,"[6000, 15997]"
State Representative Bryan Avila,"[6000, 14998]"
Renee Gordon for Judge,"[6000, 14998]"
Debbie Jordan for Lee County School Board Dist. 4,"[6000, 14998]"
Butch Hansen for Pensacola City Council District 6,"[6000, 14998]"
Barenborg 4 Schools,"[6000, 14998]"
Alan Youngblood for Seminole County School Board - District 1,"[6000, 14998]"
The New Florida Majority,"[5977, 14952]"
American AF,"[5070, 10139]"
BusinessForce,"[5000, 40948]"
Olivia Babis for FL Senate District 23,"[5000, 11997]"
Anthony Bonna,"[5000, 11854]"
Craig DeThomasis for Alachua County Judge,"[5000, 10998]"
Seguros Medicos Al Instante,"[5000, 9999]"
Protect The Harvest,"[5000, 9999]"
Operation Sacred Trust,"[5000, 9999]"
Jennifer Webb,"[5000, 9999]"
I'm for Grover,"[5000, 9999]"
Everglades-Trust,"[5000, 9999]"
Color Of Change,"[5000, 9999]"
Chip LaMarca,"[5000, 9999]"
Voters In Charge,"[4960, 17911]"
Donald J. Trump,"[4600, 95350]"
David Smith for State Representative,"[4000, 34981]"
Karlene Maxwell-Williams for Lauderdale Lakes Commissioner Seat 2,"[4000, 31984]"
CalmEffect,"[4000, 28987]"
Paolo Weston,"[4000, 21994]"
South Florida For Change,"[4000, 20995]"
Soraya Diase Coffelt for Gov.,"[3629, 7256]"
Indivisible Guide,"[3368, 15378]"
"Roosevelt Mcclary for Lauderdale Lakes Commission, Seat 1","[3000, 20991]"
