SAFE,"[12000, 30995]"
Ron Curtis for Hawaii,"[10000, 19998]"
Civiqs,"[6000, 14998]"
Solar Rebate,"[5000, 25994]"
ConAm For Keiki,"[2000, 9998]"
4ocean,"[1403, 3507]"
Airbnb Citizen,"[1000, 12991]"
Maui Causes,"[1000, 4999]"
Friends of Tommy Waters,"[1000, 4999]"
National Republican Congressional Committee,"[709, 1851]"
Independent Voter,"[301, 800]"
Penzeys Spices,"[242, 593]"
Sand Cloud,"[102, 367]"
Concealed Online,"[97, 545]"
Donald J. Trump,"[93, 1388]"
End Citizens United,"[75, 378]"
Pfizer,"[55, 287]"
Parks Project,"[54, 269]"
Joe Kennedy III,"[42, 219]"
Jay Inslee,"[34, 68]"
Finance Watchdogs,"[30, 161]"
Angie Craig,"[26, 53]"
Alliance Defending Freedom,"[25, 123]"
Phil Bredesen,"[22, 44]"
United States Constitution,"[20, 40]"
Louder with Crowder,"[19, 38]"
Beto O'Rourke,"[16, 33]"
Association of American Railroads,"[14, 28]"
We The People Holsters,"[11, 22]"
Environmental Defense Fund,"[9, 141]"
Kyrsten Sinema,"[9, 49]"
Your Trump Shop,"[9, 43]"
Science for Humans and Freedom Institute,"[8, 39]"
Bill Nelson,"[7, 58]"
National Domestic Workers Alliance,"[7, 40]"
Tom Steyer,"[7, 37]"
Fix Politics Now,"[6, 32]"
Conservative Gear,"[6, 31]"
Defenders of Wildlife,"[5, 26]"
World Vision USA,"[5, 25]"
Heifer International,"[4, 1019]"
Donald Trump Is My President,"[4, 18]"
VoteTogether,"[3, 380]"
MJ for Texas,"[3, 17]"
PrintedKicks,"[3, 15]"
Planned Parenthood Action,"[2, 14]"
Proud Right Winger,"[2, 13]"
I Love My Freedom,"[2, 12]"
CREDO Mobile,"[2, 12]"
Democratic Attorneys General Association,"[2, 10]"
Derek Kitchen,"[2, 9]"
Democrats,"[2, 9]"
Blue Wave,"[2, 8]"
Linda Koop,"[2, 4]"
Heidi Heitkamp,"[1, 82]"
UnitedVoice.com,"[1, 7]"
Cooperative Action Network,"[1, 6]"
ACLU of Northern California,"[1, 5]"
Friends of Derek Kawakami,"[0, 11988]"
Parents for Public Schools Hawaii,"[0, 3996]"
Juno Ann Apalla,"[0, 3996]"
Democratic Party,"[0, 3949]"
PragerU,"[0, 1199]"
Indivisible Guide,"[0, 1016]"
Jon Tester,"[0, 999]"
Co-ops Vote,"[0, 999]"
Politicon,"[0, 542]"
Ocean Conservancy,"[0, 326]"
Swing Left,"[0, 204]"
EMILY's List,"[0, 116]"
Working Families Party,"[0, 54]"
Greenpeace USA,"[0, 40]"
Framed Tweets,"[0, 29]"
Resist Trump's agenda,"[0, 24]"
Chris Pappas for Congress,"[0, 22]"
Exclusive Apparel,"[0, 21]"
Tina Smith,"[0, 19]"
Military Officers Association of America (MOAA),"[0, 19]"
Nancy Soderberg for FL Congress District 6,"[0, 17]"
Vote YES for New Smyrna Beach Turnbull Creek Water Quality Bonds,"[0, 16]"
Pi Yoga Pants,"[0, 16]"
Tony Evers,"[0, 15]"
Monuments For All,"[0, 14]"
LCV Victory Fund,"[0, 13]"
Power In Cooperation,"[0, 12]"
NRDC Action Fund,"[0, 12]"
CARE,"[0, 10]"
The People For Bernie Sanders,"[0, 9]"
MoveOn,"[0, 9]"
Shield Republic,"[0, 8]"
Giving Brush,"[0, 8]"
Unite America,"[0, 7]"
Rep. Jeff Helfrich,"[0, 7]"
National Network of Abortion Funds,"[0, 6]"
Disrupt Aging,"[0, 6]"
Adam Schiff,"[0, 6]"
Capital Research Center,"[0, 5]"
Winning For Women,"[0, 4]"
Unspeakable Crimes,"[0, 4]"
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,"[0, 4]"
Our Kids 1st - Our Schools Now,"[0, 4]"
Conservative Tribune,"[0, 4]"
Chris Murphy,"[0, 4]"
Seafood Harvesters of America,"[0, 3]"
Planned Parenthood,"[0, 3]"
It Starts Today - Missouri,"[0, 3]"
Flip It Blue,"[0, 3]"
Everytown for Gun Safety,"[0, 3]"
Buffy Wicks,"[0, 3]"
Askov Finlayson,"[0, 3]"
Phyllis Chesler,"[0, 2]"
Kevin McCarthy,"[0, 2]"
Eric Bolling,"[0, 2]"
Dean Phillips for Congress,"[0, 2]"
American Jewish World Service - AJWS,"[0, 2]"
"Philly Women Rally, Inc.","[0, 1]"
Anti Tea Party MEMEs3,"[0, 1]"
Alliance for a Better Minnesota,"[0, 1]"
