"CWI Yes, Inc.",17000
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",10000
AARP Idaho,10000
Idaho Freedom Foundation,9970
IDLCC,6000
"BJ Swanson for Latah County Treasurer; Greg Mann, CPA, Campaign Treasurer",5000
Backcountry Hunters & Anglers,2631
Healthy Hospital Healthy Community PAC,2467
Indivisible Action,2015
the nonprofit Northwest Abortion Access Fund,2008
National Solar Rebate,2000
" the Committee to Elect Lynn M Luker, James Hodges - Treasurer",2000
"Steve Lockwood for Commissioner, Marilyn Sabella Treasurer",1000
"Kelly Yvonne Mitchell for Ada County, Camille Mitchell Treasurer",1000
Inside Idaho Politics Podcast,1000
"Doug Zenner for County Commissioner, Corinne Zenner Treasurer",1000
Riley J Hill for Mayor,534
ReBuild USA,214
Dissent Pins,212
Beto for Texas,211
Concealed Online,210
"Donald J. Trump for President, Inc.",201
CRTV,162
Turning Point USA,152
the Trump Make America Great Again Committee,149
Keep and Bear,143
Teflon Film LLC,78
the NRCC and not authorized by any candidate or candidate's committee.,77
Swing Left. Not authorized by any candidate or candidate's committee.,76
the DSCC,71
Need to Impeach,66
PrintedKicks,60
Republican Senate Campaign Committee,54
,54
End Citizens United,50
Pew Research Center,49
Penzeys,36
Gillibrand for Senate,27
Heidi for North Dakota,23
The Wilderness Society Action Fund,20
OuterGoods LLC,20
#VoteTogether,20
Conservation Northwest,17
Citizens for Monzel,17
IVN News,11
Bill Nelson for U.S. Senate,10
435 Labs,10
The Dude's Designs,9
Nine Line Apparel,9
PETA,7
Movement Voter Project,7
Finance Watch Dogs,7
USA for UNHCR,6
Scamazon,6
Build With Strength,6
Sinema for Arizona,4
Greenpeace USA,4
"All electoral content on this account is prepared by the SEIU Minn State Council Political Fund, 2233 University Ave W, #422, St. Paul, MN 55114, as an independent expenditure, and is not approved by any candidate nor is any candidate responsible for its content.",4
The Republican Party of Texas,3
Lisa Brown for Congress,3
"Kristen Grimm for TN Senate, Susan Nance, Treasurer",3
Californians Against the Costly Disruption of Our Health Care,3
Tania Nyman Campaign,2
Planned Parenthood Action Fund.,2
McCaskill for Missouri,2
Matt Hall for Mayor 2018,2
Facing History and Ourselves,2
and authorized by Janet Mills for Governor.,1
Sierra Club,1
Norgaard4AZ,1
No Kid Hungry,1
Eric Eliason for Congress,1
the North Carolina Democratic Party and Gail Young for North Carolina.,0
the Democratic National Committee,0
"the Committee to Elect Jim Bratnober - Laura Metzler, Treasurer",0
Working Families Party,0
"Winning For Women, Inc.",0
Tousley4Idaho2018 - Jim Bennett Treasurer,0
Tony Thompson for Bullitt Judge Executive,0
Tina Smith for Minnesota,0
The nonprofit Giraffe Heroes Project,0
The Years Project,0
The Rutherford Institute,0
The Pragmatic Libertarian,0
The Epoch Times,0
TZ Insurance Solutions,0
Stand Up America,0
Soderberg for Congress,0
"Sean Fay for Clerk, Sean Fay Treasurer ",0
Science for Humans and Freedom Institute,0
Republicans For Paulette Jordan,0
Population Connection,0
Politicon,0
Pfizer,0
Patriot Depot,0
Parks Project,0
Ocean Conservancy,0
National Domestic Workers Alliance,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Montanans for Tester,0
Mercy For Animals,0
Joe Kennedy for Congress.,0
Hanks for Idaho,0
Giving Brush LLC,0
Framed Tweets Inc,0
Forest Fire Facts,0
Everytown for Gun Safety Action Fund,0
Environmental Defense Fund,0
Energy Citizens,0
"Elect Cindy Riegel, Treasurer Tim Watters",0
EMILY's List,0
Donna Yule,0
Divided We Stand®️,0
Daniel Weston,0
Cort Vanostran for Congress,0
ConocoPhillips Company,0
Congressional Leadership Fund,0
Catholic Relief Services,0
CARE,0
Bredesen for Senate,0
"Bliss Publishers, LLC",0
Askov Finlayson,0
Armed American Supply,0
Animal Matters,0
