JB for Governor,437000
DCCC. (202) 863-1500 . Not authorized by any candidate or candidate’s committee.,300000
Lauren Underwood for Congress,222991
Friends of Barrett Davie,106000
Citizens for Kay,100000
Rachelle Aud Crowe for Senate,87000
Roskam for Congress Committee,65000
Save Your Home Now,61000
Rodney for Congress,52000
Illinois Policy ,50000
"WOMEN VOTE!, 855-667-5900. Not authorized by any candidate or candidate's committee.",44999
Kinzinger for Congress,43995
Congressional Leadership Fund,39000
Friends of Rick Lesser,29000
"Citizens for Rauner, Inc.",28000
Citizens for Jim Dodge,25000
Goslin Campaign Comm,22000
Friends for Seth McMillan,16000
Citizens for Jesse White,14000
the Committee to Elect Judge John Sanders,13000
Friends of Bob Watt,12000
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,11051
Daniel Didech Campaign Committee,11000
the Amanda Byassee Gott for Judge Committee,10000
Studenroth for Judge,10000
St. Clair County Democratic Central Committee,10000
Friends of Peter Breen,10000
Dave Seiler for 107th,10000
SAGE,9985
Hanley Wood,9031
A. Blair Dunn for New Mexico,8745
the NRCC and not authorized by any candidate or candidate's committee.,7227
DuPage Young Republicans,7000
Citizens for Dan Cronin,7000
McCombie for Illinois,6869
Indivisible Action,6811
News For Democracy,6000
Friends of Kevin Gaither,6000
Friends of John Curtis,6000
,5666
March for Our Lives Action Fund,5067
Everytown for Gun Safety Action Fund,5029
Friends of Mark Batinick,5000
Citizens to Elect James Reilly.,5000
Citizens for Independent Judges,5000
Issue One Action,4301
"Citizens for Judge Donna Honzel.  A copy of our report filed with the State Board of Elections is (or will be) available on the Board's official website or for purchase from the State Board of Elections, Springfield, IL",4271
Personal PAC,4000
Luke Thomas,4000
Fair and Equal Illinois,4000
PAWS Chicago,3657
LCV Victory Fund,3000
Kinzler for Illinois,3000
Citizens for Seth Lewis,3000
Citizens for Andrew Proctor,3000
Color Of Change,2181
the Friends of Jake Castanza,2000
Sargent Shriver National Center on Poverty Law,2000
SEIU Healthcare Illinois & Indiana,2000
RF for LCA,2000
Laurel Prussing For Treasurer,2000
Friends of John Curran,2000
the Trump Make America Great Again Committee,1954
Scientology Volunteer Ministers International,1317
The family of Michael E. Bell,1305
the Democratic Citizens of Berwyn,1000
the Committee to Elect Mike Ingram,1000
the Committee to Elect Dustin Heuerman,1000
Voters Sean M. Morrison ,1000
Vote Judge Carey Gill Committee,1000
Vermilion County Republican Central Committee,1000
The Committee to Elect Kevin T. Hoerner as Appellate Court Judge,1000
The Bond County Democratic Central Committee,1000
Randy Hultgren for Congress,1000
Rachelle Aud Crowe For Senate,1000
Pro-Life Action League,1000
Nicholas M Williams,1000
National Solar Rebate,1000
Kathleen Sances,1000
John C. Ackerman for Tazewell County Clerk,1000
"If You Want It, LTD - a nonprofit supporting the fight for LGBTQ equality",1000
IL Clean Jobs,1000
Friends to Elect Terra Costa Howard,1000
Friends of Judge Randy Rosenbaum,1000
Friends of Ed Gallagher,1000
Friends for Gary Seyring,1000
DoSomething,1000
"David Ormsby, Inc.",1000
"Citizens to Elect Tom Weber: A copy of our report filed with the State Board of Elections is (or will be) available on the Board's oﬃcial website or for purchase from the State Board of Elections, Springfield, Illinois., ",1000
Citizens for Maldonado,1000
Citizens for Laurie Nehring,1000
Chicago Humanities Festival,1000
"Anti-Harassment, Equality and Access Panel",1000
Friends of George Cardenas Political Committee,999
Paid for by Friends of Kelli Wegener,994
AFSCME Council 31,906
the DSCC,901
"Donald J. Trump for President, Inc.",740
by the Committee to Elect Judge O'Gara,497
California Democratic Party,460
Concealed Online,459
Swing Left. Not authorized by any candidate or candidate's committee.,452
Wyoming Progress,447
Need to Impeach,442
Angie Craig for Congress,410
laurence kruckman,404
Heidi for North Dakota,374
Defenders of Wildlife,356
Oxfam America,340
Planned Parenthood Federation of America,318
Keep and Bear,310
Bill Nelson for U.S. Senate,309
the Claremont Institute.,301
DCCC,292
"AAF Nation, LLC",286
Beto for Texas,236
Circa,222
Penzeys,178
Making Every Vote Count,177
Chris Grisolia,169
World Mercury Project,161
Bill O'Reilly Staff,149
The Nib,143
Sand Cloud,137
Ocean Conservancy,136
Florida Strong Action PAC independently of any candidate.,95
Ad approved and funded by Chuck Jones for Township Trustee. Jed Barot Treasurer ,93
Finance Watch Dogs,77
Gillibrand for Senate,67
CRTV,66
Greenpeace USA,64
Affordable Housing Now Yes on Props 1 & 2 Coalition,62
Environmental Defense Fund,47
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",46
Proud Right Winger,45
No Kid Hungry,44
Rustic Edge Marketing,42
Joe Kennedy for Congress.,41
McCaskill for Missouri,39
For Kids & Country,39
End Citizens United,38
Friends of Ann McDonough for County Supervisor,37
WeThePeopleHolsters ,36
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",36
Heifer International,36
Solange for Scottsdale. Authorized by Solange Whitehead. ,34
Vericool Inc,33
the Democratic National Committee,32
Next Level Digital,32
EMILY's List,31
National Domestic Workers Alliance,30
Stand for Salmon,29
Conservative Tribune,29
Working Families Party,27
The Colson Center,27
IVN News,24
Friends of Andrew Lewis,21
Kate Brophy McGee AZ - Senate,18
"Private Citizen concerned for the continued exploitation of women, children, animals.but especially equines.",17
Elisabeth Luntz,14
"Stand for Children, Inc.",12
PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,11
"Equality Florida Action PAC, P.O. Box 13184, Saint Petersburg, FL 33733",11
Committee to Elect Nicolette Fulton,7
"Janet Nguyen for Senate, FPPC ID#1373835",6
Cort Vanostran for Congress,5
"Maggie's List, a Political Action Committee",4
Kyle Kacal Campaign,4
Fuse Washington,4
Dave Yost for Ohio,4
LaRose for Ohio,1
"Friends for Tim Lowery, Mark Goldstein, Treasurer",1
Energy Nation,1
Beck 4 Indiana,1
the Progressive Change Campaign Committee PAC and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,0
the North Carolina Democratic Party and Tim Barnsback for NC House.,0
the National Network of Abortion Funds,0
the Committee to Elect Judge Christopher R. Stride,0
Your Trump Shop,0
Yorgan for Congress,0
Women's March Rockford,0
Wilhour for Illinois State Representative 107th District.,0
Turning Point USA,0
The Western Journal,0
The News* with Maggie Smith,0
The Epoch Times,0
The Dude's Designs,0
The Committee to Elect Helmuth Treasurer,0
Stand Up America,0
Spiritual Endeavors LLC,0
Sinema for Arizona,0
Science for Humans and Freedom Institute,0
Root for Sheriff ,0
Ro for Congress,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
PrintedKicks,0
Politicon,0
"Planned Parenthood Votes, 123 William St, NY NY 10038. Not authorized by any candidate or candidate's committee.",0
Planned Parenthood Action Fund.,0
Patriot Depot,0
Parks Project,0
PI Yoga Pants,0
Nelson for County Attorney,0
NARAL Pro-Choice America,0
Moving Danville Forward,0
MoveOn.org Civic Action.,0
Montanans for Tester,0
"Missourians For Mike Cierpiot, Fran Baker Treasurer.",0
Mercy For Animals,0
Mercy Corps,0
Mathews for Judge Committee,0
March To The Polls Rockford,0
Mallory Hagan for Congress,0
"Laura Kelly for Kansas, David Toland, Treasurer",0
"Justice Democrats, not authorized by any candidate or candidate's committee.",0
I Vote Because - A Non-partisan Campaign to Register Voters,0
I Love My Freedom,0
