Joe Donnelly,"[319000, 1415846]"
Sleeping Joe,"[215937, 554861]"
America First Action,"[130000, 349996]"
Senator Jim Merritt,"[110000, 249998]"
Indiana Republican Party,"[110000, 249998]"
Working For Us,"[76000, 307946]"
Senate Leadership Fund,"[60000, 299994]"
Nicole Ludlow for Elkhart County Auditor,"[12000, 29996]"
St. Joseph County Democratic Party,"[11000, 60992]"
Jerry Asher for Sheriff,"[10000, 49999]"
Indiana Secretary of State Connie Lawson,"[9738, 48691]"
Community Health Network,"[6000, 14998]"
Save Your Home Now,"[5784, 28928]"
Terry Curry,"[5000, 9999]"
Rick Meyer For Jackson County Sheriff,"[3000, 14997]"
Parks Project,"[2676, 6728]"
Vicky Woeste for Tippecanoe County Clerk,"[2000, 11996]"
Matt Cummings for Putnam County Council,"[2000, 10997]"
Maria Norman for School Board,"[2000, 10997]"
Sabrina Harms for Posey County Auditor,"[2000, 9998]"
Nick Siler,"[2000, 9998]"
Jeff Bragg for Noblesville School Board,"[2000, 9998]"
Tom Steyer,"[1697, 3660]"
Darrell Auxier for Judge,"[1570, 3140]"
Penzeys Spices,"[1471, 3463]"
Nine Line Apparel,"[1218, 3156]"
Marsy's Law for Kentucky,"[1145, 5725]"
Donald J. Trump,"[1043, 28109]"
Oxfam,"[1000, 11018]"
Modern Medicaid Alliance,"[1000, 6997]"
Howard County Democratic Party,"[1000, 6997]"
Gary Snyder for State Senate,"[1000, 6997]"
Rhonda Greene for Washington County Auditor,"[1000, 5998]"
Patton for Judge,"[1000, 5998]"
John Crawford for Mayor,"[1000, 5998]"
Charles Johnson,"[1000, 5998]"
Brock for Indiana,"[1000, 5998]"
Hoosier Environmental Council,"[1000, 5984]"
William Tanoos for Congress,"[1000, 4999]"
Whelan for HSE School Board,"[1000, 4999]"
Tonya Pfaff for Indiana,"[1000, 4999]"
Shannon E. Kohl for Mayor of Martinsville,"[1000, 4999]"
Olivia Pratt for County Clerk,"[1000, 4999]"
Michele for IPS,"[1000, 4999]"
Kevin Patterson,"[1000, 4999]"
Hatfield For Commissioner,"[1000, 4999]"
Greg Rathnow for State Representative,"[1000, 4999]"
Delaware County Republican Party - Indiana,"[1000, 4999]"
Dale Nowlin for State Rep,"[1000, 4999]"
County Councilman Clayton Whitson,"[1000, 4999]"
Trey Hollingsworth,"[998, 4987]"
Bill Thomas for Vigo County Council District 2,"[998, 4987]"
Fayette County Republican Party of Indiana,"[997, 5978]"
John Springer For Sullivan County,"[880, 5347]"
Hermann for Prosecutor,"[879, 4397]"
Concealed Online,"[492, 3170]"
Heidi Heitkamp,"[445, 2219]"
Dan Foley for Ohio House of Representatives,"[406, 812]"
American AF,"[348, 1737]"
Independent Voter,"[312, 1059]"
Proud Right Winger,"[310, 1687]"
Discovery Institute,"[245, 1226]"
VoteTogether,"[213, 1006]"
Bill Nelson,"[191, 1141]"
Indivisible Guide,"[181, 492]"
Energy Citizens,"[159, 797]"
EMILY's List,"[156, 1020]"
CARE,"[148, 296]"
Democratic Senatorial Campaign Committee (DSCC),"[145, 769]"
Your Trump Shop,"[126, 253]"
National Women's Law Center,"[122, 610]"
Dissent Pins,"[122, 244]"
Gates Foundation,"[119, 237]"
United States Constitution,"[115, 229]"
Angie Craig,"[102, 511]"
Living Free,"[88, 441]"
PAWS Chicago,"[78, 388]"
Teamsters Joint Council 10,"[57, 284]"
PrintedKicks,"[52, 347]"
Sand Cloud,"[52, 292]"
Cort VanOstran for Congress,"[45, 90]"
Make HIM Great,"[42, 211]"
End Citizens United,"[36, 203]"
Shield Republic,"[34, 183]"
SEIU MN State Council,"[32, 161]"
Adam Schiff,"[32, 159]"
Chicago Council on Global Affairs,"[31, 154]"
Pfizer,"[29, 242]"
Kirsten Gillibrand,"[28, 139]"
Swing Left,"[27, 200]"
Everytown for Gun Safety,"[27, 181]"
The Ben Shapiro Show,"[27, 135]"
NC House Republicans,"[27, 133]"
MoveOn,"[25, 1418]"
National Republican Congressional Committee,"[24, 1127]"
Elect Bret Roberts State Representative LD 11,"[24, 122]"
DuPage Policy Journal,"[24, 120]"
Conservative Tribune,"[22, 112]"
Patriot Depot,"[22, 109]"
DiversityInc,"[22, 109]"
National Domestic Workers Alliance,"[21, 134]"
Latta for Congress,"[21, 43]"
ACLU of Northern California,"[20, 100]"
Fipple,"[19, 97]"
Exclusive Apparel,"[17, 662]"
Kyrsten Sinema,"[17, 645]"
Kate Brophy McGee - State Senate,"[15, 41]"
Rudy Garza,"[13, 67]"
Military Network,"[12, 38]"
Greenpeace USA,"[10, 91]"
Corrections Tough,"[10, 48]"
Klean Kanteen,"[9, 46]"
Giving Brush,"[8, 70]"
SEIU Healthcare Illinois & Indiana,"[8, 41]"
Rachel Crooks for Ohio,"[8, 17]"
Frank LaRose,"[6, 34]"
SAGE,"[6, 32]"
MJ for Texas,"[5, 30]"
Bob Weiner,"[5, 27]"
Congressional Leadership Fund,"[5, 16]"
Anna Caballero for Senate,"[4, 21]"
Aftab Pureval,"[4, 21]"
Politicon,"[3, 574]"
Alliance for a Better Minnesota,"[3, 29]"
Shareblue Media,"[3, 14]"
Mark Pinsley,"[2, 36]"
Anna For Florida,"[2, 12]"
Protect CA Health Care,"[1, 9]"
David Chiu,"[1, 7]"
The Donald Stuff,"[1, 5]"
Mike Soter for State Representative,"[1, 4]"
Lee O. Savage For Mayor of Shreveport,"[1, 3]"
Democratic Party,"[0, 55682]"
Sheila Brillson for LaPorte County Commissioner,"[0, 5994]"
Clyde Myers for Indiana,"[0, 5994]"
Frank For Indiana,"[0, 3996]"
Chuck Jones,"[0, 3996]"
Lisa Dullum for County Council,"[0, 1998]"
Indiana Lawyer,"[0, 1998]"
Elect Benyousky Trustee,"[0, 1998]"
Bartholomew County Democratic Party,"[0, 1998]"
"Ann Collins for Monroe County, Indiana","[0, 1998]"
Ocean Conservancy,"[0, 1596]"
Heifer International,"[0, 1499]"
WhyHunger,"[0, 999]"
Vote Hanna Omar,"[0, 999]"
Vote Goedde for Posey Circuit Court Judge,"[0, 999]"
Trent Van Haaften for Posey Circuit Court Judge,"[0, 999]"
The People For Bernie Sanders,"[0, 999]"
Sharon Tucker for Council,"[0, 999]"
Randy Thornburg for Posey County Commissioner,"[0, 999]"
