Fred Hubbell,"[172000, 559989]"
Cindy Axne,"[114528, 259052]"
Living Free,"[109960, 249906]"
Iowa Senate Majority,"[87000, 421987]"
NARAL Pro-Choice America,"[50000, 99999]"
AARP Iowa,"[50000, 99999]"
Fix Politics Now,"[32260, 195149]"
Scott Webster For Scott County Board,"[22299, 99492]"
Jodi Clemens for Iowa House District 73,"[21000, 104997]"
NextGen America,"[19999, 61982]"
Tracy Freese,"[17000, 40994]"
Military Network,"[14996, 30988]"
Glenn Hurst,"[13000, 66994]"
Our Flag Our Country,"[11703, 53394]"
Tom Steyer,"[10770, 49763]"
Women For Civility,"[10000, 49999]"
The Family Leader,"[10000, 49999]"
Brian Lohse for Iowa House,"[10000, 49999]"
Self-Reliant Republic,"[9990, 49948]"
Eric Gjerde for Iowa,"[9000, 30994]"
Donald J. Trump,"[6531, 52657]"
Davis For State Treasurer,"[6000, 15997]"
Rogers for Supervisor,"[5000, 9999]"
Lundgren for Iowa House,"[5000, 9999]"
DoSomething.org,"[5000, 9999]"
American AF,"[3134, 7835]"
Camelot Education,"[2664, 5327]"
John M. Norwood,"[2000, 10997]"
Tim Knutson for Iowa,"[2000, 9998]"
Proxy.Vote,"[1099, 5496]"
IFC PAC,"[1000, 29528]"
Winning For Women,"[1000, 14217]"
Tim McClimon for Iowa HD 97,"[1000, 6997]"
Wapello County Attorney Gary E. Oldenburger,"[1000, 5998]"
Andrew Rasmussen for Iowa House,"[1000, 5998]"
Zach Whiting for Iowa Senate,"[1000, 4999]"
Varley For Iowa,"[1000, 4999]"
United Way of Central Iowa,"[1000, 4999]"
Stacey Walker,"[1000, 4999]"
Republican Party of Story County,"[1000, 4999]"
Joseph Howe for Iowa House District 36,"[1000, 4999]"
Jason Moats for Iowa HD 84,"[1000, 4999]"
Iowa Conservative Union - ICU,"[1000, 4999]"
Center for Worker Justice of Eastern Iowa:: Centro de Justicia Laboral,"[1000, 4999]"
Association of American Railroads,"[979, 4895]"
Kayla for Iowa,"[912, 8536]"
Sioux County Conservatives,"[837, 4186]"
Heidi Heitkamp,"[759, 1545]"
Tony Evers,"[569, 1137]"
Concealed Online,"[415, 3237]"
Nine Line Apparel,"[237, 921]"
Medals Of America,"[236, 770]"
National Republican Congressional Committee,"[214, 7121]"
Beto O'Rourke,"[197, 898]"
Giving Brush,"[171, 852]"
Planned Parenthood,"[165, 376]"
Environmental Defense Fund,"[162, 813]"
45 Hats,"[158, 788]"
Democratic Senatorial Campaign Committee (DSCC),"[146, 445]"
Matt Deaver for Legislature,"[131, 654]"
Portfolio Books,"[112, 561]"
Dan Hegeman,"[97, 484]"
Kyle Boese for State House,"[96, 481]"
Population Connection,"[80, 161]"
Louder with Crowder,"[74, 148]"
Turning Point USA,"[68, 143]"
Chris Murphy,"[54, 114]"
Bill Nelson,"[53, 300]"
Steve Swenson for Sheriff,"[42, 85]"
Making Every Vote Count,"[33, 164]"
LCV Victory Fund,"[32, 63]"
Niles Niemuth,"[30, 152]"
Flip Wyoming,"[29, 189]"
Planned Parenthood Action,"[27, 137]"
Swing Left,"[24, 182]"
MJ for Texas,"[24, 58]"
Exclusive Apparel,"[21, 166]"
Proud Right Winger,"[21, 106]"
Science for Humans and Freedom Institute,"[18, 245]"
Maryland Senate Democrats,"[17, 83]"
Stand Up America,"[16, 82]"
National Domestic Workers Alliance,"[15, 1412]"
Kyrsten Sinema,"[15, 296]"
Impact Fund,"[15, 76]"
Dave Yost,"[15, 64]"
Fipple,"[13, 64]"
Kirsten Gillibrand,"[13, 62]"
VoteTogether,"[13, 36]"
Sand Cloud,"[12, 62]"
America Rise Up,"[11, 56]"
NC House Republicans,"[10, 50]"
Conservative Gear,"[10, 49]"
Larry M Levine You are entitled to my opinion,"[9, 45]"
Cristina Garcia,"[9, 45]"
Define American,"[8, 40]"
Conservation International,"[8, 40]"
