Know Your Vote Louisiana,"[30000, 149996]"
Americans for Prosperity - Louisiana,"[16994, 75970]"
Jessee Carlton Fleenor for Congress 2018,"[11000, 54998]"
Color Of Change PAC,"[10000, 50998]"
"St. George, Louisiana","[10000, 49999]"
Ryan Gatti for State Senator District 36,"[10000, 49999]"
Louisiana Progress,"[10000, 19998]"
Louisiana Chemical Association,"[8000, 44985]"
Lee O. Savage For Mayor of Shreveport,"[8000, 42923]"
Solar Rebate,"[8000, 24996]"
Adrian Perkins for Mayor of Shreveport,"[6000, 15997]"
The Ouachita Citizen,"[5000, 9999]"
Re-Elect Tiffany Kuhn Jefferson Parish School Board District 3,"[5000, 9999]"
Judge Jimbo Stephens for Court of Appeal,"[5000, 9999]"
Committee to Elect Omar Mason - Judge,"[5000, 9999]"
"I Love You, America","[2291, 5726]"
Erin for Judge,"[2000, 9998]"
4ocean,"[1599, 3200]"
Concealed Online,"[1471, 6975]"
Elect Gregory Rome,"[1000, 5998]"
Elect Chris Huff,"[1000, 5998]"
Terrebonne Parish President Gordon Dove,"[1000, 4999]"
Scott Anslum For Sheriff,"[1000, 4999]"
Matt Romero - Youngsville City Councilman,"[1000, 4999]"
Ralph Abraham,"[998, 5989]"
People United for Privacy,"[935, 1870]"
Donald J. Trump,"[600, 20093]"
Planned Parenthood,"[583, 1507]"
Energy Nation,"[550, 2748]"
Conservative Gear,"[341, 1707]"
Self-Reliant Republic,"[302, 604]"
Re-elect Circuit Judge Lamar Pickard,"[282, 1411]"
Breaking Patriot News,"[259, 1297]"
American Financial Advisory For A Better Future,"[256, 1279]"
National Republican Congressional Committee,"[204, 1446]"
End Citizens United,"[187, 374]"
The Devil We Know,"[169, 846]"
American AF,"[120, 602]"
Cristina Garcia,"[119, 596]"
PrintedKicks,"[116, 277]"
Mi Familia Vota,"[100, 499]"
National Domestic Workers Alliance,"[92, 436]"
Your Trump Shop,"[87, 174]"
Circa,"[84, 418]"
Kirsten Gillibrand,"[80, 402]"
NASPA - Student Affairs Administrators in Higher Education,"[65, 129]"
Heidi Heitkamp,"[58, 545]"
Swing Left,"[57, 199]"
Conservative Daily,"[37, 186]"
Flip It Blue,"[34, 170]"
Indivisible Guide,"[33, 182]"
Congressional Leadership Fund,"[33, 164]"
The Ben Shapiro Show,"[28, 138]"
FloridaStrong,"[26, 129]"
I Love My Freedom,"[22, 108]"
David Chiu,"[22, 44]"
Beto O'Rourke,"[21, 108]"
Greenpeace USA,"[19, 104]"
Fipple,"[19, 95]"
Turning Point USA,"[18, 91]"
Build With Strength,"[17, 84]"
Savvy Stews,"[16, 78]"
Rooted in Rights,"[15, 77]"
Beesponsible,"[15, 74]"
Independent Voter,"[15, 64]"
Democrats,"[14, 98]"
UnitedVoice.com,"[14, 84]"
Dan DeBono for Congress,"[12, 59]"
Truthout,"[11, 57]"
Exclusive Apparel,"[9, 188]"
Planned Parenthood Action,"[9, 69]"
Oxfam,"[8, 53]"
Mindvalley,"[8, 40]"
Bill Nelson,"[7, 72]"
Tony Rackauckas,"[7, 35]"
Jay Inslee,"[7, 33]"
Kyrsten Sinema,"[6, 61]"
Whatcom County Deserves Better,"[6, 28]"
Elizabeth Warren,"[5, 24]"
