Americans for Prosperity,16994
Vote Jessee Fleenor,11000
Ryan Gatti Campaign,10000
Louisiana Progress,10000
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",10000
the Louisiana Chemical Association,8000
"AAF Nation, LLC",7615
The Committee to Elect Adrian Perkins for Mayor,6000
the Committee to Elect Omar Mason - Judge,5000
Tiffany Kuhn Campaign Fund,5000
The Ouachita Citizen,5000
Jimbo Stephens Campaign Committee.,5000
National Solar Rebate,4000
Hulu,2291
Erin Wiley Lanoux Campaign Committee,2000
Concealed Online,1471
Scott Anslum Campaign Fund,1000
Gordon Dove,1000
"Elect Gregory Rome, Inc. Campaign Committee",1000
Chris Huff,1000
Ralph Abraham ,998
Planned Parenthood Federation of America,583
Energy Nation,550
"Donald J. Trump for President, Inc.",484
"4Ocean, LLC",433
,391
Bill Nelson for U.S. Senate,355
News For Democracy,302
Breaking Patriot News ,259
End Citizens United,207
the NRCC and not authorized by any candidate or candidate's committee.,204
I Love My Freedom,172
Teflon Film LLC,169
the Trump Make America Great Again Committee,116
PrintedKicks,116
Mi Familia Vota,100
National Domestic Workers Alliance,92
Your Trump Shop,87
Circa,84
Gillibrand for Senate,66
NASPA - Student Affairs Administrators in Higher Education,65
Heidi for North Dakota,58
Swing Left. Not authorized by any candidate or candidate's committee.,57
WeThePeopleHolsters ,52
Conservative Daily,37
Retail Politics LLC,34
Indivisible Action,33
Congressional Leadership Fund,33
The Daily Wire,28
Florida Strong Action PAC independently of any candidate.,26
David Chiu for Assembly 2018,22
Beto for Texas,21
Fipple,19
Turning Point USA,18
Build With Strength,17
This ad was paid for by Savvy Stews,16
Rooted in Rights,15
IVN News,15
Beesponsible,15
DCCC,14
"Beachside Media, Inc.",14
Debono for Congress,12
Stand Up America,11
The Dude's Designs,9
Planned Parenthood Action Fund.,9
Oxfam America,8
"Tony Rackauckas for District Attorney 2018, FPPC ID# 970780",7
Sinema for Arizona,6
New Direction PAC,6
Joe Kennedy for Congress.,4
the DSCC,3
Greenpeace USA,3
Friends of Marty Quinn Senate 2018,3
Friends for Seth McMillan,3
Cort Vanostran for Congress,3
"Missourians For Mike Cierpiot, Fran Baker Treasurer.",2
James Sturch for State Senate.,2
"Motor Voter California, 20 Galli Drive, Suite A, Novato, CA 94949-5731, and not authorized by a candidate or candidate's committee",1
Elect Bret Roberts House 18,1
Dave Yost for Ohio,1
"CTE Donna Lasinski PO Box 7425, Ann Arbor, MI 48107",1
the National Network of Abortion Funds,0
the Foundation for Constitutional Government,0
the Democratic National Committee,0
the Committee to Elect Joy Nelson-New Roads City Council-District 1,0
reclaim the american dream - 501(c)3 - IRS certified ,0
Working Families Party,0
"Winning For Women, Inc.",0
Trumpified News,0
Tina Smith for Minnesota,0
The Epoch Times,0
The Dixon for Mayor Campaign,0
The Committee to Elect Jim Taliaferro,0
The Anti-Socialist,0
Tania Nyman Campaign,0
TZ Insurance Solutions,0
Soderberg for Congress,0
Science for Humans and Freedom Institute,0
Ranker,0
Rambo for Judge,0
Put Louisiana First. Not authorized by any candidate or candidate comittee.,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
Politicon,0
Pocket Your Dollars,0
Pfizer,0
Patriot Depot,0
Paid for by People for Ryan Trundle,0
Ocean Conservancy,0
O'Dorisio for Adams County,0
No Kid Hungry,0
Need to Impeach,0
NRDC Action Fund,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Military Officers Association of America (MOAA),0
Mercy For Animals,0
McConnell Senate Committee,0
MJ for Texas,0
Lupe Valdez for Governor,0
Louisiana Fact Check,0
"Justice Democrats, not authorized by any candidate or candidate's committee.",0
John Morris III,0
Jean Menard Campaign,0
"Jason Brodeur, Republican, for State Senate.",0
Indivisible Project,0
Human Coalition,0
"Hoffman for Senate, Rod Hoffman, Treasurer.",0
Heifer International,0
Giving Brush LLC,0
George R. Macri,0
Friends of Jeffery Harness,0
Friends of Dana Balter,0
Framed Tweets Inc,0
Finance Watch Dogs,0
Facing History and Ourselves,0
"Eye On DC the views, thoughts, and opinions expressed in the video belong solely to the correspondents and guests, and not necessarily to the correspondent employer, organization, committee or other group or individual.",0
Environmental Defense Fund,0
Energy Citizens,0
EMILY's List,0
Don Little for School Board,0
Diversity Incorporated,0
David Molina for Oregon,0
ConocoPhillips Company,0
Chris Humphrey Committee,0
Caleb Frostman for State Senate,0
CRTV,0
Bredesen for Senate,0
Blue Wave Voters,0
Baria for Mississippi,0
Askov Finlayson,0
American Jewish World Service,0
AFGE,0
AARP ,0
#VoteTogether,0
