Self-Reliant Republic,"[100000, 199999]"
Terry Hayes for Governor,"[95000, 349958]"
Our Next America,"[36751, 73502]"
Maine Matters,"[36000, 167992]"
Jared Golden for Congress,"[35989, 164942]"
Janet Mills,"[27000, 143982]"
Beacon,"[21000, 104997]"
Our Flag Our Country,"[20000, 99998]"
Living Free,"[19998, 99989]"
Yes on 1 - Mainers for Home Care,"[18000, 75974]"
Re-Elect Ben Chipman for State Senate,"[16000, 64997]"
Crystal Canney for Senate District 27 - Portland,"[13000, 34995]"
Maine Republican Party,"[12892, 82742]"
Angus King,"[11000, 86869]"
Shawn Moody,"[10640, 53197]"
Troy Jackson,"[10000, 49999]"
Jeff Timberlake for Maine Senate,"[10000, 49999]"
Brad Farrin for Senate,"[10000, 49999]"
Kim Rosen for Maine,"[5000, 24995]"
David Nealley for Bangor City Council,"[5000, 12996]"
Jennie Butler for Maine House District 25,"[5000, 9999]"
Ellie Espling for Maine Senate,"[5000, 9999]"
Senator Amy Volk,"[2000, 9998]"
Jason Putnam for Maine House District 87,"[2000, 9998]"
AARP Maine,"[2000, 9998]"
Joshua Hiatt for District 126,"[1000, 6997]"
Derek,"[1000, 5998]"
Seth Berry for Legislature,"[1000, 4999]"
Planned Parenthood Maine Action Fund,"[1000, 4999]"
Michael Brennan for Maine House District 36,"[1000, 4999]"
Maine Family Planning,"[1000, 4999]"
Maine Audubon,"[1000, 4999]"
Jeremy Mele For State Representative,"[1000, 4999]"
Sand Cloud,"[544, 1148]"
Concealed Online,"[456, 1034]"
Donald J. Trump,"[393, 5154]"
Winning For Women,"[265, 11141]"
Catholics for Choice,"[260, 519]"
Heifer International,"[152, 768]"
4ocean,"[127, 253]"
Population Connection,"[98, 491]"
Chris Meier for New Hampshire Senate District 3 -Carroll County,"[96, 481]"
Angie Craig,"[95, 473]"
American AF,"[88, 186]"
Penzeys Spices,"[84, 421]"
Circa,"[60, 180]"
John Catsimatidis,"[52, 262]"
Wolf-PAC,"[52, 261]"
Heidi Heitkamp,"[52, 105]"
Swing Left,"[47, 252]"
Independent Voter,"[43, 1102]"
Jay Inslee,"[43, 87]"
Silkies,"[41, 205]"
Energy Citizens,"[40, 103]"
Parks Project,"[36, 179]"
The Atlas Society,"[36, 72]"
Defending Donald,"[36, 71]"
Tom Steyer,"[35, 187]"
NARAL Pro-Choice America,"[34, 68]"
Kirsten Gillibrand,"[31, 155]"
The Western Journal,"[23, 45]"
Planned Parenthood Action,"[18, 98]"
The Nib,"[17, 34]"
Senator Paul Feeney,"[15, 75]"
EMILY's List,"[13, 197]"
Center for Western Priorities,"[12, 60]"
Elizabeth Warren,"[11, 56]"
Working Families Party,"[10, 94]"
The National Memo,"[9, 44]"
Ocean Conservancy,"[8, 1200]"
Phil Bredesen,"[8, 85]"
Vote Tony Thompson for Bullitt County Judge Executive,"[8, 42]"
Time To Vote On Climate,"[8, 39]"
Ho'ola Na Pua,"[7, 36]"
Power In Cooperation,"[7, 34]"
MJ for Texas,"[7, 34]"
Craig Christiansen for State Representative,"[7, 13]"
Pfizer,"[6, 38]"
CREDO Mobile,"[6, 32]"
Beto O'Rourke,"[6, 32]"
VoteTogether,"[6, 31]"
We The People Holsters,"[6, 30]"
"Philly Women Rally, Inc.","[6, 29]"
Shareblue Media,"[6, 12]"
Finance Watchdogs,"[5, 27]"
Best Medicare Plans,"[5, 27]"
Save the Children Action Network,"[5, 26]"
Rep. Steve Ross,"[5, 26]"
Watson Institute for International and Public Affairs,"[5, 25]"
I Love My Freedom,"[5, 25]"
AARP Member Benefits,"[5, 25]"
International Rescue Committee,"[4, 21]"
Claire McCaskill,"[4, 19]"
Shield Republic,"[3, 25]"
Science for Humans and Freedom Institute,"[3, 22]"
FrackFeed,"[3, 17]"
Democrats,"[2, 56]"
Edwards for New Hampshire,"[2, 12]"
Ric Vandett for NC Senate,"[2, 11]"
War On Our Future,"[1, 4]"
Mary Jane Caylor for City Council,"[1, 4]"
Jay Gonzalez,"[1, 4]"
Sharen Wilson,"[1, 3]"
Human Rights Campaign,"[1, 3]"
Democratic Party,"[0, 11447]"
National Republican Congressional Committee,"[0, 8114]"
Lachance for Lewiston,"[0, 3996]"
Chris Pappas for Congress,"[0, 2154]"
Stacey Guerin for Senate,"[0, 1998]"
"Jon Torsch for Portland City Council, District 2","[0, 1998]"
Bonnie L Young,"[0, 1998]"
Mercy For Animals,"[0, 999]"
Joey Brunelle for Portland,"[0, 999]"
"Concerned Taxpayers of Scarborough, Maine","[0, 999]"
"Bruce White Candidate for Maine House of Representatives, District 109","[0, 999]"
Amy Glidden,"[0, 999]"
Amy B. Arata for Maine House,"[0, 999]"
Ivory Ella,"[0, 250]"
Nathan Morin for Register of Deeds,"[0, 243]"
I Vote Because,"[0, 177]"
MoveOn,"[0, 157]"
Bill Nelson,"[0, 125]"
Conversations with Bill Kristol,"[0, 111]"
United Way of Greater New Haven,"[0, 77]"
Politicon,"[0, 75]"
National Domestic Workers Alliance,"[0, 64]"
Greenpeace USA,"[0, 42]"
Armed American Supply,"[0, 41]"
Mercy Corps,"[0, 39]"
Exclusive Apparel,"[0, 33]"
Rainforest Action Network,"[0, 30]"
Conservative Gear,"[0, 30]"
Kyrsten Sinema,"[0, 29]"
Environmental Defense Fund,"[0, 28]"
Everytown for Gun Safety,"[0, 24]"
American Jewish World Service - AJWS,"[0, 23]"
The Black Conservative Post,"[0, 20]"
Straight Twist - Animal Welfare,"[0, 18]"
ADL - Anti-Defamation League,"[0, 16]"
Resist Trump's agenda,"[0, 14]"
PETA (People for the Ethical Treatment of Animals),"[0, 13]"
National Network of Abortion Funds,"[0, 13]"
Sivoli For Senate,"[0, 11]"
Novin2018,"[0, 11]"
Indivisible Guide,"[0, 11]"
Andy Biggs,"[0, 9]"
Joe Kennedy III,"[0, 8]"
Planned Parenthood,"[0, 6]"
DiversityInc,"[0, 6]"
Askov Finlayson,"[0, 6]"
West Whiteland Democrats,"[0, 4]"
USA for UNHCR,"[0, 4]"
Turning Point USA,"[0, 4]"
TrustedBest,"[0, 4]"
Nine Line Apparel,"[0, 4]"
Democratic Senatorial Campaign Committee (DSCC),"[0, 4]"
Dana Balter for Congress,"[0, 4]"
CARE,"[0, 4]"
Giving Brush,"[0, 3]"
Voters - Not Politicians,"[0, 2]"
Animal Matters,"[0, 2]"
Shareable,"[0, 1]"
