"Citizens for Brian Frosh, Jerry Gross, Treasurer.",141000
"Montgomery County for Nancy Floreen; Joyce Fuhrmann, Treasurer",100991
Friends of John Olszewski Jr.,70000
People Over Politics,68000
"Friends of Christian Miele | Treasurer: Richard ""Maynard"" Thurfield",30000
"By Authority: Maryland House Democratic Caucus Committee; Gail E. Smith, Treasurer.",26000
"and Authorized by Maryland Democratic Senate Caucus Committee; Patricia L. Horton, Treasurer",25000
The Mackinac Center for Public Policy,21000
"Friends of Nino Mangione. Lawrence Hineline, Treasurer.",20000
the Lashar for Congress Committee,15000
"Marc Elrich for County Executive, Dale Tibbitts, Treasurer",15000
"David Trone For Congress, Inc. ",10000
National Solar Rebate,9000
,7869
Vote Solomon,7710
Mike Lee for Baltimore County Council District 2,7000
"Friends of Julie Brewington, Susan Warthen, Treasurer",6000
JCRC of Greater Washington,5000
AARP Maryland,5000
"Friends of Steve Johnson, Julie Johnson Treasurer",3000
"Friends of Jalisi - Keith Timmons, Treasurer",3000
"Committee to Elect Allan Kittleman; Bradley Myers, Treasurer",3000
" By Authority: Anne Colt Leitess for State's Attorney, John A. Potthast, Treasurer",3000
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",2018
"This message is paid for and authorized by Friends of Dana Schallheim / Kelly Cornacchia, Treasurer",2000
Friends of Paul Corderman,2000
Friends of Izzy Patoka ,2000
Elect Dave Bishop,2000
"DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.",1487
"the Maryland Democratic Party, and not authorized by any candidate or candidate's committee. By authority of Robert J. Kresslein, Treasurer.",1000
the Democratic Club of Queen Anne's County,1000
"Vote Schleifer, Hillel Soclof, Treasurer ",1000
The Calvert County Republican Central Committee,1000
Scott E's Blog,1000
"Ron George, State Senate; Harold Falcon, Treasurer",1000
Maryland Communities United,1000
"Laura Price for County Council, Jean C Everngam, Treasurer",1000
John Krowka for Board of Education; Simala Wright Treasurer,1000
"Friends to Elect Sarah Lacey, Jacqueline A. Brooks, treas.",1000
"Friends of Robert Leonard, Michael Brown, Treasurer",1000
"Friends of Julie Reiley, Jeanne Taylor Treasurer ",1000
Friends of Donna Blasdell,1000
"Friends of Dawn Myers, Cynthia Dooley Treasurer",1000
"Friends of Ben Jealous, Jason Small, Treasurer",1000
"Friends for Karen Simpson, Donna Flaharty, Treasurer",1000
"Citizens for Matt Morgan, Kathleen Morgan Treasurer",1000
"By Authority: Anne Colt Leitess for State's Attorney, John A. Potthast, Treasurer",1000
 Mark  Uncapher. ,1000
"Donald J. Trump for President, Inc.",931
Heidi for North Dakota,740
ACLU of the District of Columbia,509
Brennan Center for Justice,455
andrew johnson,421
Alexandria Ocasio-Cortez 2018,417
Penzeys,376
Dissent Pins,325
Concealed Online,235
Beto for Texas,213
Circa,188
EMILY's List,185
the Trump Make America Great Again Committee,182
Jeff Dove for Congress,176
Comstock for Congress,165
U.S. Chamber of Commerce,157
OxGrove Democrats,151
the ACLU,144
Giving Brush LLC,143
The Nib,142
Conservative Gear,134
End Citizens United,130
Define American,124
Students for Life of America,100
the NRCC and not authorized by any candidate or candidate's committee.,95
Ray Madrigal for City Council,91
Indivisible Action,87
Friends of Susan Collins,85
Hillel International,75
Your Trump Shop,62
Sand Cloud,53
Environmental Defense Fund,47
IVN News,42
National Association of Home Builders,40
The Dude's Designs,38
Need to Impeach,37
Swing Left. Not authorized by any candidate or candidate's committee.,34
Sinema for Arizona,33
National Domestic Workers Alliance,33
Finance Watch Dogs,32
Pocket Your Dollars,27
Heifer International,27
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,27
Greenpeace USA,25
Rustic Edge Marketing,22
Montanans for Tester,21
OuterGoods LLC,20
Human Rights Campaign,20
DearTomorrow,20
the DSCC,19
"The Simpler Campaign, LLC",19
Steve Snell for PA House Committee,19
Jerome Stowe,19
Planned Parenthood Federation of America,14
No Kid Hungry,14
"AAF Nation, LLC",14
ReBuild USA,13
"OAF Nation, Inc",13
Mike Kelly for Congress,12
The Daily Wire,11
Protect Our Winters Action Fund,11
Patriot Depot,11
Talley Sergent for West Virginia,10
PrintedKicks,10
45 Hats,10
PETA,8
National Media Distribution Services,8
CRTV,8
Friends of Steve Mentzer,6
Kendra Fershee for Congress,5
DuPage Policy Journal,5
"the ERTC.  Jason Jones, Treasurer.",2
Kenny Marchant for Congress,2
Energy Nation,2
"Committee to Elect Jennifer Dusing, Jeffrey Raines, Treasurer",2
Citizens for Patrick Windhorst,2
Texans for Natural Gas,1
Mission First VA,1
McCauley for Congress,1
Dave Yost for Ohio,1
Californians Against the Costly Disruption of Our Health Care,1
the Paulette Jordan Campaign,0
the North Carolina Democratic Party and Linda Bennett for NC House 26.,0
the National Network of Abortion Funds,0
"the Fire Fighters of Frederick County for collective bargaining PAC, Christopher Mutchler, Treasurer.",0
the Democratic National Committee,0
and authorized by Janet Mills for Governor.,0
Working Families Party,0
Workers Freedom Coalition ,0
"Winning For Women, Inc.",0
Wexton for Congress,0
Washington Speakers Bureau,0
UPROXX,0
Truth in Annapolis,0
"Todd Greeson for Circuit Clerk, PO Box 159 Ider, AL 35981.",0
Tina Davis for Senate,0
The Years Project,0
The Southern Environmental Law Center ,0
The Epoch Times,0
Tatiana Croissette,0
TZ Insurance Solutions,0
Suzanne Domagala ,0
Stand Up America,0
Soderberg for Congress,0
Society To End The Entitlement Mentality,0
Science for Humans and Freedom Institute,0
Save the Children Action Network ,0
Sarasota Citizen Martin Hyde,0
Ryan Hampton,0
RedBlueTracker,0
Ray Pilon Republican for Florida House District 72,0
Proud Right Winger,0
Politicon,0
Pfizer,0
Parks Project,0
PI Yoga Pants,0
Oxfam America,0
Our Lives Our Vote,0
Ocean Conservancy,0
Norgaard4AZ,0
"New Spire Arts, Inc",0
Movement Voter Project,0
MoveOn.org Civic Action.,0
Military Officers Association of America (MOAA),0
Mercy For Animals,0
Mercy Corps,0
