"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",2886000
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,149000
"the Michigan Democratic State Central Committee | 606 Townsend St. Lansing, MI 48933",136000
NextGen Climate Action Committee,87000
Change Now and not authorized by any candidate or candidate’s committee.,71000
Walberg for Congress,65421
"Mary Treder Lang for Secretary of State, 2870 Dobie Rd., Mason MI 48854",50000
American Tort Reform Association,41464
"America First Action, Inc.",41000
Fight for $15,35000
"Conservation Voters of Michigan PAC, 3029 Miller Rd, Ann Arbor, MI 48103 with regulated funds. Not authorized by any candidate.",22000
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",22000
"Yes Ready by Five, PO Box 3702, Grand Rapids, MI 49501",21000
CITIZENS FOR ENERGIZING MICHIGAN'S ECONOMY,20000
"Planned Parenthood of Advocates of Michigan | PO Box 15041, Lansing, MI 48901",13000
"Jocelyn Benson for Secretary of State P.O Box 21368 Detroit, MI 48221 ",11000
"Friends of Paul Mitchell, 4068 HOUGH RD, DRYDEN, MI 48428",11000
"Sara Spencer-Noggle for Isabella County Probate Judge, 407 E Broadway, Mt. Pleasant, MI 48858",10000
Color Of Change,10000
the Alliance for Michigan Power,8000
Tracie Tomak for District Judge,7000
Beto for Texas,5945
PCP Paul/Casey Productions,5000
"Gongwer News Service, the leading nonpartisan, independent source for news and information on state government and politics.",5000
"Friends of Jon Bumstead, 2186 E 72nd Street, Newaygo, MI 49337",5000
"Friends of Jake W. Smith, 88 S.LaVista Blvd., Battle Creek, MI, 49015",5000
CTE Brianna Scott for MSU Trustee,5000
Andrea Fischer Newman for U of M Regent,5000
the Committee to Elect Ed McBroom ,4847
"the Michigan Democratic State Central Committee, 606 Townsend St. Lansing, MI 48933",4187
Vote Yes for PARC,4000
Niles Niemuth for Congress 2018,4000
Kevin Daley for State Senate,4000
Indivisible Action,3660
The #Wild4Whitmer Unofficial Street Team,3000
Peter MacGregor for State Senate,3000
Republican Senate Campaign Committee,2135
the NRCC and not authorized by any candidate or candidate's committee.,2005
"Friends of Mari Manoogian, P.O. Box 1234, Birmingham, MI 48012",2000
Committee to Elect Phil Skaggs,2000
Citizens for MTEC-UC,2000
PragerU ,1777
Progressive Turnout Project,1758
League of Conservation Voters,1658
Heidi for North Dakota,1604
"Donald J. Trump for President, Inc.",1221
Need to Impeach,1149
the Kent County Republican Committee,1000
the Committee to Elect Michael C. Paige.,1000
the Committee to Elect Joanne Galloway,1000
Talil Abrhiem,1000
Susan Estep,1000
"Scott Dianda for State Senate, PO Box 81, Calumet, MI 49913",1000
Players Coalition,1000
Making Every Vote Count,1000
Larry Wilson,1000
Kevin Hoffer,1000
Homes For Our Troops ,1000
Garnet Lewis for State Senate,1000
Friends of Kristina Drake,1000
Domonique Clemons,1000
Cooper Nye for Congress ,1000
Citizens to Elect Sue Norman,1000
Bergman for Congress,1000
Angela Witwer for State Representative,1000
 Jenny Reinert Blehm,1000
Upton for All of Us.,999
