Alliance for a Better Minnesota,"[1946000, 4975946]"
World Vision USA,"[286673, 668754]"
American Straw Poll,"[256000, 615995]"
Living Free,"[199988, 399973]"
Jeff Johnson,"[135000, 417543]"
Minnesota 4 Us,"[110897, 255779]"
America First Action,"[79994, 255904]"
Congressional Leadership Fund,"[73000, 300923]"
Minnesotans for Line 3,"[71645, 183158]"
MN AFL-CIO,"[65000, 309993]"
Pam Myhra for State Auditor,"[44000, 191989]"
Joe Radinovich,"[40938, 174705]"
Dean Phillips for Congress,"[40000, 145788]"
Our Flag Our Country,"[29997, 149984]"
Keith Ellison for Attorney General,"[28984, 181845]"
Everytown for Gun Safety,"[26000, 149976]"
Yes for MPLS Kids,"[23000, 86992]"
Minnesota Issues That Matter,"[23000, 84994]"
Democratic Attorneys General Association,"[22067, 80128]"
Joe Perske for MN Senate,"[22000, 49994]"
CD3 Republicans,"[20000, 102977]"
Planned Parenthood Action,"[18018, 61078]"
MPR News,"[17996, 75976]"
Minnesota Values,"[16996, 69980]"
Blue Cross and Blue Shield of Minnesota,"[12000, 29996]"
Drew Christensen,"[11000, 55997]"
Cannon River Civic Center,"[11000, 26995]"
Peter McLaughlin,"[11000, 25996]"
Giffords,"[10997, 43969]"
Women For Civility,"[10369, 51845]"
Steve Peppin For Mayor 2018,"[10000, 49999]"
NARAL Pro-Choice America,"[10000, 49999]"
Josh Welter for Governor,"[10000, 20997]"
Hollies Winston for Brooklyn Park Mayor,"[9000, 30994]"
Roz Peterson,"[8841, 45205]"
Vote Ryan Fitzthum - Sartell Mayor,"[7000, 21995]"
Nels for State House,"[7000, 19997]"
Tou Xiong 53A,"[6000, 14998]"
MinneMinds,"[6000, 14998]"
Laurie Pryor for State Representative,"[6000, 14998]"
Angie Craig,"[5997, 15990]"
Neighbors for Sauke,"[5000, 9999]"
Carver County GOP,"[5000, 9999]"
Dave Hughes,"[4970, 9938]"
Barbara Dröher Kline for 20A,"[4000, 19996]"
Penzeys Spices,"[3286, 7824]"
Liftable Engagement Services,"[3000, 19992]"
Peggy Scott for MN House,"[3000, 15996]"
Tom Cherney for Hastings City Council,"[2000, 13994]"
MN350: Building a Climate Movement in Minnesota,"[2000, 10997]"
Tyrel Clark for House,"[2000, 9998]"
Stefanie Jaquette for North Mankato City Council,"[2000, 9998]"
Military Network,"[2000, 9998]"
Jeff Brand for House 19A,"[2000, 9998]"
National Republican Congressional Committee,"[1242, 44518]"
Self-Reliant Republic,"[1154, 5770]"
MN350 Action: Climate Justice in Minnesota,"[1000, 8995]"
Fowler For Sheriff,"[1000, 6997]"
Donzel Leggett,"[1000, 6997]"
Vote Yes Yes for Red Wing Schools - Invest in Our Future,"[1000, 5998]"
Ruth Richardson for House 52B,"[1000, 5998]"
Minnesota House DFL Campaign,"[1000, 5998]"
Mary Hoffmann Fasbender for Mayor,"[1000, 5998]"
Lori Braucks - Hastings At Large City Council Member,"[1000, 5998]"
Genevieve Plumadore for Milaca School Board,"[1000, 5998]"
Steve Morris - Woodbury City Council Candidate,"[1000, 4999]"
Stephen Browning for State Representative,"[1000, 4999]"
Sportsmen for the Boundary Waters,"[1000, 4999]"
Sierra Club Minnesota Political Committee,"[1000, 4999]"
Re-elect Zehnder Fischer,"[1000, 4999]"
Patty Acomb for MN State Representative,"[1000, 4999]"
Murray Smart for House 12A,"[1000, 4999]"
Minnesota Can't Wait,"[1000, 4999]"
Mark for NL-S,"[1000, 4999]"
Land Stewardship Project,"[1000, 4999]"
Kristin Bahner for State Representative,"[1000, 4999]"
Jonathan Weber for Inver Grove Heights Mayor,"[1000, 4999]"
John Howe for MN Secretary of State,"[1000, 4999]"
Jim Swenson for North Branch Mayor,"[1000, 4999]"
Jen4congress,"[1000, 4999]"
Eric Holien for Kandiyohi County Sheriff 2018,"[1000, 4999]"
Education Evolving,"[1000, 4999]"
Citizens Utility Board of Minnesota - CUB,"[1000, 4999]"
Aisha Gomez for House 62B,"[1000, 4999]"
Jim Hagedorn,"[999, 8989]"
Calandra Revering for Ramsey County Judge,"[992, 4959]"
ACLU,"[797, 3985]"
Donald J. Trump,"[712, 18210]"
Bill Nelson,"[491, 2623]"
Sand Cloud,"[474, 2372]"
Concealed Online,"[417, 2033]"
PragerU,"[239, 1195]"
Heidi Heitkamp,"[236, 2583]"
Kirsten Gillibrand,"[219, 1095]"
The Devil We Know,"[208, 1038]"
Turning Point USA,"[192, 960]"
Circa,"[170, 849]"
I Love My Freedom,"[168, 841]"
National Domestic Workers Alliance,"[158, 1865]"
Kayla for Iowa,"[113, 676]"
Medals Of America,"[100, 499]"
Team President Donald J Trump,"[96, 479]"
Humane Society International,"[92, 458]"
Tom Steyer,"[79, 561]"
Sioux County Conservatives,"[73, 364]"
MoveOn,"[70, 13315]"
The Nib,"[64, 321]"
Little Feminist Book Club,"[59, 293]"
45th President Donald J. Trump,"[45, 103]"
League of Conservation Voters,"[39, 268]"
Democrats,"[38, 80]"
Finance Watchdogs,"[34, 182]"
