Friends of Chris McDaniel,39000
TZ Insurance Solutions,6000
The Committee to Elect Paula Drungole Ellis for Chancery Court Judge,5000
Committee to Elect Daniel Tucker Chancery Judge,5000
Friends of Michael Evans ,3000
"the committee to elect Lisa Ann Koon for Chancery Judge.  I am Lisa Ann Koon, candidate for Chancery Judge.  Message approved by Lisa Ann Koon.",2000
the committee to elect COMPTON FOR CIRCUIT COURT JUDGE and approved by Robert Compton,1000
The Mississippi Humanist Association,1000
The Committee to Elect Judge Joseph Sclafani,1000
Carnelia Fondren For Chancery Court Judge,1000
Andrew B. Labas,998
the Mississippi Republican Party. Not authorized by a candidate or candidate committee. ,965
ReBuild USA,796
"AAF Nation, LLC",628
"Donald J. Trump for President, Inc.",227
Beto for Texas,202
IVN News,190
Indivisible Action,136
The Epoch Times,110
#VoteTogether,100
"Tony for Wisconsin. Connie Hutchison, Treasurer.",98
"Marin Crops, LLC",90
Teflon Film LLC,88
Need to Impeach,84
Episcopal Relief & Development,80
the NRCC and not authorized by any candidate or candidate's committee.,79
"Winning For Women, Inc.",79
Joe Kennedy for Congress.,62
Concealed Online,59
"Allison Gilman for Broward County Court Judge, Group 19, Non Partisan",55
the Trump Make America Great Again Committee,38
National Domestic Workers Alliance,38
Finance Watch Dogs,37
Color Of Change,35
Dave Yost for Ohio,33
Rustic Edge Marketing,31
Heidi for North Dakota,31
Your Trump Shop,30
Swing Left. Not authorized by any candidate or candidate's committee.,28
CRTV,27
Stand Up America,23
Everytown for Gun Safety Action Fund,23
"Craig Weide, an independent blogger (NoBull Cause). Not affiliated with or endorsed by any political party or organization.",22
the Democratic National Committee,21
Conservative Gear,18
Turning Point USA,14
Texans for Natural Gas,14
the DSCC,13
the ACLU,10
The Atlas Society,9
Grassroots For You,9
Friends of Donna Campbell,9
Environmental Defense Fund,8
OuterGoods LLC,7
Patriot Depot,6
Human Coalition,6
Dunn for SC Senate ,6
WeThePeopleHolsters ,5
Vote Jessee Fleenor,4
Ocean Helper,4
Gillibrand for Senate,4
Circa,4
Angie Craig for Congress,4
Elad Nehorai,3
DuPage Policy Journal,3
Buffy Wicks for Assembly 2018. FPPC #1396734,3
Bill Nelson for U.S. Senate,3
PennFuture,2
Pat Joffrion,2
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,2
AFSCME Council 31,2
The Vegan Vibe,1
Sinema for Arizona,1
Muratsuchi for Assembly 2018.,1
McCaskill for Missouri,1
"Laura Kelly for Kansas, David Toland, Treasurer",1
Human Rights Campaign PAC,1
"Committee to Elect Danny Mackey, Steve Stone, Treasurer",1
Californians Against the Costly Disruption of Our Health Care,1
Americans for Prosperity,1
the North Carolina Democratic Party and Tim Barnsback for NC House.,0
YallPolitics,0
USA for UNHCR,0
The Years Project Action Fund,0
The Right Way,0
The Dude's Designs,0
The Democratic Coalition,0
The Daily Wire,0
The Committee to Elect Yemi Kings,0
The Committee to Elect Tiffany Grove ,0
The Committee to Elect Tiffany Grove,0
The Committee To Elect Steven Nixon,0
Sears For Arizona,0
Science for Humans and Freedom Institute,0
Sand Cloud,0
Roger CPA Review,0
Ranker,0
PrintedKicks,0
Planned Parenthood Action Fund.,0
Physicians Quality Care,0
Pfizer,0
"Paid for by Public Safety for a Safer Santa Clara Supporting Hirokawa for Sheriff 2018, sponsored by the Deputy Sheriffs’ Association of Santa Clara County. Not authorized by a candidate or a committee controlled by a candidate. Committee major funding from Deputy Sheriffs’ Association of Santa Clara County.",0
Ocean Conservancy,0
Nine Line Apparel,0
National Rural Electric Association,0
NRSC,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Mercy For Animals,0
Kanew for Congress,0
Johnson for Governor,0
Independence County AR Democratic Committee,0
I Love My Freedom,0
Healthy Living Initiative ,0
Greenpeace USA,0
Giving Brush LLC,0
George R. Macri,0
Friends of Steve Mentzer,0
Friends of Chris Murphy,0
Faith First ,0
EMILY's List,0
Cort Vanostran for Congress,0
Conservative Tribune,0
ConocoPhillips Company,0
Committee to Elect Dan Jones. Approved by the candidate.,0
Civiqs,0
Chris Wilson for Alderman Ward 1,0
CARE,0
Bigger Pie Forum,0
Be a Hero PAC. Not authorized by any candidate or candidate’s committee.,0
Baria for Mississippi,0
Askov Finlayson,0
Anti-Defamation League,0
Animal Matters,0
American Jewish World Service,0
Adam Schiff for Congress,0
& Approved by the Candidate,0
" Nathcelly Rohrbaugh, Democrat, Florida House District 11",0
,0
