Restoration PAC,"[474000, 1209956]"
No On 185,"[290000, 699992]"
Stop I-186 To Protect Miners and Jobs,"[110000, 354987]"
Living Free,"[110000, 249997]"
Jon Tester,"[72999, 355955]"
Orvis,"[68000, 177991]"
Healthy Montana Campaign,"[48000, 181984]"
Our Flag Our Country,"[20000, 99998]"
Concealed Online,"[17039, 87849]"
Greg Gianforte,"[17000, 97970]"
Self-Reliant Republic,"[14185, 60461]"
FutureinAmerica,"[14000, 73982]"
POW Action Fund,"[13000, 66994]"
Protect Freedom PAC,"[11000, 32989]"
Military Network,"[11000, 25996]"
Thomas Pardy For Judge,"[10000, 49999]"
Black Butte Copper,"[10000, 49999]"
National Association for Gun Rights,"[8000, 24996]"
Seth Mangini,"[6000, 17995]"
Rex Renk for Clerk of the Supreme Court,"[6000, 15997]"
JayNelson ForSheriff-Coroner,"[5000, 9999]"
Better With Age,"[5000, 9999]"
Ashley Harada for District Judge,"[4000, 19996]"
Native Americans for Tester,"[3000, 20991]"
Brodehl For County Commissioner,"[3000, 17994]"
JoBeth Blair Candidate for Montana House District 11,"[3000, 14997]"
Northern Plains Resource Council,"[2000, 9998]"
Erin Cox for Gallatin County Auditor,"[2000, 9998]"
Montana Business Quarterly,"[1000, 5998]"
"Yes for Open Space, Rivers and Farmland","[1000, 4999]"
Living Independently for Today and Tomorrow (LIFTT),"[1000, 4999]"
Leesha Ford for HD21,"[1000, 4999]"
Bryher Herak for HD 75,"[1000, 4999]"
Ben McKee for Montana,"[1000, 4999]"
Heidi Heitkamp,"[493, 2272]"
4ocean,"[342, 684]"
Democratic Senatorial Campaign Committee (DSCC),"[272, 550]"
Donald J. Trump,"[243, 4879]"
Penzeys Spices,"[96, 386]"
League of Conservation Voters,"[81, 700]"
FrackFeed,"[78, 155]"
Fuel Freedom Foundation,"[70, 351]"
CREDO Mobile,"[65, 323]"
Kiss The Ground,"[49, 245]"
The Devil We Know,"[49, 244]"
Access Fund,"[42, 85]"
Sand Cloud,"[39, 124]"
Beto O'Rourke,"[29, 144]"
Independent Voter,"[26, 143]"
United States Constitution,"[26, 51]"
MoveOn,"[22, 2051]"
Bill Nelson,"[22, 49]"
Elizabeth Warren,"[22, 43]"
End Citizens United,"[21, 49]"
Color Of Change,"[19, 96]"
Corazon Coqui,"[16, 80]"
Tom Steyer,"[11, 326]"
My Pay My Say,"[9, 17]"
PrintedKicks,"[8, 42]"
Conservative Tribune,"[8, 42]"
VoteTogether,"[8, 16]"
Kialo,"[7, 36]"
Dave Yost,"[6, 29]"
Heifer International,"[5, 273]"
Kyrsten Sinema,"[5, 42]"
National Republican Congressional Committee,"[5, 34]"
Everytown for Gun Safety,"[4, 23]"
The Andrew Klavan Show,"[4, 22]"
National Women's Law Center,"[4, 18]"
Swing Left,"[3, 537]"
Indivisible Guide,"[3, 48]"
Kirsten Gillibrand,"[3, 15]"
Exclusive Apparel,"[2, 30]"
Pfizer,"[2, 26]"
Conservative Gear,"[2, 11]"
Bird + Stone,"[2, 10]"
Dan DeBono for Congress,"[2, 4]"
Giving Brush,"[1, 7]"
AFSCME Council 31,"[1, 7]"
"Steve O'Dorisio, Adams County Commissioner","[1, 6]"
Arizona List,"[1, 6]"
California Nurses Association,"[1, 5]"
Democratic Party,"[0, 8734]"
John Esp for Senate,"[0, 2952]"
Jennifer Merecki for Montana SD22,"[0, 1998]"
Cascade County Democratic Central Committee,"[0, 1998]"
Blue Cross and Blue Shield of Montana,"[0, 1998]"
Adam Hertz,"[0, 1998]"
Power In Cooperation,"[0, 1950]"
Modern Medicaid Alliance,"[0, 999]"
"Matt Regier, House District #4","[0, 999]"
Gallatin County Democrats,"[0, 999]"
Flush The Jon 2018,"[0, 999]"
Bob Rosipal for Sheriff,"[0, 999]"
TomHalvorson,"[0, 740]"
Askov Finlayson,"[0, 518]"
Conversations with Bill Kristol,"[0, 500]"
Definition.org,"[0, 333]"
Alliance for a Better Minnesota,"[0, 200]"
Lemhi County Democrats,"[0, 154]"
Dana Balter for Congress,"[0, 53]"
Ocean Conservancy,"[0, 37]"
Environmental Defense Fund,"[0, 35]"
Proud Right Winger,"[0, 29]"
Winning For Women,"[0, 27]"
EMILY's List,"[0, 23]"
Joe Kennedy III,"[0, 22]"
Dallas Safari Club,"[0, 22]"
Energy Nation,"[0, 20]"
Civiqs,"[0, 19]"
