Bob Krist for Governor,"[55000, 215978]"
Energy Citizens,"[20000, 99998]"
Don Bacon,"[10000, 49999]"
Christa Yoakum for Public Service Commission,"[6000, 29994]"
American Heart Association - Nebraska,"[5000, 9999]"
Donald J. Trump,"[2254, 40406]"
4ocean,"[2092, 4184]"
Glen Ellis Fremont City Council - Ward 2,"[2000, 9998]"
Tom Steyer,"[1770, 4530]"
National Republican Congressional Committee,"[1011, 16213]"
Sean Flowerday for County Commissioner,"[1000, 5998]"
Jennifer Hernandez for Clerk,"[1000, 5998]"
Center for Rural Affairs,"[1000, 4999]"
Bogner for OPPD,"[1000, 4999]"
Concealed Online,"[236, 1009]"
Penzeys Spices,"[182, 909]"
MoveOn,"[160, 2818]"
Everytown for Gun Safety,"[115, 577]"
Proud Right Winger,"[101, 276]"
Asa for Governor,"[101, 203]"
Sand Cloud,"[96, 414]"
National Domestic Workers Alliance,"[94, 479]"
Turning Point USA,"[85, 427]"
The Devil We Know,"[74, 369]"
Independent Women's Voice,"[73, 367]"
In the Woods with Phil,"[71, 357]"
45th President Donald J. Trump,"[59, 135]"
Judicial Watch,"[37, 75]"
Dissent Pins,"[28, 55]"
Color Of Change PAC,"[26, 128]"
Gates Foundation,"[26, 52]"
Science for Humans and Freedom Institute,"[25, 1245]"
Beto O'Rourke,"[25, 50]"
Save Your Home Now,"[20, 100]"
Heidi Heitkamp,"[17, 34]"
For Kids & Country,"[15, 77]"
Dean Phillips for Congress,"[14, 76]"
Independent Voter,"[12, 48]"
Phil Bredesen,"[11, 59]"
Voice Big,"[10, 50]"
Planned Parenthood,"[9, 70]"
I Love My Freedom,"[9, 47]"
Shield Republic,"[9, 46]"
Catholic Relief Services,"[8, 41]"
Paul Pate for Iowa,"[8, 39]"
James Ramos for Assembly,"[8, 24]"
Vote Donna Lasinski,"[8, 16]"
Giving Brush,"[7, 39]"
EMILY's List,"[6, 100]"
Erase The Hate,"[6, 32]"
Stand for Children - Colorado,"[6, 30]"
Swing Left,"[5, 1038]"
Blue Wave,"[5, 25]"
Democrats,"[5, 19]"
Ocean Conservancy,"[4, 583]"
Kyrsten Sinema,"[4, 38]"
Greenpeace USA,"[4, 37]"
CARE,"[4, 35]"
Will County Gazette,"[4, 21]"
Chicago Booth Review,"[4, 20]"
California Republican Party,"[4, 20]"
Bill Nelson,"[3, 20]"
Kirsten Gillibrand,"[3, 17]"
FreedomWorks,"[3, 17]"
Self-Reliant Republic,"[3, 16]"
Planned Parenthood Action,"[3, 15]"
Our Flag Our Country,"[3, 15]"
Rick Green,"[3, 13]"
Perspective Wealth Planning,"[3, 7]"
Priorities USA Action,"[2, 11]"
Unite America,"[2, 10]"
Finance Watchdogs,"[2, 8]"
American Values PAC,"[2, 3]"
Indivisible Guide,"[1, 15]"
Anthony Brindisi For Congress,"[1, 7]"
Karen McCormick for Congress,"[1, 6]"
Ric Vandett for NC Senate,"[1, 4]"
Congressional Leadership Fund,"[1, 2]"
Democratic Party,"[0, 19665]"
Nebraska  #LGBTQIADemocrats,"[0, 2966]"
MedicareSupplement.com,"[0, 1998]"
Matt Deaver for Legislature,"[0, 1896]"
Mercy For Animals,"[0, 999]"
Machaela Cavanaugh for Legislature,"[0, 999]"
Democratic Coalition Against Trump,"[0, 999]"
Co-ops Vote,"[0, 999]"
Bold Nebraska,"[0, 999]"
IFC PAC,"[0, 515]"
Conversations with Bill Kristol,"[0, 200]"
Politicon,"[0, 143]"
Energy Nation,"[0, 131]"
Alliance for a Better Minnesota,"[0, 128]"
CRTV Tonight with Gavin McInnes,"[0, 125]"
Civiqs,"[0, 63]"
Divided We Stand,"[0, 34]"
PrintedKicks,"[0, 24]"
Joe Kennedy III,"[0, 24]"
Zoë Bands,"[0, 21]"
VoteTogether,"[0, 19]"
Kate Brophy McGee - State Senate,"[0, 16]"
Heifer International,"[0, 15]"
Unspeakable Crimes,"[0, 13]"
"Imprimis, a Publication of Hillsdale College","[0, 13]"
Ro Khanna,"[0, 12]"
Democratic Senatorial Campaign Committee (DSCC),"[0, 12]"
Guardian Labs,"[0, 11]"
Exclusive Apparel,"[0, 11]"
E. O. Wilson Biodiversity Foundation,"[0, 10]"
DiversityInc,"[0, 10]"
Premium Care For Seniors,"[0, 9]"
Working Families Party,"[0, 8]"
Texas Public Policy Foundation,"[0, 6]"
Disrupt Aging,"[0, 6]"
Animal Matters,"[0, 6]"
Notorious Rbg - Protect Women Power,"[0, 5]"
Mercy Corps,"[0, 5]"
Ho'ola Na Pua,"[0, 5]"
Environmental Defense Fund,"[0, 5]"
Buffy Wicks,"[0, 4]"
Askov Finlayson,"[0, 4]"
Zahra Karinshak,"[0, 3]"
The Vegan Vibe,"[0, 2]"
