Living Free,"[519884, 1099710]"
Anthony Brindisi For Congress,"[181870, 610572]"
Todd Kaminsky,"[108000, 366978]"
NYC Commission On Human Rights,"[100000, 199998]"
Solar Energy Today,"[92997, 423962]"
Andrew Cuomo,"[92000, 422975]"
Lee Zeldin,"[76987, 209916]"
Marc Molinaro,"[75000, 209996]"
Annie Rabbitt for Senate,"[63000, 230973]"
Our Flag Our Country,"[60000, 299994]"
NARAL Pro-Choice America,"[49969, 99938]"
Tom Basile for State Senate,"[44999, 214974]"
Spectrum News NY1,"[41236, 176332]"
Indivisible Guide,"[40000, 169995]"
4ocean,"[39428, 78855]"
March For Our Lives,"[37151, 203281]"
Downtown for Democracy,"[24982, 82906]"
Military Network,"[24981, 82896]"
Reclaim NY Now,"[21000, 91990]"
Senator Jim Tedisco,"[20000, 99998]"
Self-Reliant Republic,"[20000, 99998]"
Women For Civility,"[19969, 99839]"
Jeff Pravato for Senate,"[19000, 79974]"
Antonio Delgado,"[16913, 71759]"
Greg Lasak for District Attorney,"[15000, 61996]"
Christopher F. Davis For State Senate,"[15000, 59998]"
"Juan Vides for New York State Assembly, 20th District","[14998, 46979]"
Jerome for County Executive,"[13000, 35994]"
Antonacci for the People,"[11999, 31991]"
Jim Gaughran for State Senate,"[11996, 60975]"
Dana Balter for Congress,"[11000, 90962]"
Upstate Jobs Party,"[11000, 54998]"
Mark Dunlea for State Comptroller,"[11000, 54998]"
David Carlucci,"[11000, 25725]"
Fix Politics Now,"[10000, 59980]"
Dan DeBono for Congress,"[10000, 50998]"
NAACP Legal Defense Fund,"[10000, 49999]"
Morgan Zegers for NYS Assembly,"[10000, 49999]"
Karl Brabenec,"[10000, 49999]"
Better With Age,"[10000, 49999]"
Brooks For Long Island,"[10000, 41987]"
WHO is John Brooks?,"[10000, 34994]"
Michelle Ostrelich for State Senate,"[10000, 19998]"
Mike LiPetri for State Assembly,"[7000, 23993]"
DiPietro For You,"[6875, 42296]"
Musa-Obregon & Associates NYC Criminal & Immigration Lawyers,"[6629, 33144]"
Colin Schmitt,"[6000, 56967]"
Vickie Paladino for State Senate,"[6000, 34989]"
Fred Akshar,"[5594, 27965]"
Tom Suozzi,"[5000, 9999]"
Serino4NY,"[5000, 9999]"
Scott Noren for US Senate (Official),"[5000, 9999]"
Judge Martin for Dutchess County Family Court Judge,"[5000, 9999]"
Citizen Action of New York,"[5000, 9999]"
John Catsimatidis,"[3797, 7593]"
Donald J. Trump,"[3513, 56268]"
Brennan Center for Justice at NYU Law,"[3372, 7477]"
Common Defense,"[3352, 16753]"
Senator Elaine Phillips,"[3000, 29982]"
Chuck Lavine for Assembly,"[3000, 16995]"
Marcia LeMay for Ogdensburg City Court Judge,"[3000, 15996]"
ACLU,"[2834, 20005]"
Senator John Brooks,"[2000, 13994]"
Nomiki Konst,"[2000, 13994]"
Senator Sue Serino,"[2000, 12995]"
Angelo Santabarbara for Assembly,"[2000, 12995]"
The Niagara Reporter,"[2000, 9998]"
"Paul Van Blarcum, Ulster County Sheriff","[2000, 9998]"
Mannion for State Senate,"[2000, 9998]"
Joel Abelove for District Attorney,"[2000, 9998]"
Flip It Blue,"[2000, 9998]"
Erie County Republican Committee,"[2000, 9998]"
Alexandria Ocasio-Cortez,"[2000, 9998]"
AARP New Jersey,"[1738, 8690]"
Heidi Heitkamp,"[1472, 5578]"
Circa,"[1126, 5630]"
Independent Voter,"[1020, 2128]"
Unite America,"[1004, 5025]"
New York Communities for Change,"[1000, 9983]"
Stephen Chesley for Guilderland Town Justice,"[1000, 6997]"
Karen McMahon for New York State Assembly,"[1000, 6997]"
Jason Garnar,"[1000, 6997]"
Friends of Judge Michael Hayes,"[1000, 6997]"
CalmEffect,"[1000, 6997]"
The Vision Project: The Future of the Brooklyn Democratic Party,"[1000, 5998]"
Rodney J. Strange - 15th District Chemung County Legislator,"[1000, 5998]"
Re-Elect Senator Phil Boyle,"[1000, 5998]"
Nance Arquiett For St. Lawrence County Legislator - District 11,"[1000, 5998]"
802 Musicians for Change,"[1000, 5998]"
Planned Parenthood Action,"[1000, 5268]"
Who is Jen Lunsford?,"[1000, 4999]"
Trichter for New York,"[1000, 4999]"
Timothy Kennedy,"[1000, 4999]"
The Sanity Papers,"[1000, 4999]"
Need To Impeach,"[1000, 4999]"
Narratively,"[1000, 4999]"
Maggie's List,"[1000, 4999]"
Lou for NYS Assembly 2018,"[1000, 4999]"
Eric Zeni for District Court Judge,"[1000, 4999]"
East Meadow Chamber of Commerce,"[1000, 4999]"
City of Kingston Republicans,"[1000, 4999]"
Christine Pellegrino for NY Assembly District 9,"[1000, 4999]"
Bill Smith Pittsford Town Supervisor,"[1000, 4999]"
Otsego County Democrats,"[998, 4991]"
Always On NY,"[994, 4970]"
Chautauqua County Democratic Committee Norman P. Green-Chair,"[990, 4951]"
Martz for NY State Senate,"[981, 6902]"
Supervisor Joseph Saladino,"[971, 4854]"
Tony Evers,"[805, 4219]"
Working Families Party,"[751, 2356]"
The Arena,"[747, 3733]"
Democratic Senatorial Campaign Committee (DSCC),"[724, 3734]"
Tom Steyer,"[692, 7813]"
Defenders of Wildlife,"[667, 3337]"
Science for Humans and Freedom Institute,"[593, 3856]"
Veterans and Affordable Housing Act,"[494, 989]"
Bayonne Center for Progress,"[490, 2449]"
