Progress NC Votes,"[270000, 1289971]"
Dan Forest,"[109789, 533898]"
Living Free,"[89961, 449797]"
Heritage Action for America,"[60000, 149998]"
Women For Civility,"[49977, 99953]"
Sydney Batch,"[46000, 214994]"
Our Flag Our Country,"[40000, 199996]"
Ted Budd,"[31000, 110989]"
Quentin Miller for Buncombe County Sheriff,"[26000, 114996]"
Jeff Tarte,"[25000, 109997]"
Harry Ennis,"[25000, 109997]"
FreedomWorks,"[22036, 110009]"
North Carolina Citizens,"[21000, 117966]"
Protect NC Waters,"[21000, 104997]"
Progressive Takeover,"[21000, 104997]"
NextGen America,"[21000, 81980]"
Self-Reliant Republic,"[20004, 100015]"
America First Action,"[20000, 99998]"
Solar Rebate,"[19000, 50992]"
Toby Hampson for Judge,"[16000, 64997]"
Military Network,"[15757, 34850]"
National Republican Congressional Committee,"[14311, 34423]"
Indivisible Guide,"[13000, 35245]"
Keep Judge Gretchen Hollar Kirkman as District Court Judge,"[11598, 31576]"
Judge Sandra Ray for NC Court of Appeals,"[11000, 54998]"
Color Of Change PAC,"[10000, 50998]"
Buncombe County Democratic Party,"[10000, 50998]"
Doctors Without Borders/ Médecins Sans Frontières (MSF),"[10000, 49999]"
Blue Cross NC,"[10000, 49999]"
Andy Hanford For Superior Court Judge,"[10000, 49999]"
Kathy Manning,"[10000, 34994]"
Ryan Bowden - Alamance County Board of Education 2018,"[10000, 20997]"
Donna Ensley for Buncombe County Commission,"[10000, 19998]"
March For Our Lives,"[8277, 127509]"
NRDC,"[8000, 24996]"
Mary Wells for Commissioner,"[6000, 15997]"
Bob Steinburg,"[6000, 15997]"
Tom Langan for Judge,"[6000, 14998]"
Jennifer Benson for NC House,"[5000, 35788]"
Rep. Larry Yarborough,"[5000, 9999]"
Kimbrough for Sheriff 2018,"[5000, 9999]"
Judge Lou Trosch,"[5000, 9999]"
David Tillman - School Board District 3,"[5000, 9999]"
Project NOW,"[4913, 9825]"
League of Conservation Voters,"[4149, 15893]"
Gail Young for North Carolina,"[4000, 32983]"
Linda Bennett,"[4000, 27988]"
Joyce Krawiec for NC Senate,"[4000, 19996]"
David Rouzer,"[3998, 23980]"
Fulton for Wake County District Court Judge,"[3000, 20991]"
Cumberland County Democratic Party(NCDP),"[3000, 20991]"
Chuck Kitchen for Court of Appeals,"[3000, 14997]"
Moore County Republican Men's Club,"[2983, 14913]"
Swing Left,"[2305, 5934]"
Mack for NC,"[2000, 24983]"
Kris Rixon for NC House 9,"[2000, 15992]"
Wiley Nickel For North Carolina,"[2000, 11996]"
Common Cause NC,"[2000, 10997]"
Pitt County Democratic Party,"[2000, 9998]"
Judge April C. Wood,"[2000, 9998]"
Collins for County Commission,"[2000, 9998]"
Alliance for Climate Education,"[2000, 9998]"
Allegra Collins for Court of Appeals,"[2000, 9998]"
Donald J. Trump,"[1231, 40308]"
End Citizens United,"[1140, 2299]"
Stephen Brown,"[1000, 10993]"
Terri Legrand for NC House 2018,"[1000, 10634]"
Southern Environmental Law Center,"[1000, 6997]"
Sarah Homes for District Court Judge,"[1000, 6997]"
Senator Wesley Meredith,"[1000, 5998]"
Huffman for Clerk of Court,"[1000, 5998]"
John Dunlow for Judge,"[1000, 5979]"
Wendy Sellars for NC House,"[1000, 4999]"
H.R.Orr for Craven County Board Of Education District 2,"[1000, 4999]"
Conservatives for Clean Energy,"[1000, 4999]"
Caprice Pratt For Carteret County District 1 Commissioner,"[1000, 4999]"
Cabarrus County Democratic Party,"[1000, 4999]"
Adams for Sheriff,"[1000, 4999]"
AARP North Carolina,"[1000, 4999]"
Pat Nadolski for Alamance County Superior Court Judge,"[954, 4768]"
Sierra Club,"[939, 1878]"
Conservative Gear,"[929, 4646]"
Military Officers Association of America (MOAA),"[522, 2710]"
Silkies,"[489, 2444]"
NewsBusters.org,"[423, 2116]"
Nine Line Apparel,"[392, 1961]"
Carl Carter for Alabama Senate 11,"[390, 1950]"
Democrats,"[374, 1914]"
Kirsten Gillibrand,"[372, 1862]"
ReBuild USA,"[365, 1823]"
Tom Steyer,"[360, 2756]"
Everytown for Gun Safety,"[359, 1793]"
MoveOn,"[354, 7014]"
Scamazon,"[316, 1578]"
Stand Up America,"[301, 1504]"
Movement Voter Project,"[253, 618]"
National Health Law Program (NHeLP),"[220, 1102]"
Independent Voter,"[215, 1112]"
Ralph Norman for Congress,"[203, 784]"
Dummycrats,"[193, 385]"
Concealed Online,"[185, 867]"
Penzeys Spices,"[185, 371]"
45 Hats,"[175, 350]"
International Rescue Committee,"[173, 346]"
We The People Holsters,"[169, 338]"
Proud American Hunter,"[167, 334]"
Medals Of America,"[154, 309]"
Allison Gilman For Judge,"[141, 544]"
Heidi Heitkamp,"[123, 747]"
Science for Humans and Freedom Institute,"[118, 634]"
Dr. Donna Campbell,"[102, 204]"
Bill Nelson,"[96, 1087]"
Mission First,"[87, 438]"
Brian Kemp,"[76, 151]"
Coverage of the Trump Presidency by The Epoch Times,"[54, 486]"
Orvis,"[52, 262]"
Louise Valentine for State Senate,"[50, 248]"
J.M. Lozano,"[49, 244]"
Say No to impeachment,"[49, 243]"
Jason Brodeur,"[49, 97]"
Eric Bolling,"[45, 224]"
BreakPoint,"[40, 198]"
CARE,"[36, 267]"
Human Coalition,"[36, 219]"
Re-Elect Representative Raye Felder,"[36, 198]"
45th President Donald J. Trump,"[35, 215]"
CREDO Mobile,"[32, 177]"
I Love My Freedom,"[31, 157]"
Time To Vote On Climate,"[31, 153]"
Elizabeth Warren,"[30, 183]"
United States Constitution,"[29, 145]"
American AF,"[29, 143]"
Sand Cloud,"[23, 114]"
No Kid Hungry,"[21, 674]"
Politicon,"[21, 121]"
Ed Markey,"[21, 105]"
Paul Davis,"[21, 43]"
MJ for Texas,"[20, 141]"
Kevin Stitt for Governor,"[12, 61]"
Andrew Lewis,"[12, 61]"
SDSU WEST,"[10, 20]"
Alliance for a Better Minnesota,"[7, 1043]"
Jill Norgaard for AZ House,"[7, 37]"
Priorities USA Action,"[6, 33]"
David Wheeler,"[6, 13]"
Cort VanOstran for Congress,"[4, 20]"
Al Muratsuchi for Assembly,"[2, 11]"
Dave Yost,"[2, 8]"
James Ramos for Assembly,"[1, 6]"
Walt Wilkins for Solicitor,"[1, 4]"
Paul R. Ferro for State Representative,"[1, 3]"
Democratic Party,"[0, 50387]"
Tim Barnsback for NC House,"[0, 14818]"
Sam Edney,"[0, 11928]"
Gayle Kemp for State House,"[0, 9670]"
Environmental Defense Fund,"[0, 6006]"
Cape Fear Indivisible,"[0, 5914]"
Ric Vandett for NC Senate,"[0, 3996]"
Vote LEVY for Rowan County Commissioner,"[0, 2997]"
Pittman for Pitt County,"[0, 2997]"
Kreider for Judge,"[0, 2997]"
Reality Bites,"[0, 2952]"
