North Dakotans for Citizen Voting,"[88000, 286940]"
Heidi Heitkamp,"[43000, 155950]"
Concealed Online,"[19030, 95158]"
Emineth for North Dakota,"[10000, 50998]"
Ruth Buffalo for North Dakota,"[10000, 49999]"
National Association for Gun Rights,"[10000, 49999]"
Brian Kroshus for North Dakota,"[7000, 20996]"
Ryan Rauschenberger-Tax Commissioner,"[5000, 9999]"
Jamestown Dem-NPL Campaign Office,"[5000, 9999]"
Vawnita Hovet Best - McKenzie County Commissioner,"[3000, 14997]"
Thompson for Attorney General,"[2000, 13994]"
Perry Miller for ND Senate,"[2000, 11996]"
Reform Fargo,"[2000, 10997]"
North Dakotans Against Measure 3,"[2000, 9998]"
North Dakota Republican Party,"[2000, 9998]"
ND xPlains,"[2000, 9998]"
Dave Hughes,"[1721, 8603]"
Joe Elsberry for ND House,"[1000, 7996]"
Secure Energy Future,"[1000, 5998]"
Phyllis Johnson for ND Senate,"[1000, 4999]"
MomsRising.org,"[1000, 4999]"
Gary Schwartzenberger,"[1000, 4999]"
District 1 Democratic-NPL - Williston,"[1000, 4999]"
Tom Steyer,"[488, 1230]"
4ocean,"[270, 628]"
Donald J. Trump,"[151, 4192]"
People United for Privacy,"[111, 222]"
Mike Coffman,"[101, 207]"
Nine Line Apparel,"[65, 326]"
Civiqs,"[33, 165]"
National Republican Congressional Committee,"[32, 216]"
Sand Cloud,"[32, 162]"
SEIU MN State Council,"[32, 162]"
Planned Parenthood,"[30, 73]"
Heifer International,"[24, 245]"
United States Constitution,"[24, 121]"
American AF,"[19, 39]"
Penzeys Spices,"[17, 84]"
Corazon Coqui,"[15, 76]"
Beto O'Rourke,"[15, 65]"
Coverage of the Trump Presidency by The Epoch Times,"[14, 48]"
World Animal Protection USA,"[13, 63]"
Swing Left,"[11, 38]"
Brian 'BAM' McClendon,"[8, 42]"
Elizabeth Warren,"[8, 23]"
Judi Reiss Prothonotary,"[7, 33]"
Shawn Kumagai for Dublin City Council,"[7, 15]"
Kyrsten Sinema,"[6, 84]"
PrintedKicks,"[6, 38]"
The Ben Shapiro Show,"[6, 35]"
45th President Donald J. Trump,"[6, 31]"
NRA - National Rifle Association of America,"[6, 29]"
Carl Carter for Alabama Senate 11,"[6, 29]"
Angie Craig,"[6, 13]"
CARE,"[5, 27]"
Right Now USA Superpac,"[5, 26]"
Caroline Self,"[5, 9]"
EMILY's List,"[4, 43]"
Divided We Stand,"[4, 22]"
Dean Phillips for Congress,"[4, 21]"
The Atlas Society,"[4, 20]"
Greenpeace USA,"[3, 24]"
MoveOn,"[3, 17]"
UnitedVoice.com,"[3, 16]"
Independent Women's Voice,"[3, 13]"
CRTV Tonight with Gavin McInnes,"[3, 13]"
CREDO Mobile,"[3, 13]"
Kirsten Gillibrand,"[2, 15]"
Frank LaRose,"[2, 12]"
The Donald Stuff,"[2, 11]"
Human Rights Campaign,"[2, 11]"
Save the Children Action Network,"[2, 9]"
VoteTogether,"[2, 8]"
MJ for Texas,"[2, 4]"
Shareblue Media,"[2, 3]"
Indivisible Guide,"[1, 15]"
Keith Ellison for Attorney General,"[1, 11]"
Planned Parenthood Action,"[1, 9]"
Giving Brush,"[1, 9]"
Tina Davis for State Senate,"[1, 5]"
Mi Familia Vota,"[1, 5]"
Priorities USA Action,"[0, 25978]"
Democratic Party,"[0, 3235]"
Schultz for State's Attorney,"[0, 1998]"
Tim Hoye for District 45 Representative,"[0, 999]"
Repubtards,"[0, 999]"
Haley Wamstad for State's Attorney,"[0, 999]"
Democratic Coalition Against Trump,"[0, 999]"
Brandon Medenwald,"[0, 999]"
Alliance for a Better Minnesota,"[0, 999]"
Askov Finlayson,"[0, 345]"
Chris Pappas for Congress,"[0, 256]"
Power In Cooperation,"[0, 49]"
Exclusive Apparel,"[0, 32]"
Ocean Conservancy,"[0, 25]"
Joe Kennedy III,"[0, 21]"
Pfizer,"[0, 18]"
LGBTQ Victory Fund,"[0, 16]"
Texans for Natural Gas,"[0, 15]"
Science for Humans and Freedom Institute,"[0, 11]"
Co-ops Vote,"[0, 11]"
Human Coalition,"[0, 10]"
Chris Murphy,"[0, 9]"
Tina Smith,"[0, 8]"
dittymoji,"[0, 7]"
Proud Right Winger,"[0, 7]"
Blue Wave,"[0, 7]"
National Network of Abortion Funds,"[0, 6]"
The People For Bernie Sanders,"[0, 5]"
Mitch McConnell,"[0, 5]"
Guardian Labs,"[0, 5]"
Flip It Blue,"[0, 5]"
Politicon,"[0, 4]"
Military Spouse,"[0, 4]"
Mercy Corps,"[0, 4]"
Block Bronx Bolshevik,"[0, 4]"
Kate Brophy McGee - State Senate,"[0, 3]"
Everytown for Gun Safety,"[0, 3]"
Dave Yost,"[0, 3]"
Bill Nelson,"[0, 3]"
Unspeakable Crimes,"[0, 2]"
The Devil We Know,"[0, 2]"
"Steve O'Dorisio, Adams County Commissioner","[0, 2]"
Re-Elect Senator Sean Bowie,"[0, 2]"
Joan Greene for Congress,"[0, 2]"
Jill Norgaard for AZ House,"[0, 2]"
DuPage Policy Journal,"[0, 2]"
Conservative Gear,"[0, 2]"
Mayor Matt Hall,"[0, 1]"
Buffy Wicks,"[0, 1]"
