the Oklahoma Council of Public Affairs,30000
Oklahoma Oil & Gas Association,25000
Concealed Online,23480
OK Health Action,21000
Jason Nichols for Congress,15000
"Democratic Midterm Victory Fund, 777 S. Figueroa Street | Suite 4050 | Los Angeles Ca 90017. Not Authorized By Any Candidate Or Candidate's Committee.",10000
Blake Shipley for Judge,7000
KWTV News 9,5000
Indivisible Action,3014
James Walters for District Judge 2018,3000
Friends of Smith for DA 2018,3000
the ACLU,2469
Brandon Thompson 2018,2000
Tracy Priddy for District Judge 2018,1000
"Taylor for Judge 2018, PO Box 925 Pryor, OK 74362",1000
Regan for Tulsa,1000
Keep Judge Hladik 2018,1000
Jeffers for House 2018,1000
Friends of Tom Sawyer 2018,1000
Friends of Carrie Blumert 2018,1000
Committee to Elect Dick Tannery for DA,1000
Bell for Norman 2018,1000
Justice Elizabeth Lang Miers Campaign,817
"Donald J. Trump for President, Inc.",549
Parks Project,406
Mike Kelly for Congress,382
the NRCC and not authorized by any candidate or candidate's committee.,354
IVN News,317
Keep and Bear,313
"4Ocean, LLC",308
Hulu,247
Conservative Gear,240
"NBCUniversal Media, LLC",178
"Marin Crops, LLC",161
DCCC,143
Dissent Pins,121
2atees1,115
#VoteTogether,111
National Rural Electric Association,109
Joe Kennedy for Congress.,107
Progressive Turnout Project,86
OuterGoods LLC,81
the DSCC,77
WeThePeopleHolsters ,75
Define American,64
Emily Sledge for Washington County Clerk,58
the Trump Make America Great Again Committee,54
ESAFund and not authorized by any candidate or candidate's committee.,52
"Angela Thomas For Mo. State Representative District 160 Dr Kent Farnsworth, Treasurer",48
Radinovich for Congress,41
Texans for Natural Gas,40
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",36
Bobby Hill,36
Color Of Change,33
Heidi for North Dakota,32
Dunn for SC Senate ,29
"Allison Gilman for Broward County Court Judge, Group 19, Non Partisan",29
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",28
Bill Nelson for U.S. Senate,27
Trump on Earth,25
Defenders of Wildlife,25
Sinema for Arizona,19
Tony Thompson for Bullitt Judge Executive,17
Scamazon,16
Finance Watch Dogs,16
"Beachside Media, Inc.",15
"Winning For Women, Inc.",14
PrintedKicks,13
Nine Line Apparel,13
Julie for Texas 25,13
Friends of Chuck Thomsen,12
Conservation International,12
Ocean Conservancy,11
Human Rights Campaign PAC,10
Shareblue Media,9
Grassroots For You,9
Heifer International,8
Everytown for Gun Safety Action Fund,8
Bredesen for Senate,7
McCaskill for Missouri,6
Norgaard4AZ,5
Linda Devore for House 44 Committee,4
Energy Nation,4
Dave Yost for Ohio,4
Californians Against the Costly Disruption of Our Health Care,4
the Progressive Change Campaign Committee PAC and not authorized by any candidate or candidate's committee. Contributions to the PCCC are not deductible as charitable contributions for federal income tax purposes.,3
Sand Cloud,3
WORLDZ,2
The Dude's Designs,2
Christensen for MN,2
мои личные средства в рекламу моей компании,1
Progress NC Action IE PAC,1
National Domestic Workers Alliance,1
David Chiu for Assembly 2018,1
"CTMT. David Desjardins, Treasurer. Approved by Matt Blumenthal.",1
the North Carolina Democratic Party and Linda Bennett for NC House 26.,0
the North Carolina Democratic Party and Committee to Elect Terri LeGrand.,0
the National Women's Law Center,0
the National Network of Abortion Funds,0
the Democratic National Committee,0
the Committee to Elect Dave Crutchfield Judge 2018,0
and authorized by Ryan Pitts for Judge 2018,0
and authorized by Janet Mills for Governor.,0
Waters Kraus & Paul,0
Voice Big,0
United Way of Greater New Haven,0
The Years Project,0
The Foundation for Oklahoma City Public Schools,0
The Epoch Times,0
The Daily Wire,0
Texas Justice & Public Safety PAC,0
TZ Insurance Solutions,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Supporters of Oraynab Jwayyed 2018,0
Support The 2nd Amendment,0
Sudan Relief Fund Inc.,0
Stand Up America,0
Science for Humans and Freedom Institute,0
Rustic Edge Marketing,0
Roger CPA Review,0
Reddick For Council 2018,0
Politicon,0
Planned Parenthood Federation of America,0
Planned Parenthood Action Fund.,0
Pfizer,0
PETA,0
Overworked Moms,0
No Kid Hungry,0
Need to Impeach,0
NRDC Action Fund,0
MoveOn.org Civic Action.,0
Montanans for Tester,0
Micah Ali - Compton School Board 2019,0
Maureen Kursh Reister Campaign,0
LGBTQ Victory Fund ,0
"Kevin Whiteside for County Commissioner 2018 12520 N 432 Rd, Adair, OK 74330",0
Karen Gaddis for HD75 2018.,0
Johnson for Governor,0
Jennifer for Judge 2018,0
JJ for House 2018,0
Greenpeace USA,0
Giving Brush LLC,0
"Friends to Elect Natalie Mai District Judge, Dist. 7, Ofc. 5, 2018",0
Friends of Steve Mentzer,0
Friends of Shay White 2018 ,0
Friends of Meloyde Blancett 2018,0
Friends of Kelly Albright 2018,0
Friends of Jacobi Crowley,0
FreedomWorks for America. Not authorized by any candidate or candidate's committee.,0
Framed Tweets Inc,0
Energy Citizens,0
EMILY's List,0
"Diana Arezzo, Ph.D., concerned private citizen, solely for the purpose of increasing post reach",0
DIANE FOR COLORADO CD3,0
ConocoPhillips Company,0
Committee to Re-Elect Paul Van Blarcum,0
Committee to Elect Thomas Salisbury District Judge 2018,0
CRTV,0
CARE,0
Buffy Wicks for Assembly 2018. FPPC #1396734,0
Brazos Press,0
Brad Boles 2018,0
Bonebreak 2018,0
Block Bronx Bolshevik,0
Askov Finlayson,0
"Approved and paid for by Boren Friends and Family for Mary B. Boren, 2018",0
Andy Kim for Congress,0
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,0
 The Committee to Elect Fred Dorrell 2018,0
 Keith Greene,0
