Tom Wolf,"[500970, 1304835]"
John Chrin for U.S. Congress,"[140000, 702983]"
Keith Rothfus,"[137000, 527980]"
American Tort Reform Association,"[86519, 173038]"
Ryan Mackenzie for State Representative,"[80000, 249996]"
Justin Simmons,"[70000, 199997]"
Bob Casey,"[66000, 164996]"
We Are PA,"[60000, 149998]"
Shareblue Media,"[58000, 274991]"
John Lawrence,"[49999, 249989]"
No Nuclear Bailout,"[32000, 134980]"
Donald J. Trump,"[25056, 150649]"
Pennsylvania State Treasurer Joe Torsella,"[23000, 87991]"
Living Free,"[20284, 100432]"
Our Lives Our Vote,"[20000, 101996]"
Mike Hanna for State Representative,"[20000, 99998]"
Marguerite Quinn for PA Senate,"[20000, 44957]"
NextGen America,"[17000, 54991]"
Jeremy Shaffer for PA State Senate,"[16000, 66995]"
Tim O'Neal for State Representative,"[16000, 64997]"
Beaver County United,"[16000, 64997]"
"Stewart Greenleaf, Jr.","[15000, 70987]"
Wendy Ullman for the 143rd,"[15000, 59998]"
Washington County United,"[12000, 62994]"
PP Pennsylvania Advocates,"[11000, 54998]"
Meredith Buck for PA State Rep,"[11000, 24997]"
Our Flag Our Country,"[10045, 50155]"
PennEast Pipeline,"[10000, 49999]"
Doyle Heffley,"[10000, 49999]"
Clark Mitchell for State Representative,"[10000, 49999]"
Self-Reliant Republic,"[9946, 49727]"
Anton Andrew for State Representative,"[8297, 31466]"
Write-in Ric Caruso PA US Senator,"[8000, 40991]"
Judith Higgins for State Senate,"[6999, 19993]"
Linda Fields for Pennsylvania Senate,"[6000, 15997]"
Ernest Lemoncelli for State Representative,"[6000, 14998]"
Aaron Bernstine for State Representative,"[6000, 14998]"
Military Network,"[5169, 10958]"
Steve Snell for PA House - 94th,"[5000, 10998]"
Gene DiGirolamo for State Representative,"[4000, 20995]"
CHI St. Joseph Children's Health,"[3867, 7733]"
Patagonia,"[3585, 7169]"
Concealed Online,"[2813, 6435]"
National Republican Congressional Committee,"[2489, 5851]"
Tom Steyer,"[2449, 5856]"
Melissa Shusterman for State Rep,"[2000, 13994]"
Dale Kerns for U.S. Senate,"[2000, 13994]"
Solar Rebate,"[2000, 11996]"
Vote Lauren Lareau,"[2000, 9998]"
Emily Best for PA Senate,"[1954, 9766]"
League of Conservation Voters,"[1645, 6628]"
Environmental Voter Project,"[1470, 2939]"
Mark Pinsley,"[1000, 8983]"
Our kids. Our commitment.,"[1000, 6997]"
West Whiteland Democrats,"[1000, 5998]"
Perry Warren for State Representative,"[1000, 5998]"
We The People - Pennsylvania Action,"[1000, 4999]"
Tioga County Democrats - PA,"[1000, 4999]"
Sludgefree UMBT,"[1000, 4999]"
Michele Wherley For PA 41,"[1000, 4999]"
McCauley For Congress,"[1000, 4999]"
First Home PA,"[1000, 4999]"
Eric Roe for PA State Representative,"[1000, 4999]"
DelcoGOP,"[1000, 4999]"
Bedford County Pa Democratic Party,"[1000, 4999]"
Area 4 Democrats,"[1000, 4999]"
A.G. Howell for District Attorney,"[1000, 4999]"
Pennsylvania Family Council,"[992, 4959]"
One Pennsylvania,"[976, 4877]"
Republican Committee of Lancaster County,"[946, 4731]"
Sounds Like Tennessee,"[879, 1757]"
Kirsten Gillibrand,"[867, 3683]"
Proud Right Winger,"[801, 3442]"
Pat McGeehan for House of Delegates,"[772, 3860]"
Color Of Change,"[771, 3854]"
Ceisler Media and Issue Advocacy,"[736, 3680]"
Fred Akshar,"[556, 2780]"
Giving Brush,"[440, 1181]"
NewsBusters.org,"[426, 2131]"
U.S. Chamber of Commerce,"[423, 2116]"
Good Jobs Nation,"[396, 1982]"
"The Law Offices of Vaughan de Kirby, A.P.C.","[390, 1951]"
Define American,"[388, 1938]"
Change Now,"[361, 903]"
American Financial Advisory For A Better Future,"[357, 1786]"
Sand Cloud,"[338, 752]"
Heidi Heitkamp,"[325, 2234]"
Independent Voter,"[318, 1606]"
DTN/The Progressive Farmer,"[299, 1494]"
Ryan Ferns - WV State Senate,"[267, 655]"
Antonio Delgado,"[264, 1319]"
Clearing out the Clutter,"[239, 1195]"
Planned Parenthood,"[238, 683]"
Kyrsten Sinema,"[192, 543]"
Common Ground Committee,"[190, 952]"
Alliance Defending Freedom,"[154, 307]"
