Tim Bjorkman,"[17000, 77979]"
Kristi Noem,"[12000, 61995]"
Yes on IM-25,"[11000, 54998]"
DoSomething.org,"[10000, 49999]"
Josh Haeder for State Treasurer,"[7998, 24986]"
Soholt For Senate,"[2000, 10997]"
Kasey Olivier,"[2000, 10997]"
Two Broads Talking Politics Podcast,"[1000, 4999]"
Naveen Malik for District 31 Representative,"[1000, 4999]"
Deb Peters - District 9,"[1000, 4999]"
Kyle Boese for State House,"[970, 4849]"
ReBuild USA,"[334, 667]"
End Citizens United,"[255, 588]"
Donald J. Trump,"[248, 5421]"
National Republican Congressional Committee,"[236, 697]"
Sand Cloud,"[198, 395]"
Heidi Heitkamp,"[167, 484]"
Penzeys Spices,"[127, 636]"
Tom Steyer,"[78, 415]"
Indivisible Guide,"[56, 282]"
Louder with Crowder,"[52, 261]"
American AF,"[47, 233]"
FreedomWorks,"[40, 200]"
Bird + Stone,"[40, 200]"
Mary Ann Sullivan for IPS,"[33, 66]"
Bill Nelson,"[32, 105]"
Proud American Hunter,"[24, 48]"
OAF Nation,"[23, 47]"
Dissent Pins,"[22, 110]"
I Love My Freedom,"[20, 52]"
Zach Whiting for Iowa Senate,"[17, 87]"
Concealed Online,"[13, 73]"
Beto O'Rourke,"[13, 62]"
Human Coalition,"[10, 50]"
Access Fund,"[10, 21]"
Human Rights Campaign,"[9, 43]"
MoveOn,"[8, 25]"
Shield Republic,"[7, 41]"
Rant Nation with Graham Allen,"[6, 31]"
The Greater Give,"[6, 28]"
Kyrsten Sinema,"[6, 23]"
Population Connection,"[5, 23]"
Jordan for Governor,"[4, 24]"
UNRWA USA,"[4, 19]"
Vote for Vicki Campaign,"[4, 7]"
The Charlie Daniels Band,"[3, 15]"
Swing Left,"[3, 15]"
Oxfam,"[3, 15]"
No Kid Hungry,"[3, 15]"
World Vision USA,"[3, 14]"
Ocean Conservancy,"[2, 48]"
Truthout,"[2, 12]"
Right Now USA Superpac,"[2, 11]"
PrintedKicks,"[2, 10]"
Kirsten Gillibrand,"[2, 8]"
Claire McCaskill,"[2, 8]"
MPR News,"[2, 3]"
Fipple,"[1, 15]"
Hillel International,"[1, 5]"
Texans for Natural Gas,"[1, 4]"
Protect CA Health Care,"[1, 3]"
Democratic Party,"[0, 4743]"
Peri Pourier for SD House District 27,"[0, 1998]"
MedicareSupplement.com,"[0, 1998]"
Steve Swenson for Sheriff,"[0, 999]"
South Dakotans for Progress,"[0, 999]"
Margaret Ross for SD District 27 Representative,"[0, 999]"
Jason Coenen for Day County Sheriff,"[0, 999]"
George Nelson for District 34,"[0, 999]"
Heifer International,"[0, 369]"
Askov Finlayson,"[0, 223]"
Ivory Ella,"[0, 167]"
Framed Tweets,"[0, 125]"
EMILY's List,"[0, 117]"
Proud Right Winger,"[0, 21]"
Greenpeace USA,"[0, 21]"
Healthy Montana Campaign,"[0, 17]"
"Steve O'Dorisio, Adams County Commissioner","[0, 12]"
Pfizer,"[0, 12]"
Alliance for a Better Minnesota,"[0, 12]"
Guardian Labs,"[0, 9]"
Armed American Supply,"[0, 8]"
Military Officers Association of America (MOAA),"[0, 7]"
Everytown for Gun Safety,"[0, 7]"
Joe Kennedy III,"[0, 6]"
Coverage of the Trump Presidency by The Epoch Times,"[0, 6]"
Science for Humans and Freedom Institute,"[0, 5]"
Save the Children Action Network,"[0, 5]"
Pursuit,"[0, 5]"
Notorious Rbg - Protect Women Power,"[0, 5]"
Divided We Stand,"[0, 5]"
Dave Yost,"[0, 5]"
Justice Democrats,"[0, 4]"
Eric Bolling,"[0, 4]"
Democrats,"[0, 4]"
Working Families Party,"[0, 3]"
Ben R. Luján,"[0, 3]"
Stand Up America,"[0, 2]"
NRDC Action Fund,"[0, 2]"
Energy Nation,"[0, 2]"
Laura Kelly,"[0, 1]"
