March For Our Lives,"[82767, 285615]"
Our Kids 1st - Our Schools Now,"[75000, 360590]"
Eric Eliason for Congress,"[42000, 209994]"
Sim Gill for Salt Lake County District Attorney,"[22000, 112993]"
Vote Utah,"[16000, 70991]"
People United for Privacy,"[15999, 64990]"
J Lee Castillo for Congress,"[10000, 49999]"
Chris Stewart,"[10000, 49999]"
Americans for Prosperity - Utah,"[10000, 49999]"
Edgel4Utah,"[10000, 19998]"
Senator Brian Zehnder,"[8000, 49982]"
Jen Dailey-Provost for Utah,"[7000, 19997]"
Bob Aagard for Granite School Board,"[6000, 16996]"
Orem Families for UVU,"[6000, 15997]"
Senator Jim Dabakis,"[6000, 14998]"
Congressional Leadership Fund,"[5000, 28991]"
Scott Rosenbush 4 Utah,"[5000, 10998]"
Adam Gardiner,"[5000, 10998]"
Salt Lake County Democratic Party,"[5000, 9999]"
Rep. Mike Winder,"[5000, 9999]"
Drug Safe Utah,"[5000, 9999]"
Brad Bonham,"[4000, 20995]"
Rep. Steve Handy,"[4000, 19996]"
Elisabeth Luntz for Utah House District 27,"[3000, 14997]"
Parks Project,"[2131, 4262]"
Solar Rebate,"[2000, 10997]"
Jim Bradley,"[2000, 10997]"
Clare Collard,"[1000, 11992]"
Jeff Stenquist for Utah House of Representatives - District 51,"[1000, 5998]"
WPA Intelligence,"[1000, 4999]"
Representative Angela Romero,"[1000, 4999]"
Ray Ward - Utah House District 19,"[1000, 4999]"
Pat Riley for Utah School Board - District 5,"[1000, 4999]"
Matt Fairbanks for Morgan County Sheriff,"[1000, 4999]"
Ken Ivory,"[1000, 4999]"
Kathie Darby for Utah House District 9,"[1000, 4999]"
Democrats for Nathan Evershed,"[1000, 4999]"
Marsha Holland,"[673, 3365]"
Indivisible Guide,"[341, 1708]"
ReBuild USA,"[334, 667]"
Donald J. Trump,"[298, 7404]"
Concealed Online,"[287, 1309]"
Penzeys Spices,"[228, 762]"
Independent Voter,"[149, 298]"
Tom O'Halleran,"[136, 682]"
MoveOn,"[97, 493]"
Bill Nelson,"[93, 478]"
Planned Parenthood Action,"[90, 180]"
Circa,"[75, 374]"
Swing Left,"[56, 1378]"
Medals Of America,"[53, 263]"
Turning Point USA,"[51, 103]"
National Republican Congressional Committee,"[49, 293]"
Democratic Senatorial Campaign Committee (DSCC),"[48, 254]"
Making Every Vote Count,"[43, 226]"
Power In Cooperation,"[41, 312]"
John Catsimatidis,"[41, 203]"
Proud Right Winger,"[40, 85]"
Heidi Heitkamp,"[39, 77]"
Sand Cloud,"[36, 130]"
Dissent Pins,"[36, 72]"
Dallas Safari Club,"[36, 72]"
Flip Wyoming,"[26, 147]"
"Faith First                      Dan Q Carr, Jr","[25, 49]"
Planned Parenthood,"[22, 120]"
No Kid Hungry,"[17, 57]"
Tony Evers,"[17, 40]"
Pfizer,"[15, 48]"
Kirsten Gillibrand,"[12, 60]"
Human Rights Campaign,"[12, 60]"
