Patrick Morrisey,"[230000, 649996]"
Restoration PAC,"[192000, 497984]"
Our Flag Our Country,"[99842, 199683]"
National Association for Gun Rights,"[60000, 149998]"
Americans for Limited Government,"[50000, 99999]"
Living Free,"[49944, 99887]"
Better With Age,"[49845, 99688]"
McKinley for Congress,"[48763, 97525]"
Talley Sergent,"[34871, 159484]"
Wilkes for Supreme Court,"[20000, 99998]"
Ihlenfeld for State Senate,"[19998, 58983]"
Future of 55 PAC,"[15000, 59998]"
County Commissioner Matt Wender,"[15000, 59998]"
Women For Civility,"[9993, 49963]"
Military Network,"[9980, 49899]"
Hansen for House,"[6985, 20956]"
National Republican Congressional Committee,"[6735, 13623]"
Ben Queen,"[5000, 26993]"
Doug Skaff Jr.,"[5000, 10998]"
Lissa Lucas for WV House,"[5000, 9999]"
Donald J. Trump,"[2720, 22200]"
Chad Lovejoy for WV,"[2000, 22985]"
Mike Oliverio for Senate,"[1970, 9846]"
Re-Elect Bill Hartman - House of Delegates,"[1736, 8681]"
WV Future PAC,"[1000, 9994]"
Don Nickerson,"[1000, 5998]"
Theresa “Tess” Jackson Candidate for WV House of Delegates,"[1000, 5028]"
Renate Pore,"[1000, 4999]"
Joe Powers for Cabell County Clerk,"[1000, 4999]"
Greenbrier County Republican Club,"[1000, 4999]"
Pat McGeehan for House of Delegates,"[252, 1573]"
Josh Kail,"[185, 392]"
Concealed Online,"[156, 2325]"
NARAL Pro-Choice America,"[155, 774]"
Tom Steyer,"[153, 432]"
Science for Humans and Freedom Institute,"[112, 246]"
Sand Cloud,"[108, 546]"
DiversityInc,"[102, 203]"
The Center for Community Change,"[91, 220]"
Penzeys Spices,"[90, 297]"
We The People Holsters,"[87, 433]"
Proud American Hunter,"[80, 160]"
Pew Research Center,"[79, 394]"
Elizabeth Warren,"[74, 370]"
CARE,"[70, 376]"
Heidi Heitkamp,"[65, 252]"
The Devil We Know,"[60, 300]"
Beto O'Rourke,"[49, 184]"
Everytown for Gun Safety,"[48, 247]"
AFSCME Maryland,"[46, 231]"
Ben Shapiro,"[44, 87]"
Proud Right Winger,"[43, 118]"
American AF,"[41, 110]"
NRA - National Rifle Association of America,"[39, 77]"
Democratic Senatorial Campaign Committee (DSCC),"[38, 75]"
Indivisible Guide,"[35, 69]"
Anna Caballero for Senate,"[24, 120]"
Kyrsten Sinema,"[24, 64]"
Kirsten Gillibrand,"[18, 40]"
