John Barrasso,"[42000, 182990]"
Gary Trauner for U.S. Senate,"[5000, 9999]"
DoSomething.org,"[5000, 9999]"
Fremont County Democrats,"[3000, 14997]"
Tom James for WY Senate District 13,"[2000, 10997]"
"Elect Jackie Grimes: Representative, Wyoming HD 46-D","[2000, 10997]"
"I Love You, America","[1275, 2549]"
Barbara Allen for Wyoming House,"[1000, 7996]"
Wyoming State Senator Brian Boner,"[1000, 6997]"
Vic Bershinsky for City Council,"[1000, 4999]"
Backcountry Hunters & Anglers,"[995, 4976]"
Judicial Watch,"[360, 720]"
Nine Line Apparel,"[161, 322]"
Donald J. Trump,"[160, 2175]"
Heidi Heitkamp,"[152, 330]"
People United for Privacy,"[151, 302]"
J Lee Castillo for Congress,"[124, 512]"
Concealed Online,"[120, 616]"
Peaks to People Water Fund,"[58, 290]"
Penzeys Spices,"[51, 257]"
Kirsten Gillibrand,"[38, 185]"
The Devil We Know,"[32, 161]"
Coverage of the Trump Presidency by The Epoch Times,"[24, 155]"
Chad Benson Show,"[24, 121]"
UPROXX News,"[18, 92]"
United States Constitution,"[18, 36]"
Anna Caballero for Senate,"[17, 85]"
John Esp for Senate,"[17, 84]"
End Citizens United,"[17, 83]"
Sand Cloud,"[16, 48]"
Independent Voter,"[14, 71]"
Giving Brush,"[11, 22]"
Democratic Attorneys General Association,"[10, 49]"
Democratic Senatorial Campaign Committee (DSCC),"[9, 24]"
Bill Nelson,"[8, 47]"
Tony Evers,"[8, 42]"
Peter Cownie,"[6, 32]"
Conservative Mama PhD,"[6, 30]"
Kyrsten Sinema,"[5, 277]"
Planned Parenthood Action,"[5, 27]"
Make HIM Great,"[5, 26]"
Conservative Gear,"[5, 26]"
Shareblue Media,"[5, 9]"
Proud Right Winger,"[4, 18]"
Exclusive Apparel,"[4, 18]"
Stand Up America,"[4, 9]"
Dave Yost,"[4, 8]"
Greenpeace USA,"[3, 27]"
Make America United Again,"[3, 15]"
PrintedKicks,"[3, 14]"
DearTomorrow,"[3, 14]"
VoteTogether,"[3, 6]"
EMILY's List,"[2, 42]"
Stop Soldier Suicide,"[2, 12]"
Ocean Helper,"[2, 12]"
Shouldn't you be in Canada by now?,"[2, 11]"
National Domestic Workers Alliance,"[2, 10]"
Planned Parenthood,"[2, 9]"
Finance Watchdogs,"[2, 9]"
Environmental Defense Fund,"[2, 9]"
Catherine Stefani,"[2, 9]"
The Donald Stuff,"[2, 8]"
Job in Political Education with Donald J. Trump,"[2, 8]"
Friends For Zach Nunn,"[2, 4]"
Vote Donna Lasinski,"[2, 3]"
MoveOn,"[1, 11]"
The Nib,"[1, 7]"
National Republican Congressional Committee,"[1, 7]"
Define American,"[1, 5]"
Kate Brophy McGee - State Senate,"[1, 4]"
Democrats,"[1, 4]"
Diane Mitsch Bush for Colorado CD3,"[1, 2]"
Anne Stava-Murray for State Rep,"[1, 2]"
Democratic Party,"[0, 2303]"
Mike Gierau,"[0, 1998]"
Representative Jared Olsen,"[0, 999]"
Paul Johnson for Wyoming House,"[0, 999]"
Luther for County Commissioner,"[0, 999]"
"Healthy Hospital, Healthy Community.","[0, 799]"
UnitedVoice.com,"[0, 250]"
Power In Cooperation,"[0, 153]"
Military Officers Association of America (MOAA),"[0, 83]"
Politicon,"[0, 81]"
Heifer International,"[0, 48]"
Ocean Conservancy,"[0, 21]"
Askov Finlayson,"[0, 16]"
Energy Citizens,"[0, 14]"
Winning For Women,"[0, 8]"
Tom Steyer,"[0, 7]"
National Network of Abortion Funds,"[0, 7]"
Joe Kennedy III,"[0, 7]"
I Love My Freedom,"[0, 7]"
Chris Pappas for Congress,"[0, 5]"
Catholic Relief Services,"[0, 4]"
Save Idaho Horse Racing,"[0, 3]"
Science for Humans and Freedom Institute,"[0, 2]"
Practically Political,"[0, 2]"
Kialo,"[0, 2]"
Justice Democrats,"[0, 2]"
Indivisible Guide,"[0, 2]"
Elizabeth Warren,"[0, 2]"
Priorities USA Action,"[0, 1]"
