Friends of John Barrasso,42000
Trauner for the People of Wyoming,5000
DoSomething,5000
Fremont County Democratic Party,3000
Tom James for WY Senate District 13,2000
Elect Jackie Grimes,2000
Hulu,1275
Brian Boner,1000
Backcountry Hunters & Anglers,995
Judicial Watch,360
Heidi for North Dakota,152
Concealed Online,120
"4Ocean, LLC",109
the Trump Make America Great Again Committee,97
"AAF Nation, LLC",84
"Donald J. Trump for President, Inc.",63
Peaks to People Water Fund,58
Penzeys,51
The Western Journal,35
Teflon Film LLC,32
Chad Benson,24
Bird + Stone ,22
UPROXX,18
Keep and Bear,18
"Esp for Senate, Ron Arthun, Treasurer, Box 375, Clyde Park, MT 59018",17
California Democratic Party,17
Sand Cloud,16
IVN News,14
Giving Brush LLC,11
"DAGA, democraticags.org, not authorized by any federal, state, or local candidate or candidate’s committee.",10
the DSCC,9
Tony for Wisconsin. ,8
ConservativeMamaPhD,6
Spiritual Endeavors LLC,5
Sinema for Arizona,5
Planned Parenthood Action Fund.,5
The Dude's Designs,4
Proud Right Winger,4
Greenpeace USA,4
Dave Yost for Ohio,4
WeThePeopleHolsters ,3
PrintedKicks,3
Make America United Again ,3
MJ for Texas,3
DearTomorrow,3
Catholic Relief Services,3
#VoteTogether,3
Shareblue Media,2
Planned Parenthood Federation of America,2
Ocean Helper,2
National Domestic Workers Alliance,2
Finance Watch Dogs,2
Environmental Defense Fund,2
Elizabeth for MA,2
EMILY's List,2
Catherine Stefani for Supervisor 2018,2
"CTE Donna Lasinski PO Box 7425, Ann Arbor, MI 48107",2
Ben Miller -- one incredibly Passionate human being,2
,2
the NRCC and not authorized by any candidate or candidate's committee.,1
The Nib,1
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",1
Kate Brophy McGee AZ - Senate,1
Define American,1
DCCC,1
Bill Nelson for U.S. Senate,1
the National Network of Abortion Funds,0
the Democratic National Committee,0
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",0
"Winning For Women, Inc.",0
The Epoch Times,0
The Committee to Elect Jared Olsen,0
Science for Humans and Freedom Institute,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
Practically Republican,0
Politicon,0
Ocean Conservancy,0
Need to Impeach,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
Military Officers Association of America (MOAA),0
Luther for Teton County,0
Kialo,0
"Justice Democrats, not authorized by any candidate or candidate's committee.",0
Joe Kennedy for Congress.,0
Indivisible Action,0
I Love My Freedom,0
Heifer International,0
Healthy Hospital Healthy Community PAC,0
Friends of Paul Johnson,0
Energy Citizens,0
Conservative Gear,0
ConocoPhillips Company,0
"Beachside Media, Inc.",0
Armed American Supply,0
45 Hats,0
