California,9868202
Texas,7654091
Florida,4965592
Michigan,3829066
Minnesota,3493375
Arizona,2906977
Wisconsin,2812274
Georgia,2418626
Ohio,2298111
Illinois,2046701
Kentucky,1887058
Nevada,1687148
Pennsylvania,1564177
Colorado,1553196
New York,1401410
Montana,1201861
Massachusetts,1083193
Missouri,1042834
Oregon,1027403
Tennessee,869912
North Carolina,755081
South Carolina,719415
Indiana,708216
Maryland,639926
West Virginia,621000
New Jersey,577411
Virginia,576464
Washington,574312
New Mexico,552194
Iowa,528688
Maine,481010
Connecticut,350693
Utah,346867
Kansas,342110
Alabama,294156
Arkansas,275192
Alaska,226599
Oklahoma,164285
Louisiana,119693
North Dakota,116941
District of Columbia,112794
Nebraska,103756
New Hampshire,92125
Rhode Island,88792
Idaho,75798
Delaware,73238
Mississippi,69785
Wyoming,63683
South Dakota,51171
Hawaii,40557
Vermont,8325
