Arkansans for Jobs and Justice,322000,779993
French Hill for Arkansas,60000,149998
LJ Bryant,31000,154996
Jim Webb for Bentonville Mayor,27980,96925
Warwick Sabin,18000,74995
Luke Pruitt For Arkansas 77,10876,55379
"Rep. James Sturch for State Senate, District 19",10000,49999
Bob Ballinger for Arkansas State Senate,10000,49999
Walton Family Foundation,9800,48997
Baker Kurrus for Mayor,9000,30994
Kallen Peret for Arkansas House District 24,9000,29995
Mike Smith for Mayor of Stuttgart,7000,19997
State Rep. Mark Lowery,6000,29994
Judge Joseph K.Wood,6000,15997
Amelia Taldo-Williams,5000,25994
Rebecca Petty State Representative,5000,9999
Living Free,5000,9999
John Thurston for Secretary of State,5000,9999
AARP Arkansas,5000,9999
Dawn Clemence,4906,9811
Christie Craig for Arkansas House District 96,4833,10663
Ryan Carter For State Representative,4000,21994
Todd Crane,3000,15996
Orman for Bentonville Mayor,2000,16991
Jared Henderson for Governor,2000,13994
Independence County Democrats,2000,10997
Talk Business & Politics-Statewide,2000,9998
Rose Roland for Faulkner County Justice of the Peace District 5,2000,9998
Re-Elect Mayor of Greenwood Doug Kinslow,2000,9998
LeDante Walker Sr. for City Director District 2,2000,9998
Clarke Tucker for Congress,2000,9998
"I Love You, America",1109,2773
Bob Johnson for Mayor,1000,9994
Dana Bonham Candidate for State Representative,1000,8995
Tyler Dunegan for Mississippi County Clerk,1000,6997
Richard Harris for Mayor,1000,6997
Jim House for Washington Co Judge,1000,6997
Better With Age,1000,6997
Chris Moore for Mayor,1000,5998
Cedric Williams,1000,5998
Jeff Williams State Representative District 89,1000,5987
Treasurer Bobby Hill,1000,4999
Mandy for Rogers City Council,1000,4999
Kyle Smith - Fayetteville Ward 4,1000,4999
Karen Garcia City Director District 5,1000,4999
Jeremy Ross,1000,4999
Jackie Wright for Faulkner County Justice of the Peace District 5,1000,4999
Governor's Council on Developmental Disabilities - State of Arkansas,1000,4999
Chad Gardner for Maumelle Ward 2,1000,4999
Arkansas Times,1000,4999
AprilforAlderman,1000,4999
Adrienne Kvello,1000,4999
Clinton House Museum,873,4364
Donald J. Trump,723,8401
