Arkansans for Jobs and Justice ,100000
French Hill for Arkansas,50000
Warwick Sabin for Mayor ,10000
James Sturch for State Senate.,10000
Bob Ballinger for State Senate.,10000
Elect Luke Pruitt,9876
Walton Family Foundation,9800
Rebecca Petty Campaign.,5000
Mike Smith for Mayor of Stuttgart,5000
John Thurston for Secretary of State,5000
AARP Arkansas,5000
,5000
Clemence for Senate,4906
the Campaign to Elect Christie Craig,4833
Hulu,1109
the Campaign to elect Doug Kinslow for mayor.,1000
Vote 4 Dante Campaign,1000
Todd Crane for JP12,1000
The Governor's Council on Developmental Disabilities,1000
The Committee to Elect Jackie Wright,1000
Talk Business and Politics,1000
Ryan Carter For AR State Representative District 56,1000
Rose Roland,1000
Richard Harris for Mayor,1000
Re-Elect State Representative Jeff Williams,1000
Re-Elect Mark Lowery for State Representative Campaign,1000
Peret for Arkansas Campaign,1000
Mandy for Rogers AR,1000
LJ Bryant Campaign,1000
Karen Garcia Campaign,1000
Judge Joseph Wood,1000
Jeremy M Ross for State Representative,1000
Jared Henderson for Governor,1000
"City Council Member Kyle Smith, Fayetteville, AR, Ward 4 Position 2",1000
Citizens for Adrienne Kvello,1000
Chris Moore for Mayor,1000
Chad Gardner,1000
Cedric Williams For Mayor,1000
CLARKE TUCKER FOR CONGRESS,1000
Bobby Hill,1000
Baker Kurrus for Mayor,1000
Arkansas Times,1000
April Broderick,1000
Amelia Taldo Williams Campaign,1000
"Clinton House Museum, a private, nonprofit, nonpartisan organization.",873
"4Ocean, LLC",315
McCaskill for Missouri,140
PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,135
Alliance for Climate Education,134
Point Source Youth,100
Abortion On Our Own Terms,100
Turning Point USA,97
Sierra Club,84
Conservative Gear,72
Partnership for Civil Justice Fund - defending democracy and civil rights in the courts and in the streets,68
the DSCC,53
"Donald J. Trump for President, Inc.",40
Catholic Relief Services,39
"Edmondson For Governor 2018, 4901 Richmond Square, Suite 102, Oklahoma City, OK 73118",28
Save the Children US,22
Tim D'Annunzio,18
"Zya, Inc. ",17
JVMI,17
Liberty Nation,16
Teflon Film LLC,15
"Right Direction Wisconsin PAC, Michael Adams, Treasurer. Not authorized by any candidate or candidate’s agent or committee.",15
2A4LIFELLC,14
The Collective PAC; not authorized by any candidate or any candidate's committee.,13
Rebuild Louisiana,13
Michael Gaddis,13
"Goods Unite Us, Inc.",13
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",12
Donald Trump Collectables,12
Dean Phillips for Congress,12
Committee to Elect Norman Craig,12
CRTV,12
"Pursuit, a non-partisan, non-profit organization",10
Keep and Bear,10
James Thompson for Kansas,10
International Rescue Committee,10
Human Rights Campaign,10
America's Future Foundation,10
Shareblue Media,9
Proud Right Winger,9
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",9
"Citizens for a Better Butler County, Tyler Travers, Treasurer",8
Sally Siegrist for Indiana State Representative District 26,7
Parks Project,7
Progressive Turnout Project,6
32BJ SEIU,6
XSTRAW,5
Soderberg for Congress,5
Friends of Peter Breen,5
Ben Cantu for Manteca Mayor 2018,5
Amie Hoeber for Congress,5
Cort Vanostran for Congress,4
Savage for Mayor Campaign,3
Janet Garrett for Congress,3
"the Maine Republican Party, 9 Higgins Street, Augusta, Maine. Not paid for or authorized by any candidate.",2
the ACLU,2
The Bayou Brief,2
Rainforest Action Network,2
Mullin For Congress,2
"Merrill 2018, Holly Bates, Treasurer.  Approved by Denise W. Merrill, Candidate.",2
Kenny Marchant for Congress,2
Friends of Christopher Suarez,2
"Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.",2
Billy Long for Congress,2
Amnesty International USA,2
Republican Committee of Lancaster County,1
Krystal Valdez for Ellis County Clerk,1
"Friends of Christine Kilduff (D) | P.O. Box 65431, University Place, WA 98464",1
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,1
the Trump Make America Great Again Committee,0
the Republican State Leadership Committee,0
the Republican National Committee,0
the National Democratic Redistricting Committee,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Democratic National Committee,0
Vince Pearcy Campaign,0
Tyler Dunegan for County Clerk,0
Truthout,0
Trade for America,0
Tony for Wisconsin. ,0
Tom Wolf for Governor,0
The Rutherford Institute,0
The Nature Conservancy,0
The National LGBTQ Task Force,0
The Dude's Designs,0
The American Tort Reform Association,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Star Henson,0
Southern Alliance for Clean Energy.,0
Sonoma Land Trust,0
"Sky Took, LLC",0
Sinema for Arizona,0
Shireen for Congress,0
Shawn Wright for City Council,0
Sharice for Congress,0
Science for Humans and Freedom Institute,0
Save the Children Action Network ,0
Robin Lundstrum for State Representative,0
RJ Mazzoni,0
Progress Michigan,0
PrintedKicks,0
Portside,0
Pilkington for AR,0
Pfizer,0
Patriot Depot,0
OuterGoods LLC,0
No Kid Hungry,0
Newsom for California Governor 2018,0
News For Democracy,0
National Rural Electric Association,0
National Media Distribution Services,0
NRDC Action Fund,0
NRA,0
Munzinger for Missouri 136,0
Modern Medicaid Alliance,0
Mike Wiese Campaign Fund,0
Mike Roetzel for State House,0
Mike Loftin for Union County Judge,0
Mike Levin for Congress,0
March of Dimes,0
Maple+Twig,0
Maple Heights African American Gazette,0
Lupe Valdez for Governor,0
Liuba for Congress ,0
Linda Devore for House 44 Committee,0
Lebowski Lovers,0
Learn Our History,0
Kulkarni for Congress,0
Kamala Harris for Senate,0
Judd Cowan for State Representative,0
Jody Urquhart Campaign Fund,0
Jim Webb for Bentonville Mayor,0
Jim House for County Judge,0
Jeff Merkley for Oregon,0
Jason Dobson Campaign,0
Independence County AR Democratic Committee,0
Hunter Windle,0
Human Rights Watch,0
Human Coalition,0
Heifer International,0
Greenpeace USA,0
Giving Brush LLC,0
Gary Morris 2018,0
Friends of Glenn Thompson,0
Frank Gilbert,0
First Liberty Institute,0
Faulkner County Democratic Party,0
Energy Citizens,0
Emily Sledge for Washington County Clerk,0
Elizabeth for MA,0
EMILY's List,0
Divided We Stand®️,0
Dennis Mitchell,0
Denise for Arkansas,0
Dana Bonham Campaign,0
DCCC,0
Conservative Tribune,0
Concealed Online,0
Committee To Elect Ray Dotson,0
Comedy Central,0
Coleman W2 Campaign,0
Christian Care Ministry,0
Campaign to Elect Stephanie Orman for Mayor,0
CARE,0
By: nick charles tilberg:,0
Brian for Bentonville,0
Bob Johnson for Mayor,0
Blue Wave Voters,0
Barnes for JP,0
Aspire Gear,0
Armed American Supply,0
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",0
American Gas Association,0
Access Fund,0
"AAF Nation, LLC",0
45 Hats,0
#VoteTogether,0
 Keith Greene,0
