AARP Advocates,25000,109997
Jason Andrean for DC State Board of Education - Ward 1,13000,35566
Internet Innovation Alliance,10000,49999
Indivisible Guide,9154,30763
Share Better,5919,29595
Growth Energy,5733,13665
Hillel International,5000,9999
Americans for Prosperity,5000,9999
ACLU,3552,7925
Flip It Blue,3000,14997
Heidi Heitkamp,1957,3913
March of Dimes,1370,31190
Beto O'Rourke,1215,2742
"Zachary Parker, Candidate for DC State Board of Education, Ward 5",1000,4999
"R. Hobbus, JD",1000,4999
Niskanen Center,1000,4999
Solar Rebate,998,5990
4ocean,738,1845
Jeff Dove for Congress,621,1624
Citizens for a Secure and Safe America,210,2073
Amy Jackson for Alexandria City Council,204,1017
Ron George,177,887
Dana Schallheim for Anne Arundel County Board of Education - District 5,128,642
MoveOn,120,2618
Mic,120,598
John Cox for Governor 2018,94,189
The Daily Show,91,453
Democrats,83,363
End Citizens United,74,856
The Nib,70,349
Santos For Congress,67,398
Amie Hoeber for Maryland,61,303
Elizabeth Warren,57,321
Democratic Senatorial Campaign Committee (DSCC),46,97
Donald J. Trump,43,479
Catholic Relief Services,43,85
Klean Kanteen,41,286
Chesapeake Bay Foundation,41,226
Swing Left,38,1475
MJ for Texas,36,180
No Kid Hungry,35,178
SEIU,33,166
Citizens Energizing Michigan's Economy,27,54
Planned Parenthood Action,23,120
Sierra Club,18,91
SEIU MN State Council,18,89
International Rescue Committee,18,89
Denise W. Merrill,18,37
Liuba Grechen Shirley-Congress,15,1132
VoteTogether,15,1091
Alliance Defending Freedom,15,33
Planned Parenthood,13,63
Girls Inc.,12,59
Chris Murphy,12,59
The Market Urbanism Report,11,56
PragerU,11,56
The Nature Conservancy,11,22
Andy Harris,10,48
Conservative Gear,9,46
Blue Wave,8,62
The Devil We Know,8,40
Concealed Online,8,19
Strong Women Society,7,53
SMU,6,32
HeloGreen,6,32
I Love My Freedom,5,28
NAACP Legal Defense Fund,5,26
Nine Line Apparel,5,10
Amnesty International USA,4,96
Representative Nick Mattiello,4,22
Democratic Climate Action,4,22
Concerned Veterans for America,3,19
The Andrew Klavan Show,3,16
My Faith Votes,3,15
Human Rights Campaign,3,13
EMILY's List,3,13
Environmental Defense Fund,2,1902
Build With Strength,2,18
Giovanni Capriglione,2,12
Sarasota citizen Martin Hyde,2,11
Live Action,2,11
dittymoji,2,10
Rep. Peter Breen,2,10
Progress NC Votes,2,10
AMA Patients’ Action Network,2,10
Shareblue Media,2,9
Scribd,2,9
Goods Unite Us,2,8
45th President Donald J. Trump,2,8
Helen Petry Stowe for Judge - Bexar County Court 1,2,5
Delegate Deb Rey,2,3
GOP,1,3165
PrintedKicks,1,22
Armed American Supply,1,8
Zahra Karinshak,1,7
Sand Cloud,1,7
Earth.com,1,7
Trade For America,1,6
Kate Brophy McGee - State Senate,1,6
Cort VanOstran for Congress,1,6
Turning Point USA,1,5
Energy Citizens,1,4
Alliance for a Better Minnesota,1,4
Public Safety for a Safer Santa Clara supporting John Hirokawa for Sheriff,1,3
Proud Right Winger,1,3
LifeDaily,1,3
Change vs. More of the Same,1,3
Boston Rescue Mission,1,3
United States Constitution,1,2
Re-Elect Joe Weedon,0,4995
Democratic Party,0,4244
Oxfam,0,2997
Likewise Media,0,2331
SAGE,0,1998
CREDO Mobile,0,1014
Profs and Pints,0,999
James Harnett,0,999
Emily Gasoi for Ward 1 State Board of Education,0,999
SIS Research,0,704
The University of Chicago,0,700
Higher Learning Advocates,0,568
Utah Policy,0,552
Serve America,0,535
Competitive Enterprise Institute,0,507
Lessons from Military History,0,500
Science for Humans and Freedom Institute,0,498
Kamala Harris,0,404
Live Nation Concerts,0,343
Gavin Newsom,0,333
Exclusive Apparel,0,300
Daniel L. Hatcher,0,290
Sharice for Congress,0,277
Walton Family Foundation,0,250
Human Rights Watch,0,237
Progress Michigan,0,231
Porsche Middleton for City Council,0,225
Lebowski Lovers,0,202
Clarion Project,0,170
Heifer International,0,167
CARE,0,164
Tim Westley for U.S. Congress 2018,0,162
LCV Victory Fund,0,100
Vince Juaristi,0,90
USA for UNHCR,0,86
Neighborhood Sun,0,60
Americans for Farmers & Families,0,60
Watson Institute for International and Public Affairs,0,51
Conservation International,0,51
Phil Bredesen,0,48
Dana Balter for Congress,0,39
Jacky Rosen for Nevada,0,35
"Nick Josefowitz for Supervisor, San Francisco, District 2",0,31
Sudan Relief Fund,0,30
Joe Donnelly,0,28
Tony Evers,0,27
Nasty Scientist,0,23
Jeff Johnson,0,22
Zoë Bands,0,19
Mikie Sherrill,0,19
Climate Reality,0,18
The Collective PAC,0,15
Tammy Baldwin,0,15
Priorities USA Action,0,14
Kirsten Gillibrand,0,13
Kenny Marchant,0,12
Common Defense,0,12
We Can Solve This,0,10
"Tom O'Dea, State Representative, 125th District",0,10
Delegate Stephen E. Heretick,0,10
Greenpeace USA,0,9
Giving Brush,0,9
DiversityInc,0,9
Truthout,0,8
Renee Hoagenson for Congress,0,8
NRDC Action Fund,0,8
Fentrice For Florida House District 63,0,8
Aspire Fashion,0,8
When We All Vote,0,7
National Democratic Redistricting Committee,0,7
Lupe Valdez,0,7
Vote No on Janet Nguyen,0,6
Seafood Harvesters of America,0,6
Diane Mitsch Bush for Colorado CD3,0,6
Mike Levin,0,5
Patriot Depot,0,4
Learn Our History,0,4
Human Coalition,0,4
Disrupt Aging,0,4
Mike Smith,0,3
Safe Patient Limits Save Lives,0,2
Portside,0,2
PSEA - PA State Education Association,0,1
