Andrew Gillum,2044014,5167472
Just Vote No On 13,1584000,3620972
Working For Us,786999,4490443
NumbersUSA,701000,1504997
FloridaStrong,639993,1550968
Bill Nelson,391000,1383921
Florida House Victory,359992,903945
You Should Know Florida,314998,1319951
Marsy's Law for Florida,312000,784983
Knock The Vote,300000,719990
Priorities USA Action,295000,1252942
With Honor,258134,693811
Everybody Is For Amendment 2,249973,952700
The School District of Palm Beach County,235000,878976
CFG Action,199000,862969
Vote NO on 5,187000,956800
Color Of Change PAC,173000,670977
Florida Conservation Voters,150000,434988
Strong Miami,144355,288706
American Patriots PAC,98321,196641
Rick Scott Is Not For Florida,80000,249996
Jimmy Patronis,80000,249996
Joe Lopez for Orange County Sheriff,71000,204996
Voters In Charge,63000,243980
Keep Them Accountable,52999,210953
ATTN:,50000,99999
Humane Society Legislative Fund,49180,98359
NextGen America,49092,220491
Linda L. Gaustad for Judge,43000,214993
Carlos Curbelo,36977,169948
Committee To Support Greyhounds,35000,159996
Fighting for Florida,34994,160967
Ben & Jerry's,34147,135981
Anna For Florida,31000,170971
Sierra Club,29185,101166
Ray Guillory For Escambia County School Board District 2,27876,94474
Civiqs,25000,110996
Allison Gilman For Judge,23955,107561
New Florida Vision PAC,22000,109996
Francis Rooney,21993,81949
SEIU Florida,21959,97814
Choose Me Not 3,21000,104997
Alan Youngblood for Seminole County School Board - District 1,21000,104995
Susan Makowski for Orange County Commissioner District 4,21000,46993
Collier County Democratic Party,20975,104870
Respeta Mi Gente,20000,99998
Lauren Baer for Congress,20000,69997
PowerSol USA,19967,99832
Tom Steyer,17000,100976
Capt. Steve Friedman for Florida,16808,69214
Vote for Vicki Campaign,16000,128944
The Voter Participation Center,16000,44986
Heath Rassner for Florida House 119,16000,39991
Craig DeThomasis for Alachua County Judge,16000,36994
Half-Cent for Alachua Schools,15998,64992
Everglades-Trust,15878,34753
Anthony Sabatini for State House,15000,60997
"Shelia Arnett for School Board, District 5",15000,29997
iAmerica Action,14958,60846
NRCC IE,14760,108051
Hispanic Federation,14000,85970
Representative Margaret Good,12000,60996
Operation Sacred Trust,12000,29996
"Timothy Yost for State Representative District 12, Jacksonville",11996,30985
Michael McAuliffe for Judge,11000,54998
Chris Latvala,11000,54998
Republican Party of Sarasota,11000,24997
Vern Buchanan,10999,54994
Viviana Janer for Osceola,10000,53986
Wayne Culver for Judge,10000,50998
Rick Roth,10000,49999
Quality Schools for the Future,10000,49999
Lisa N. Cane,10000,49999
Maxine Cheesman for Circuit Court Judge,10000,20997
The New Florida Majority,9927,49632
Change The Date,9493,47463
Miami-Dade County Government,9472,47360
Wounded Warrior Project,9334,46667
Donald J. Trump,8369,54736
Environmental Defense Fund,8354,18012
Matt Fleming for County Commission - District 4,8000,24996
Annisa Karim For Florida Senate,8000,24996
Shareblue Media,7116,20579
Teamsters,7000,24992
VoteTogether,6977,49135
4ocean,6295,18447
Rise Up Retail,6000,29994
Emma Collum for State House,6000,19993
News 13,6000,14998
Mel Martin for Florida Senate District 14,6000,14998
Lee Mangold for House District 28,6000,14998
Jeremy Matlow,6000,14998
