Progressive Turnout Project,161000,324994
Scholten4Iowa,130918,504641
Cindy Axne,120268,303525
Keep Them Accountable,71939,319707
Abby Finkenauer for Congress,59986,149962
The Institute for Agriculture and Trade Policy,55657,111313
Iowa Secretary of State Paul Pate,52000,109997
America 101,35000,159996
Fred Hubbell,20000,99998
Kayla for Iowa,14264,63784
American Values PAC,10981,56893
Project NOW,10000,49999
NextGen America,8001,162988
Tracy Freese,6000,14998
AFL-CIO,6000,14998
State Auditor Mary Mosiman,3000,14997
Tom Steyer,2000,23984
IFC PAC,2000,14993
Wapello County Attorney Gary E. Oldenburger,2000,10997
Jake Highfill,2000,9998
Hausman for County Supervisor,2000,9998
Democrats,1022,4535
John O'Brien For Iowa Senate,1000,8995
Andrew Rasmussen for Iowa House,1000,7996
Scott Webster For Scott County Board,1000,6997
Davis For State Treasurer,1000,6997
Iowa Conservative Union - ICU,1000,5998
Varley For Iowa,1000,4999
Tim McClimon for Iowa HD 97,1000,4999
The Wetherall Company Public Service Advertising,1000,4999
Rebel for Iowa,1000,4999
NARAL Pro-Choice America,1000,4999
Ken Croken for Scott County Supervisor,1000,4999
Kate Stucky for Webster County Treasurer,1000,4999
John Murphy For Dubuque County Recorder,1000,4999
John M. Norwood,1000,4999
Colleen Hansen for Hamilton County Treasurer,1000,4999
Ann McDonough for Dubuque County Supervisor,1000,4999
Alan Feirer for Madison County Iowa Supervisor,1000,4999
Tim Knutson for Iowa,997,5983
Deidre DeJear,963,4814
New Direction PAC,814,1627
Matthew Ung,787,3936
Donald J. Trump,648,6054
Energy Citizens,626,4893
NowThis Politics,495,2476
Sierra Club,490,980
Kevin McCarthy,235,3040
National Republican Congressional Committee,220,3695
Concealed Online,214,1104
The Daily Show,197,821
Randy Bryce,166,832
Pew Research Center,163,816
Democratic Senatorial Campaign Committee (DSCC),151,755
International Rescue Committee,151,674
First Liberty,138,725
PragerU,132,660
VoteTogether,130,344
I Love My Freedom,125,626
Nebraska Democratic Party,116,580
Catholic Relief Services,88,199
Kyle Boese for State House,86,430
PrintedKicks,83,614
March of Dimes,82,618
Louder with Crowder,81,184
Swing Left,73,5187
Proud Right Winger,61,302
Blue Wave,59,698
Define American,59,117
Save the Children US,58,115
Mic,58,115
The Ben Shapiro Show,52,103
GOP Gifts,49,98
Girls Inc.,48,97
Human Coalition,48,96
Sand Cloud,45,98
45th President Donald J. Trump,42,215
Friends of Jared Mead,41,203
Heidi Heitkamp,38,77
Making Every Vote Count,37,185
The Devil We Know,37,183
Elizabeth Warren,31,166
Lebowski Lovers,29,864
Independent Voter,27,128
Early Ed,24,119
Kyrsten Sinema,24,48
Onviant,22,112
America with Eric Bolling,21,106
Exclusive Apparel,19,643
America Rise Up,19,95
Liuba Grechen Shirley-Congress,19,85
Heifer International,18,1108
Giving Brush,17,87
Protect 30,17,83
Roy Zimmerman,16,79
Stand with Parkland,15,202
RedBlue Tracker,15,75
Bird + Stone,15,30
Women For Civility,15,29
Armed American Supply,13,126
Jacky Rosen for Nevada,13,85
UnitedVoice.com,13,65
"Russell Beste For U.S. Senate, Vermont",13,65
Dale DeVon for State Representative,13,26
"Vernon County Democratic Party, Wisconsin",12,68
Renee Hoagenson for Congress,11,57
America's Future Foundation,11,55
Rock Island County Democrats,10,51
SEIU MN State Council,10,49
Jeff Merkley,9,3690
Science for Humans and Freedom Institute,9,815
EMILY's List,9,254
Strong Women Society,9,120
Go Vote Project,8,40
PushBlack,6,31
Play Fair Wisconsin,6,28
Claire McCaskill,6,11
MJ for Texas,5,33
Beto O'Rourke,5,26
State Representative Brian W. Stewart,4,20
Laura Marie,4,20
No on Prop C,4,18
Jim Hagedorn,3,13
Cort VanOstran for Congress,2,11
MoveOn,1,8085
Cottie for State Assembly,1,7
Brian 'BAM' McClendon,1,5
Bill Magee for Assembly,1,4
Better With Age,1,4
PSEA - PA State Education Association,1,3
Fentrice For Florida House District 63,1,3
America First Policies,1,3
Mike Murphy for State Representative,1,2
GOP,0,265977
Speak Up For Education and Kids,0,7992
Winning For Women,0,6460
Democratic Party,0,6029
MedicareSupplement.com,0,3996
Ben Hanson for Fayette County Supervisor,0,3959
Weaver for Iowa,0,2997
Thompson for Iowa,0,1998
Scott County Democrats,0,1998
Yeshimebet Abebe for Black Hawk County Supervisor,0,999
U.S. Term Limits,0,999
Palmer College of Chiropractic,0,999
Marco Battaglia,0,999
"Jefferson County Farmers & Neighbors, Inc. - JFAN",0,999
Iowa Soybean Association,0,999
Iowa Food & Family Project,0,999
Democratic Coalition Against Trump,0,999
Boal for Iowa,0,999
Mary Stewart for Iowa Senate,0,822
Elect Rich Cramsey,0,315
Wellness.com,0,255
Premium Care For Seniors,0,230
Patriot Depot,0,220
Kris Schmidt for Sheriff,0,200
Sharice for Congress,0,141
Friends of Glenn Thompson - Team GT,0,122
Dean Phillips for Congress,0,111
Hilkemann for Legislature,0,97
Aspire Fashion,0,93
Reagan Rosenberg for Elkhorn School Board,0,85
National Democratic Redistricting Committee,0,80
Our Flag Our Country,0,59
Amnesty International USA,0,57
Learn Our History,0,55
CREDO Mobile,0,53
Kamala Harris,0,38
Flip Wyoming,0,38
Shireen for Congress,0,35
Disrupt Aging,0,33
Commuting with Julie,0,28
Maple Heights African American Gazette,0,27
My Faith Votes,0,26
Gavin Newsom,0,25
The Collective PAC,0,24
Pursuit,0,24
Indiana AFL CIO,0,23
Eric Bolling,0,18
Klean Kanteen,0,17
Conservative Tribune,0,17
Pfizer,0,16
Congressional Black Caucus PAC (CBC PAC),0,16
2nd Amendment Rights,0,16
What you can do NOW,0,15
The Rutherford Institute,0,14
Jon Tester,0,14
World Wildlife Fund,0,12
United States Constitution,0,12
Tim Walz & Peggy Flanagan: A Minnesota for All of Us,0,12
Michelle Malkin Investigates,0,11
LCV Victory Fund,0,11
No Kid Hungry,0,10
Mike Levin,0,10
Medi-Share,0,10
Caroline Walker for NC Senate,0,10
Tammy Baldwin,0,9
Janet Garrett for Congress,0,9
45 Hats,0,9
Conservative Writers,0,8
Tony Evers,0,7
The Nature Conservancy,0,7
Scott Gurvey's Public Offerings,0,7
Progress Michigan,0,7
Phil Bredesen,0,7
LifeDaily,0,7
Indivisible Guide,0,7
CARE,0,7
Mica Wood Pence For Family Court Judge,0,6
DiversityInc,0,6
American Infrasound,0,6
Allison Gilman For Judge,0,6
David Baria for Mississippi,0,5
Turning Point USA,0,4
You Ready Grandma,0,3
Planned Parenthood Action,0,3
Kenny Marchant,0,3
Great America PAC,0,3
NRCC IE,0,2
Justin Jones,0,2
James Thompson for Kansas,0,2
GUNVOTE,0,2
Chris Murphy,0,2
Change The Date,0,2
David Cook - Arizona State Representative,0,1
D'Alessio Law Group,0,1
