PAC+,660000,1550993
Senator Chris McDaniel,449753,1184747
Remember Mississippi,130000,350994
Cindy Hyde-Smith,61000,266980
Lisa Ann Koon for Chancery Judge,24000,89993
Improve Mississippi PAC,19995,69985
Roger Wicker,17000,79977
Delbert Hosemann,16000,65996
Lee Ann Turner,10000,50998
Joseph Turney 4 Judge,10000,50998
Daniel Tucker for Chancery Judge District 1,10000,49999
Richard W. Ryals for Chancery Court Judge,9999,49995
"Brad Tennison for Chancery Court Judge, District 1",9768,48837
Michael Ted Evans for Congress,6000,31992
Mike Espy,6000,14998
Keep Judge Joseph Sclafani,6000,14998
Jay for Mississippi,6000,14998
Carnelia Fondren For Chancery Court Judge,5000,24995
James Lyle for School Board District 8,3438,7220
"Judge Willie C. Allen for Lee County Judge, Post 1",2000,9998
National Retail Federation,1300,2600
Elise Deano for Judge,1000,6997
Troy Odom for Chancery Judge,1000,5998
"Matt Allen for Judge, Hinds County Circuit Court",1000,5998
"Yemi ""Larry"" Kings for Hinds County Court Judge, Dist. 3",1000,4999
Vaughn for Justice Court,1000,4999
Sam Britton,1000,4999
Robert Compton for Circuit Judge,1000,4999
Harrison County Democrats,1000,4999
Committee to Elect Bailey for Circuit Judge,1000,4999
Bigger Pie Forum,1000,4999
Ashlee Cole Trehern for Judge,1000,4999
Tiffany Grove for Hinds County Chancery Court Judge #4,999,5994
Judge Jeff Weill,993,5888
Jackson County for Chris McDaniel,873,4367
Donald J. Trump,830,5499
Eric Garcetti,506,2529
AARP Livable Communities,343,1717
CREDO Mobile,311,1553
VoteTogether,169,986
Welcome.,160,319
PragerU,120,599
ACLU,114,233
Scamazon,83,166
Conservative Gear,78,156
Democrats,70,321
DownsizeDC.org,61,122
Proud Right Winger,57,331
We The People Holsters,49,99
Abortion On Our Own Terms,46,91
Louder with Crowder,35,78
4ocean,34,169
Liuba Grechen Shirley-Congress,34,136
GOP Gifts,34,69
Concealed Online,33,198
American AF,26,53
The People's Trumpet,25,49
NAACP Legal Defense Fund,24,121
Elizabeth Warren,23,141
Kayla for Iowa,22,110
Progress NC Votes,22,53
Independent Voter,22,44
Blue Wave,20,650
Brian Glorioso for State Representative District 90,19,39
RedBlue Tracker,17,86
Rock the 36,17,85
Republican Governors Association (RGA),17,79
45 Hats,16,89
Fipple,16,80
"I'll go ahead and keep my guns, Thanks",16,78
PrintedKicks,15,240
Speech Moves,15,74
CarsonWatch,14,69
Jeff Merkley,13,174
MoveOn,12,124
Bird + Stone,12,25
Co-ops Vote,11,2053
March of Dimes,11,233
United Poultry Concerns,11,54
Expectant Mother Care-EMC FrontLine Pregnancy Centers,11,53
Carl DeMaio,9,43
45th President Donald J. Trump,8,56
MJ for Texas,8,17
Greenpeace USA,7,39
Beto O'Rourke,7,24
Human Coalition,6,31
Cynthia Tiddly,6,30
Stand Up America,6,28
Ocean Helper,5,25
National Republican Congressional Committee,4,1719
Swing Left,4,1378
USA for UNHCR,4,19
Sand Cloud,4,19
ONE,4,18
Deanna Frazier for State Representative,4,18
Conservation International,4,18
Adrian Plank for the 47th,4,8
Strong Women Society,3,25
Kenny Marchant,3,16
The Nature Conservancy,3,15
Judd Cowan,3,14
Emily Randall for Senate,3,9
Larry Hogan,2,11
Stronger Foundations,2,10
Faith Johnson For District Attorney,2,10
Women For Civility,2,9
Carlos Rodriguez,2,8
GOP,1,4438
EMILY's List,1,110
Cort VanOstran for Congress,1,8
International Rescue Committee,1,7
Ric Vandett for NC Senate,1,6
Joe Donnelly,1,6
Corazon Coqui,1,5
Sen. Carl Marcellino 4 Senate,1,4
Josie Raymond for State Representative,1,3
MedicareSupplement.com,0,29970
Consumer Energy Alliance,0,17982
David Baria for Mississippi,0,8860
Democratic Party,0,4933
Steven Nixon for Hinds County Chancery Judge,0,3996
Science for Humans and Freedom Institute,0,1310
Tomika Harris-Irving for Circuit Court Judge,0,999
Stephen Spencer for Lee County Court Judge - Post 2,0,999
Staci Bevill for Lee County Court Judge,0,999
Lessons from Military History,0,999
Elect Pat McNamara Circuit Court Judge,0,999
Debra M. Giles for Chancery Court Judge,0,999
Commissioner Cecil Brown,0,999
Andy Gipson for Mississippi,0,999
The Committee to Elect Ja'Nekia W. Barton for Bolivar County Court Judge,0,930
The Collective PAC,0,528
The Southern Alliance for Clean Energy,0,511
Klean Kanteen,0,500
Pfizer,0,366
Mike Levin,0,132
Maple Heights African American Gazette,0,81
Exclusive Apparel,0,74
Energy Citizens,0,72
Aspire Fashion,0,72
We Built This,0,63
Patriot Depot,0,59
Progress Michigan,0,51
PushBlack,0,42
America with Eric Bolling,0,38
NRA - National Rifle Association of America,0,35
Amnesty International USA,0,33
Sarasota citizen Martin Hyde,0,32
Armed American Supply,0,28
The Wildcard,0,17
Just Trumpy Things,0,15
Azula,0,14
Your Trump Shop,0,11
Death To Tyrants,0,11
Animal Matters,0,9
Todd Greeson for Circuit Clerk,0,8
Lebowski Lovers,0,8
Giving Brush,0,8
Gavin Newsom,0,8
Dennis D Degenhardt for Assembly,0,8
Democratic Senatorial Campaign Committee (DSCC),0,8
Democratic Climate Action,0,8
Build With Strength,0,8
Save the Children US,0,7
OutRight Action International,0,7
Friends of Glenn Thompson - Team GT,0,6
Chris Murphy,0,6
NRDC Action Fund,0,5
Mikie Sherrill,0,5
Kamala Harris,0,5
Indivisible Guide,0,5
DiversityInc,0,5
"Robert Kennedy, Jr.",0,3
Rick Green,0,3
National Domestic Workers Alliance,0,3
Sachs Media Group,0,2
SEIU,0,2
Professional Firefighters Association of New Jersey - PFANJ,0,2
Priorities USA Action,0,2
Melanie Nutter - 陸美蓮 - for BART Board,0,2
Anthony Bonna,0,2
Georgia Equality,0,1
