Maryland Matt Rosendale,2008000,5024958
Restoration PAC,295000,1000972
Orvis,252000,640979
CFGA Montana,245000,941973
No On 185,180000,449994
Jon Tester,131990,600923
NumbersUSA,100000,199998
Citizens for Tobacco Rights,42000,149992
Healthy Montana Campaign,39000,179373
Montanans for the Six Mill,32000,149985
Veterans for Tester,31000,154996
Native Americans for Tester,26000,84995
Black Butte Copper,15000,59998
America First Policies,10000,53986
Truth About Tester,10000,49999
Amelia Marquez for HD 52,10000,49999
Rex Renk for Clerk of the Supreme Court,10000,20997
Montana Rifles,10000,19998
JayNelson ForSheriff-Coroner,7000,19997
Bert Pezzarossi for HD38,5000,11997
Living Free,5000,9999
Protect Freedom PAC,3000,16995
Leesha Ford for HD21,3000,16995
Adam Hertz,3000,16995
Seth Mangini,2000,10997
Thomas Pardy For Judge,2000,9998
Retain Judge Berger,2000,9998
Brodehl For County Commissioner,2000,9998
John Esp for Senate,1976,9875
Better With Age,1093,7462
The Wilderness Society,1010,5051
Senator Mary McNally,1000,16987
Bob Rosipal for Sheriff,1000,7996
Ashley Harada for District Judge,1000,6997
Sullivan for Justice of the Peace,1000,5998
AFL-CIO,1000,5998
YES for Responsible Mining,1000,4999
Women For Civility,1000,4999
NARAL Pro-Choice America,1000,4999
Missoula County Democrats,1000,4999
Daniel Zolnikov,1000,4999
Anne Giuliano For HD 46,1000,4999
PragerU,359,718
MoveOn,262,2988
Donald J. Trump,226,1860
Democrats,194,395
Dave Thomas Foundation for Adoption,173,345
Live Action,169,847
Military Network,130,651
Concealed Online,74,383
"I'll go ahead and keep my guns, Thanks",62,124
We The People Holsters,61,293
American AF,58,304
Swing Left,52,493
Conservative Gear,51,263
The March for Life,44,222
Turning Point USA,44,127
GOP Gifts,41,82
The Daily Show,39,196
Congressional Black Caucus PAC (CBC PAC),36,178
Ryan Hampton,32,162
I Am Pro-Life,27,134
Sand Cloud,25,127
Concerned Veterans for America,24,139
"Rebecca Cranston for Colorado, Senate District 15",22,45
Elizabeth Warren,21,156
National Republican Congressional Committee,21,107
USA for UNHCR,15,32
Omaze,15,30
Heidi Heitkamp,15,30
Janet Garrett for Congress,15,29
Not My NRA,14,71
EMILY's List,13,90
Proud Right Winger,12,69
Allison Gilman For Judge,12,56
Independent Voter,12,41
Claire McCaskill,11,22
League of Conservation Voters,10,79
Color Of Change,9,46
Sandra Kennedy,9,42
Premium Care For Seniors,8,95
Amnesty International USA,8,47
Darkness to Light,8,39
Jeff Merkley,7,79
No Kid Hungry,7,34
Alliance Defending Freedom,7,33
The Nature Conservancy,6,41
DearTomorrow,6,32
Jacky Rosen for Nevada,6,29
Sierra Club,6,28
Niles Niemuth,5,26
Giving Brush,5,26
Human Coalition,5,24
PrintedKicks,4,489
Beto O'Rourke,4,29
Fipple,4,22
Cindy Lake For County Commission G,4,22
Kirsten Gillibrand,4,20
Planned Parenthood,4,19
Renee Hoagenson for Congress,4,18
Kimp for Alaska,4,18
Bird + Stone,4,18
45th President Donald J. Trump,4,18
Coverage of the Trump Presidency by The Epoch Times,3,17
Liuba Grechen Shirley-Congress,3,13
Blue Wave,2,163
Color Of Change PAC,2,10
Representative Nick Mattiello,2,8
Priorities USA Action,2,8
Progress NC Votes,2,4
Patients For Affordable Drugs Action,2,3
GOP,1,361022
Joe Donnelly,1,6
Gary Soiseth,1,5
Portside,1,4
Lockwood4Commissioner,1,4
VoteTogether,1,3
Alliance for a Better Minnesota,1,3
SEIU,1,2
James Thompson for Kansas,1,2
Kenneth Bogner,0,2997
Jennifer Merecki for Montana SD22,0,2997
The Havre Herald,0,1998
Modern Medicaid Alliance,0,1998
MedicareSupplement.com,0,1998
JoBeth Blair Candidate for Montana House District 11,0,1998
Greg Gianforte,0,1998
FutureinAmerica,0,1998
Flush The Jon 2018,0,1998
"Big Horn County, Montana",0,1964
Democratic Party,0,1566
"Yes for Open Space, Rivers and Farmland",0,999
"Travis Wafstet for Missoula County Sheriff, Independent Candidate",0,999
Our Flag Our Country,0,999
National Trust for Historic Preservation,0,999
Minerals Make Life,0,999
Klean Kanteen,0,999
Joey Chester for House District 63,0,999
Indivisible Montana,0,999
Democratic Coalition Against Trump,0,999
Co-ops Vote,0,999
American Heart Association - Montana,0,999
AARP Montana,0,999
Stand Up America,0,500
Heifer International,0,500
Sharice for Congress,0,381
Science for Humans and Freedom Institute,0,252
Lebowski Lovers,0,102
Friends of Glenn Thompson - Team GT,0,96
CARE,0,66
Save the Children Action Network,0,53
NRA - National Rifle Association of America,0,48
Learn Our History,0,44
Progress Michigan,0,43
International Rescue Committee,0,29
4ocean,0,29
Shireen for Congress,0,26
Pi Yoga Pants,0,25
CREDO Mobile,0,25
Aspire Fashion,0,25
What you can do NOW,0,24
National Democratic Redistricting Committee,0,24
Exclusive Apparel,0,21
Kamala Harris,0,16
Patriot Depot,0,15
Diane Mitsch Bush for Colorado CD3,0,15
Mary Barzee Flores for Congress,0,14
The Collective PAC,0,12
Common Defense,0,12
Armed American Supply,0,11
Ramah International - Abortion Recovery,0,10
Anybody seen my slippers ?,0,10
Your Energy,0,7
March of Dimes,0,7
I'm so weird,0,7
Union of Concerned Scientists,0,5
Oregon Right to Life,0,5
Impact Dog Crates,0,4
Environmental Defense Fund,0,4
Brian 'BAM' McClendon,0,4
UC Student Association (UCSA),0,3
Mic,0,3
Jewish Voice Ministries International,0,3
Steve Rozier for Campbell County Coroner,0,2
Phil McGrane for Idaho,0,2
NorCal Resist,0,2
Conor Lamb,0,2
Animal Matters,0,2
DiversityInc,0,1
