"Insure The Good Life, a community-led grassroots campaign to let Nebraskans vote to expand Medicaid.",100000
the Nebraska Corn Board,10000
Krist for Nebraska,10000
"Barbara Weitz for Regent, 110 N 92nd St, Omaha, NE 68114",8951
Progress News Network,1475
Vote Schulte,1000
Tom Brandt for Legislature,1000
Marsha Fangmeyer for Legislature,1000
Glen Ellis,1000
Danner for Nebraska,1000
Paid for by Matt Deaver for Legislature,922
"4Ocean, LLC",439
McCaskill for Missouri,252
Arthur Winter,144
"Voters Not Politicians | PO Box 8362 Grand Rapids, MI 49518",141
PragerU ,136
Daily Wire,105
Indivisible Action,104
Nuclear Matters,98
Catholic Relief Services,82
CRTV,80
Iowa Firearms Coalition PAC,72
UltimateStraw,68
Comedy Central,58
Scholten4Iowa Campaign Committee,57
Teflon Film LLC,43
"Beachside Media, Inc.",37
Radinovich for Congress,36
Parks Project,29
Janet Garrett for Congress,22
2A4LIFE LLC,17
"Being Libertarian, LLC (Chip Slate)",15
Committee to Elect Rob Davidson,14
March of Dimes,12
End Citizens United,12
"AAF Nation, LLC",12
The American Vision,11
News For Democracy,9
I Love My Freedom,9
Concealed Online,9
Be Conscious. Be Kind.,9
Trade for America,8
Rustic Edge Marketing,8
OuterGoods LLC,8
No Kid Hungry,8
Fipple,8
Bechtold for Indiana,8
Healthy Living Initiative ,7
FRIENDS OF RENEE HOAGENSON,7
"Expectant Mother Care, a pro-life program of The Evergreen Association, Inc.",7
Elizabeth for MA,7
Earthjustice,7
"Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.",7
Bird + Stone ,7
Amnesty International USA,7
We Built This,6
Sierra Club,6
Orvis,6
MoveOn.org Civic Action.,6
Job Creators Network,6
EMILY's List,6
Delbene for Congress,6
DCCC,6
Clarion Project,6
Action Against Hunger ,6
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",5
Jena Griswold for Colorado,5
"HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",5
Defenders of Wildlife,5
Build With Strength,5
Blue Wave Voters,5
PushBlack Now,4
NAACP Legal Defense Fund,4
Congressional Black Caucus PAC,4
"All electoral content on this account is prepared by the SEIU Minn State Council Political Fund, 2233 University Ave W, #422, St. Paul, MN 55114, as an independent expenditure, and is not approved by any candidate nor is any candidate responsible for its content.",4
Progress NC Action IE PAC,3
"Yes on Measure V, Vote Affordable San Jose, Supported by Mayor Sam Liccardo. Committee Major Funding from The Sobrato Organization, Essex Property Trust and EAH Housing.",2
Waterkeeper Alliance,2
"Phil McGrane for Ada County Clerk, Eva Gay Yost Treasurer",2
Need to Impeach,2
LCV Victory Fund,2
Shareblue Media,1
"Right Direction Wisconsin PAC, Michael Adams, Treasurer. Not authorized by any candidate or candidate’s agent or committee.",1
Nick Josefowitz for Supervisor 2018,1
Liuba for Congress ,1
Friends of Chris Murphy,1
"Elect Tanisha Harris (D), PO Box 872514, Vancouver, WA 98687",1
Cort Vanostran for Congress,1
the Trump Make America Great Again Committee,0
the Republican National Committee,0
the NRCC and not authorized by any candidate or candidate's committee.,0
the Democratic National Committee,0
Working Families Party,0
USA for UNHCR,0
"Tony for Wisconsin. Connie Hutchison, Treasurer.",0
Tony for Wisconsin. ,0
Thomas A. Matthews,0
The Wilderness Society,0
The University of Chicago,0
The Dude's Designs,0
The Climate Reality Project,0
TZ Insurance Solutions,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Stand With Parkland,0
"Sky Took, LLC",0
Sinema for Arizona,0
Shireen for Congress,0
Science for Humans and Freedom Institute,0
Sarasota Citizen Martin Hyde,0
Rosen for Nevada,0
Riveters Collective PAC (Riveters Collective). Top Contributor: James L. Swift.   No candidate authorized this ad.,0
Republican Committee of Lancaster County,0
Public Service Proud,0
Proud Right Winger,0
Progress Michigan,0
PrintedKicks,0
Polilit & Grit ,0
Pfizer,0
Patriot Depot,0
Ocean Conservancy,0
Newsom for California Governor 2018,0
Nebraska Democratic Party,0
National Solar Rebate,0
National Media Distribution Services,0
My Faith Votes,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
Mike Levin for Congress,0
Lebowski Lovers,0
Learn Our History,0
Lancaster County Republican Party,0
Kamala Harris for Senate,0
Jennifer Hernandez for Clerk,0
Jeff Merkley for Oregon,0
JVMI,0
Iowans for Ung,0
International Rescue Committee,0
Indivisible Project,0
Heifer International,0
Headline Shirts,0
Giving Brush LLC,0
Garman for Elkhorn,0
Friends of Glenn Thompson,0
Friends of Dana Balter,0
Environmental Defense Fund,0
Energy Citizens,0
Elizabeth Pannill Fletcher for Congress,0
Elect Knecht for AZ Senate in LD 21,0
Doug Skaff for WV,0
"Donald J. Trump for President, Inc.",0
Divided We Stand®️,0
Diversity Incorporated,0
Denormalizers,0
Democratic Climate Action – a project of the Democratic Governors Association.,0
Conservative Tribune,0
Conservative Gear,0
Committee to Elect Jerry Sonnenberg ,0
CREDO Mobile,0
CARE,0
Bredesen for Senate,0
Bold Alliance,0
Beto for Texas,0
Armed American Supply,0
Angie Craig for Congress,0
"AEF Media, LLC",0
#VoteTogether,0
 the Committee for Grand Island's Future,0
,0
