the committee to elect James Dean Leavitt for Judge,200000
California 2020,97875
Our Lives Our Vote,50000
NRSC. Not authorized by any candidate or candidate's committee,50000
Humane Society Legislative Fund,50000
Community Change Voters,50000
the Coalition to Defeat Question 3,10000
Senate Leadership Fund,10000
SMP. (202) 871-9255. Not authorized by any candidate or candidate's committee.,10000
RGA Nevada PAC,10000
PowerSol USA,10000
Marsy’s Law for Nevada LLC,10000
Human Rights Campaign PAC,10000
Friends of Ed Uehling,10000
Friends for Justin Jones,10000
Friends for Jim Gibson.    ,10000
Citizens for Better Neighborhoods ,10000
Citizens for Better Neighborhoods,10000
Tarkanian for Congress ,5000
Home Professionals,5000
Healthy Nevada PAC,5000
Friends of Richard Fletcher,5000
"Color of Change PAC, not authorized by any candidate or candidate’s committee. ",5000
 Strong Public Schools Nevada,5000
NextGen Climate Action Committee; not authorized by any candidate or candidate's committee.,1000
News For Democracy,1000
Nevadans for a Clean Energy Future,1000
Nevadans for Steven Horsford,1000
NARAL Pro-Choice America,1000
Live Nation Concerts,1000
"HOUSE MAJORITY PAC, (202) 849-6052, AND PRIORITIES USA ACTION, (302) 469-3772. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE’S COMMITTEE.",1000
Friends to Elect Kevin L. Child,1000
Friends of Chip Evans,1000
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,1000
Everytown for Gun Safety Action Fund,1000
End Trafficking and Prostitution PAC,1000
Dave Palermo,1000
Cresent Hardy for Congress,1000
Campaign Committee to Elect Kali Fox Miller,1000
America First Policies,1000
Advanced Energy Economy,1000
"National Shooting Sports Foundation, Inc.",984
360 News Las Vegas ,972
Environmental Defense Fund,942
Seth Moulton for Congress,603
NowThis,339
Steve Brown,177
Circa,119
"New Direction PAC, 119 First Ave S, STE 320, Seattle WA 98104 | No candidate authorized this ad. Top Five Contributors: Kennedy Fund, Harry Truman Fund, Washington Federation of State Employees, AFSCME, UFCW-21",96
International Rescue Committee,84
New Direction PAC,80
Young America's Foundation,74
SEIU,74
Cheddar,67
Nine Line Apparel,63
Inspiration Ministries,61
Define American,56
Comedy Central,55
WeThePeopleHolsters ,50
Judicial Watch,43
EMILY's List,42
The Welcome. Campaign,37
Washington State Democratic Party,36
Tom Steyer,36
Environmental Voter Project,36
#VoteTogether,33
League of Conservation Voters,29
"No Plan, No Accountability, No on Prop C",26
Energy Citizens,25
Oxfam America,24
Mercy Corps,23
Local Majority,20
Barnes & Noble,19
My Faith Votes,18
"Brian McClendon for Kansas Committee, Sandy Praeger, Treasurer.",17
Concerned Veterans for America,14
Access Fund,12
Teflon Film LLC,11
OuterGoods LLC,9
Fipple,9
Stand Up America,8
Pacific Legal Foundation,8
PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,8
Meraki Journey,8
Lebowski Lovers,8
JVMI,8
Dale DeVon for State Rep,8
AARP ,8
Matt Hall for Mayor 2018,7
Concealed Online,7
The Daily Wire,6
Sand Cloud,6
Jeff Merkley for Oregon,6
Heifer International,6
Armed American Supply,6
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",6
Tim Walz for Governor,5
Rebecca for Northern Colorado,5
Hoover Institution,5
2A4LIFE LLC,5
Scamazon,4
"the Maine Republican Party, 9 Higgins Street, Augusta, Maine. Not paid for or authorized by any candidate.",3
The Niskanen Center,3
The National LGBTQ Task Force,3
Soderberg for Congress,3
MJ for Texas,3
South Dakotans for Progress,2
Sinema for Arizona,2
