NC Conservation Network,320000,699994
Protect NC Waters,222000,509994
Progress NC Votes,221995,779953
Judge Sandra Ray for NC Court of Appeals,107000,219995
NumbersUSA,105000,209997
Kathy Manning,85000,260994
Terri Legrand for NC House 2018,66000,294981
Allegra Collins for Court of Appeals,59000,193983
Southeastern Wind Coalition,49999,99997
Simon for House,49000,200979
Gayle Kemp for State House,42000,199984
Ted Budd,40000,170994
Mack for NC,36000,167992
Progressive Turnout Project,33000,134993
NRDC,30000,119996
Don Davis,28000,156572
Blue Cross NC,28000,125991
Ric Vandett for NC Senate,21000,101736
Brian Turner - NC House 116,21000,74996
Tim Barnsback for NC House,20000,113396
Toby Hampson for Judge,20000,99998
Color Of Change,20000,99998
Checks and Balances Project,20000,99998
Keep Them Accountable,19973,94853
Kim Bost for NC House,17000,69996
Chuck Kitchen for Court of Appeals,16000,64997
Aimy Steele for NC House 82,14000,92963
"Representative Greg Murphy, MD",14000,69995
Joe Fowler for NC House,14000,45988
Da'Quan Love for NC House,13000,56984
NextGen America,12000,108936
Donna Ensley for Buncombe County Commission,12000,59997
JD Wooten for NC Senate,11000,70973
Planned Parenthood Votes South Atlantic,11000,54998
"Freedom House - Greensboro, NC",11000,54998
"John Motsinger, Jr. for NC State Senate.",10997,54985
David Rouzer,10896,44469
Jeff Matemu,10000,52987
Ray Russell,10000,49999
Keep Wayne Coats Sheriff,10000,49999
Jeff Tarte,10000,49999
Conservatives for Clean Energy,10000,49999
Mark Harris,10000,19998
Ron Mau - Jackson County Chairman,9000,30994
Larsen NC House 85,8819,17638
Apex high school seniors sick of bad government,8000,24996
Elect Brian Bock - Chatham County Commissioner,7000,34993
David Blackwelder Wake County,7000,19997
Dan Forest,7000,19997
Wiley Nickel For North Carolina,6000,31992
Rise Up Retail,6000,29994
Rep. John Bell,6000,16996
Andy Hanford For Superior Court Judge,6000,15997
Rep. Larry Yarborough,6000,14998
Better With Age,5999,16994
Caroline Walker for NC Senate,5000,35984
Kellogg for NC House,5000,32985
Pitt County Democratic Party,5000,26993
Elect Amanda Edwards,5000,10998
Tim Moore,5000,9999
State Representative Ken Goodman,5000,9999
Progressive Takeover,5000,9999
Higher Education Works,5000,9999
Tom Langan for Judge,4999,9996
Daniel Caudill for Gaston County Commissioner-Dallas,4997,9994
America First Policies,4000,30985
Representative Bobbie Richardson,4000,21994
North Carolina Values Coalition,3999,27980
Progress News Network,3593,7186
EMILY's List,3542,7353
Defending Donald,3128,15638
Dropkick Memes,3116,15580
Cumberland County Democratic Party(NCDP),3000,18993
Elect Jarrod Lowery NC House 47,3000,17994
Nuts & Dolts,3000,15996
Lindsay Mahaffey for Wake County Schools District 8,3000,15996
Jefferson Griffin,3000,15996
Donald J. Trump,2798,18428
League of Conservation Voters,2268,24271
4ocean,2040,5071
Pat Nadolski for Alamance County Superior Court Judge,2000,11996
Forsyth County Democratic Party,2000,11996
ElliottLynch4NCHouse64,2000,11996
Dummycrats,2000,11996
Tim Ivey for County Commissioner,2000,10997
Elect Adam Edwards as Yancey County Commissioner,2000,10997
Solar Rebate,2000,9998
Senator Wesley Meredith,2000,9998
Sarah Homes for District Court Judge,2000,9998
Nussbaum Baker for School Board,2000,9998
Living Free,2000,9998
Larry Strickland for NC House,2000,9998
Heritage Action for America,2000,9998
Kevin McCarthy,1892,12319
Democrats,1329,4241
International Rescue Committee,1007,2013
Karen McCallum For District Court Judge - District 26-F,1000,10993
Cape Fear Indivisible,1000,10978
Stand with Dan,1000,9994
Beaufort County Commissioner Ron Buzzeo,1000,8995
Stephen Brown,1000,6997
Pittman for Pitt County,1000,6997
David Tillman - School Board District 3,1000,6997
DD Adams for Congress,1000,6997
Women For Civility,1000,6995
Tracy Philbeck,1000,5998
Lee County (NC) Democratic Party,1000,5998
"Justin Conrad, Guilford County Commissioner",1000,5998
Houston Barrow for NC House - District 65,1000,5998
"Total Engagement Consulting by Kimer, Inc.",1000,4999
Terence Everitt For NC House - District 35,1000,4999
Phil Berger,1000,4999
Neill Lindley for County Commissioner,1000,4999
