Priorities USA Action,71000,293942
NumbersUSA,50000,99999
Heidi Heitkamp,49000,260900
Brian Kroshus for North Dakota,20000,101996
ND xPlains,20000,99998
Brandon Medenwald,11986,30913
North Dakota Republican Party,11000,25996
Secure Energy Future,10000,49999
Ryan Rauschenberger-Tax Commissioner,7000,20996
Perry Miller for ND Senate,6000,37986
Vawnita Hovet Best - McKenzie County Commissioner,6000,14998
National Association for Gun Rights,6000,14998
The Center for Election Science,3994,7986
Ruth Buffalo for North Dakota,3991,7980
McEvers for Justice,3000,14997
District 41 Republicans,2000,12995
FutureinAmerica,2000,9998
Jeff Johnson,1458,2915
Speak Up For Education and Kids,1000,5998
Lilie Schoenack for Barnes County State's Attorney,1000,4999
Haley Wamstad for State's Attorney,1000,4999
AARP North Dakota,1000,4999
Live Action,134,661
International Rescue Committee,134,268
"I Love You, America",117,235
Right Now USA Superpac,116,349
Tim Walz for Governor,98,492
Donald J. Trump,97,1387
The Brookings Institution,81,161
Matt Pina for Texas Land Commissioner,45,225
Nuclear Matters,41,203
Bird + Stone,37,185
Jordan for Governor,29,145
Heifer International,28,139
Better Medicare Alliance,27,134
Clarion Project,22,44
No on Prop C,18,44
The Daily Show,16,80
Progressive Turnout Project,15,76
Roy Zimmerman,15,29
Energy Citizens,14,4225
PrintedKicks,14,216
Our Flag Our Country,14,69
45th President Donald J. Trump,12,25
Beto O'Rourke,10,50
Democratic Climate Action,10,20
Swing Left,8,46
Independent Voter,8,28
The Lone Liberal Republican,8,16
Armed American Supply,7,45
Concealed Online,7,44
Elizabeth Warren,7,41
Catholic Relief Services,7,34
Democrats,6,36
Rise Up Retail,6,29
American AF,6,29
EMILY's List,6,12
Kibbe on Liberty,5,31
Right Now MN,5,26
America with Eric Bolling,5,25
Pew Research Center,5,24
End Citizens United,4,33
Maryland Senate Democrats,4,22
Strong Women Society,3,38
Jewish Voice Ministries International,3,19
Louise Valentine for State Senate,3,16
Planned Parenthood Action,3,14
American Cancer Society Cancer Action Network - ACS CAN,3,14
Shield Republic,3,13
Ed Soliday,3,6
MoveOn,2,5984
Jeff Merkley,2,38
Liuba Grechen Shirley-Congress,2,26
USA for UNHCR,2,11
Janet Garrett for Congress,2,11
Elect Tanisha Harris,2,10
Tammy Baldwin,2,9
Alliance for a Better Minnesota,2,9
Ocean Helper,2,8
Libby Fischer Hellmann,2,8
ACLU,2,8
Sen. Carl Marcellino 4 Senate,2,5
GOP,1,379268
Lebowski Lovers,1,24
March of Dimes,1,17
Amnesty International USA,1,9
MJ for Texas,1,5
Founder of the Day,1,5
Conservation International,1,5
Joe Biden,1,4
Jacky Rosen for Nevada,1,4
American Deep State Movie,1,3
Debbie Mucarsel-Powell,1,2
Tom Steyer,0,7992
Robert Roed for Ward County Sheriff,0,2997
Gary Schwartzenberger,0,1998
Democratic Party,0,1180
Repubtards,0,999
North Dakota District 11 Dem-NPL,0,999
ND District 1 GOP,0,999
My Faith Votes,0,999
Democratic Coalition Against Trump,0,999
Co-ops Vote,0,999
Angela Urlacher,0,999
Aspire Fashion,0,143
Exclusive Apparel,0,116
Stand with Parkland,0,100
National Republican Congressional Committee,0,51
Blue Wave,0,46
Turning Point USA,0,26
United States Holocaust Memorial Museum,0,21
Tim Walz & Peggy Flanagan: A Minnesota for All of Us,0,19
Jon Tester,0,19
Proud Right Winger,0,16
Mikie Sherrill,0,16
Kash Jackson for Governor,0,14
Dontchaknow,0,14
Shireen for Congress,0,12
Diane Mitsch Bush for Colorado CD3,0,12
Divided We Stand,0,11
We Can Solve This,0,10
Tony Evers,0,9
Stand Up America,0,9
I Love My Freedom,0,9
Alliance Defending Freedom,0,9
Learn Our History,0,8
Gavin Newsom,0,8
Kamala Harris,0,7
G.I. Jobs Magazine,0,7
45 Hats,0,7
National Democratic Redistricting Committee,0,6
LifeDaily,0,6
Ernie Nardolillo for State Rep. District 29,0,6
Environmental Defense Fund,0,6
The Daily Nooze,0,5
Science for Humans and Freedom Institute,0,5
Sand Cloud,0,5
PathWater,0,4
No Kid Hungry,0,4
Jim Schooler for YV Town Council,0,4
Climate Reality,0,4
Chip Slate - Being Libertarian,0,4
Bobby Dyer for Mayor,0,4
Vote Warren For Sheriff,0,3
The Pragmatic Libertarian,0,3
Pastor Gordon Alley for Colorado State Senate,0,3
PushBlack,0,2
Progress Michigan,0,2
Denyc Boles for HD 19,0,2
Dennis D Degenhardt for Assembly,0,2
Congressional Black Caucus PAC (CBC PAC),0,1
