No Cuts to Care,100000
Defend Oregon's Values,50000
Defend Oregon,50000
Oregonians United Against Profiling,10000
DeFazio for Congress,10000
Katy for Coos,9917
Scott Learn for Independent Auditor Committee,5000
Indivisible Action,5000
Friends of Julie Parrish,5000
Casey Kulla for Yamhill County Commissioner,5000
Americans for Prosperity,5000
AARP Oregon,5000
Knute for Governor.,4996
Friends of Anna Williams,4944
Washington State Democratic Party,2200
Patagonia ,1401
or authorized by Christine Lewis for Metro,1000
State of Safety,1000
Sami For Oregon PAC,1000
SEIU Local 49,1000
Roxanne Beltz for Monmouth City Council,1000
"Peter Sage, the author of UpClose with Peter Sage, 305 Harvard Place, Medford, Oregon 97504. Contact me at peter.w.sage@gmail.com ",1000
Oregon Outdoor Council,1000
Oregon Center for Public Policy,1000
National Solar Rebate,1000
Lanita Wittt for County Commissioner,1000
Kevin Cameron for Oregon,1000
Keep Oregon's Promise,1000
Friends of Ryan C. Johnson,1000
Friends of Mark Herbert,1000
Friends of Marc Koller,1000
Friends of Lori Chavez-DeRemer,1000
Friends of Joe Buck,1000
Friends of Fay,1000
Friends of Dorothy Merritt,1000
Friends of Alex Poythress,1000
Elect Michelle Blum Atkinson,1000
Committee to elect Rachel Prusak,1000
Committee to Elect Joe Davis,1000
Colm Willis for Oregon,1000
Brian Hines,1000
Andrew Davis for Bend City Council,1000
Roberts for Congress,984
John Catsimatidis,411
Girls Inc.,243
CHRIS THOBABEN COMMITTEE TO ELECT FOR STATE REPRESENTATIVE,208
Comedy Central,150
Union Patriots,125
Gillibrand for Senate,124
End Citizens United,123
Movement Voter Project,118
Catholic Relief Services,117
Conservative Gear,92
Environmental Defense Fund,89
New Direction PAC,81
The Nib,73
,68
Republican Senate Campaign Committee,44
Deputy Sheriffs of Association of Santa Clara County,42
"the Committee to Save Idaho Horse Racing, Create Jobs, and Fund Public Schools",40
Wyoming Progress,32
MJ for Texas,29
Patriot Depot,24
International Rescue Committee,24
EMILY's List,22
Lebowski Lovers,21
SEIU,20
National Media Distribution Services,18
Glisson for Congress,18
"Phil McGrane for Ada County Clerk, Eva Gay Yost Treasurer",17
Circa,17
CRTV,17
Block Bronx Bolshevik,17
Kurland 23; Authorized by Eric Kurland,16
45 Hats,16
2atees1,16
RedBlueTracker,15
American Beverage Association,15
"AAF Nation, LLC",15
RAGA Action Fund,13
National Education Association,11
"Daniel H. Wolf for Democracy Counts!, Inc., a nonprofit California corporation.",11
"Anthony Bonna, Republican, for St. Lucie County Commission - District 2",10
Kenny Marchant for Congress,8
Waterkeeper Alliance,6
Vote Kern House 2018,6
Need to Impeach,6
"Friends of Christine Kilduff (D) | P.O. Box 65431, University Place, WA 98464",6
Concealed Online,6
Nolan Wentz for Sheriff,5
"Paul Cummings, Director for a Better BART 2018",4
Nick Josefowitz for Supervisor 2018,4
"Committee for John Lovick - 2403 157th Pl SE, Mill Creek, WA 98012",4
Sasha for State,3
IVN News,3
"Merrill 2018, Holly Bates, Treasurer.  Approved by Denise W. Merrill, Candidate.",2
Alliance for a Better Minnesota Action Fund. Not Coordinated With Or Approved By Any Candidate Nor Is Any Candidate Responsible For It.,2
#VoteTogether,2
McCaskill for Missouri,1
"Julie 2019, Kate Conetta treasurer.",1
Angie Chen Button Campaign,1
the nonprofit Northwest Abortion Access Fund,0
the United States Holocaust Memorial Museum ,0
the Trump Make America Great Again Committee,0
the Republican National Committee,0
the North Carolina Democratic Party and Jennifer Benson for NC House.,0
the New Israel Fund,0
the National Democratic Redistricting Committee,0
the NRCC and not authorized by any candidate or candidate's committee.,0
"the Maine Republican Party, 9 Higgins Street, Augusta, Maine. Not paid for or authorized by any candidate.",0
the Democratic National Committee,0
Yes for Affordable Housing,0
Yamhill County Awareness,0
World Wildlife Fund,0
Working Families Party,0
"Winning For Women, Inc.",0
We Built This,0
Warnock 4 Oregon ,0
Turning Point USA,0
Trade for America,0
"Tony for Wisconsin. Connie Hutchison, Treasurer.",0
Tony for Wisconsin. ,0
Tom Umberg for Senate 2018 FPPC ID #1403029,0
The Western Journal,0
The Rutherford Institute,0
The Nature Conservancy in Oregon,0
The Kodel Party for America the Beautiful.,0
"The Election Information Advisory Committee, Supporting Tigard-Tualatin Schools",0
The Dude's Designs,0
Texans for Natural Gas,0
Tammy Baldwin for Senate,0
Swing Left. Not authorized by any candidate or candidate's committee.,0
Stewart for Senate,0
Stand Up America,0
Speaking Moderately,0
"Sky Took, LLC",0
Sinema for Arizona,0
Shireen for Congress,0
Sharice for Congress,0
Seafood Harvesters of America,0
Science for Humans and Freedom Institute,0
Save the Children Action Network ,0
Sarasota Citizen Martin Hyde,0
Sal Peralta,0
Rosen for Nevada,0
Rev. Dr. Chuck Currie,0
Re-Elect Colleen Roberts for County Commissioner,0
Ranker,0
PushBlack Now,0
Proud Right Winger,0
Priorities USA Action. (302) 469-3772. Not authorized by any candidate or candidate's committee.,0
PrintedKicks,0
Portside,0
Portland Democratic Socialists of America,0
Politicon,0
Pixley for Sheriff,0
Pfizer,0
Partnership for Oregon Communities,0
PSU's College of Urban and Public Affairs,0
PATHWATER - The First Purified Water in a BPA Free Reusable Aluminum Bottle,0
OuterGoods LLC,0
Oregonians For Safe Gun Storage,0
Oregon Right to Life PAC,0
Oregon AFL-CIO,0
Ocean Conservancy,0
No Kid Hungry,0
Newsom for California Governor 2018,0
National Domestic Workers Alliance,0
NRDC Action Fund,0
NRA,0
My Faith Votes,0
"MoveOn.org Political Action, pol.moveon.org, not authorized by any candidate or candidate's committee.",0
"MoveOn.org Political Action, not authorized by any candidate or candidate's committee.",0
MoveOn.org Civic Action.,0
Modern Medicaid Alliance,0
Mic,0
Melanie Nutter for BART Board 2018,0
March of Dimes,0
