PP Pennsylvania Advocates,430000,1053989
Tom Wolf,287000,779982
John Chrin for U.S. Congress,271000,854991
PSEA - PA State Education Association,200000,499999
AARP Pennsylvania Office,200000,499999
Humane Society Legislative Fund,198310,396615
Mike Kelly for Congress,150000,600988
One Pennsylvania,110000,250997
Shareblue Media,97000,304987
Ezra Nanes for Pennsylvania State Senate - 34th District,88999,376956
Americans for Prosperity - Pennsylvania,68000,295988
America First Policies,51002,256950
George Scott for Congress,50000,100998
Sierra Club,40000,171069
Progressive Turnout Project,35000,148987
Mark Pinsley,31000,140990
NextGen America,24150,227604
Tom McGarrigle for Senate,21000,105996
Mike Puskaric For State Representative,21000,104997
Jeremy Shaffer for PA State Senate,16997,69979
Christina Sappey for State Representative PA 158th,16000,67994
Steve Santarsiero for PA Senate,14990,61952
Washington County United,13000,37992
Write-in Ric Caruso PA US Senator,12000,61995
Tim O'Neal for State Representative,12000,59997
Southeast PA Victory,12000,44992
Hotel Workers for Stronger Communities,10556,21112
NumbersUSA,10051,50102
We Are PA,10000,50998
Conor Lamb,10000,50221
Tim Silfies For Congress,10000,49999
Sara for State Rep,10000,49999
Keystone Progress,10000,49999
Ken Krawchuk PA Governor 2018,10000,49999
Colorado Way,10000,49999
NRCC IE,10000,40991
Pennsylvania Leadership Committee,10000,36992
Clare Dooley for State Representative,9806,49031
ACLU,9202,23561
Teamsters,9000,32992
Kennett Democrats,7924,25649
Donald J. Trump,7030,27536
PennEast Pipeline,7000,19997
Tom Steyer,5027,36037
Leanne Krueger-Braneky,5000,9999
Jamie Santora for the 163rd,5000,9999
Free to Teach,5000,9999
Beaver County United,4000,21994
Fellerman & Ciarimboli,4000,20995
Pennsylvania Record,3000,15996
Our kids. Our commitment.,3000,14997
32BJ SEIU,2999,14994
VoteTogether,2053,15921
Dale Kerns for U.S. Senate,2000,27798
John Rafferty for PA Senate,2000,22985
We The People - Pennsylvania Action,2000,11996
Dr. Jenn Rager-Kay,2000,11996
David Nay Morrisville Borough Council 2nd Ward Representative,2000,9998
Vets For Jess,1993,11958
Andrew Dixon for PA 29,1865,9323
Better With Age,1005,6015
Fair Districts PA,1000,6997
Stop Child Predators,1000,5998
Solar Rebate,1000,5998
Pennsylvania Medical Society,1000,5998
Joe Webster for PA,1000,5998
Dana Hamp Gulick for PA 97th,1000,5998
Blair County Republican Women,1000,5998
Planned Parenthood Action,1000,5997
Philadelphia Young Republicans,1000,5975
Upper Chichester Democrats,1000,4999
Steve Snell for PA House - 94th,1000,4999
Polinchock for Pennsylvania 144th,1000,4999
Mary Auker-Endres for PA,1000,4999
Keith Rothfus,1000,4999
Kathy Martin for Wayne County,1000,4999
Goose in the Gallows,1000,4999
Erin Condo McCracken For PA,1000,4999
Dean Browning,1000,4999
Marguerite Quinn for PA Senate,999,6992
Living Free,999,4995
Anton Andrew for State Representative,997,4983
Charlton for PA,922,4612
SEIU Healthcare Pennsylvania,915,5574
Chesapeake Bay Foundation,912,1926
League of Women Voters of the U.S.,799,3998
The Watershed Institute,603,3015
The Daily Show,516,2600
Seth Moulton,491,2452
We The People Holsters,441,883
Democrats,434,1768
Judicial Watch,424,2120
Heifer International,399,2425
MoveOn,374,6108
Ben Shapiro,338,1691
Kyrsten Sinema,338,1346
International Rescue Committee,332,1662
Elisabeth Luntz for Utah House District 27,295,590
Strong Women Society,263,745
New Direction PAC,254,1270
The People's Trumpet,228,456
Our Flag Our Country,226,2125
Keep Them Accountable,223,1010
No Kid Hungry,221,538
Blue Wave,219,4114
The Devil We Know,179,358
45th President Donald J. Trump,159,844
League of Conservation Voters,155,1647
Proud Right Winger,149,927
National Democratic Redistricting Committee,120,614
End Citizens United,102,643
United States Holocaust Memorial Museum,99,593
Andy Kim for Congress,97,797
Liuba Grechen Shirley-Congress,92,1799
Elizabeth Warren,89,613
DiPietro For You,77,436
Defending Donald,70,351
The Nature Conservancy,58,292
Michael Gaddis for Bonsall School Board,54,269
Defenders of Wildlife,51,254
EMILY's List,49,1053
My Faith Votes,47,386
4ocean,47,236
Vote No on Janet Nguyen,46,250
Klean Kanteen,45,3199
topplr,44,299
