Tim Bjorkman,50000,204949
South Dakotans for Comprehensive Energy Solutions,42678,85355
Citizens for Tobacco Rights,42000,168984
No on IM-25,40000,199996
Randy Seiler for Attorney General,23000,115994
Yes on IM-25,10000,50998
Steve Swenson for Sheriff,9915,49576
Jason for South Dakota,7806,39027
Jeff Hayward for District 12 House,5000,9999
Rose Grant for Auditor,2991,16950
Kristi Noem,2000,10997
Tom for 14,1000,5998
South Dakota Right to Life Political Action Committee,1000,4999
Peri Pourier for SD House District 27,1000,4999
Ina Winter for SD Legislature,1000,4999
David Johnson,1000,4999
Brett Ries for SD House District 5 - Watertown,1000,4999
Yankton County Citizens for Responsible Govt,999,4994
Josh Haeder for State Treasurer,951,4753
Kyle Boese for State House,920,4601
Jeff Johnson,178,355
Donald J. Trump,163,751
Indivisible Guide,122,618
Concealed Online,61,309
Scholten4Iowa,58,142
Nine Line Apparel,51,102
Daily Wire,44,220
PragerU,37,185
American AF,36,103
Build With Strength,30,149
Trumpatwar,28,139
The Brookings Institution,28,138
Teamsters,27,133
Heifer International,27,133
Democratic Senatorial Campaign Committee (DSCC),23,46
Americans for Tax Reform,22,44
Animal Rescue Corps,21,104
National Republican Congressional Committee,20,406
Shield Republic,20,41
Our Flag Our Country,18,89
Catholic Relief Services,18,36
Nuclear Matters,17,35
Armed American Supply,15,80
Strong Women Society,15,38
American Values PAC,14,76
MoveOn,14,73
Elizabeth Warren,14,62
The Daily Show,14,60
Joe Biden,12,60
Dr. Tom Sherman,11,55
End Citizens United,9,21
MJ for Texas,9,18
Democrats,8,32
Kyrsten Sinema,7,24
Sierra Club,7,15
Aspire Fashion,6,66
National Popular Vote dot com,6,30
SiriusXM Radio,6,12
Save the Children US,6,11
Lebowski Lovers,5,80
Proud Right Winger,5,37
Disrupt Aging,5,30
32BJ SEIU,5,25
International Rescue Committee,4,26
Access Fund,4,19
45th President Donald J. Trump,4,18
Liuba Grechen Shirley-Congress,4,12
America with Eric Bolling,3,36
Alliance for a Better Minnesota,3,27
The Lipstick Lobby,3,16
Conservative Tribune,3,14
Jeff Merkley,2,42
Progress News Network,2,10
Jetties Bracelets,2,10
Waterkeeper Alliance,2,8
BoyerAZ,2,5
Impact Dog Crates,1,7
Connecticut Education Association (CEA),1,7
Nancy Soderberg for FL Congress District 6,1,6
New Direction PAC,1,4
Kenny Marchant,1,4
Independent Voter,1,4
America First Policies,1,4
Defending Donald,1,2
MedicareSupplement.com,0,5994
Mike Wiese for Brown County,0,2997
Doug Post for SD House District 7,0,2997
Stace Nelson,0,1998
Laura Swier Kotelman for Senate District 9,0,1998
Co-ops Vote,0,1998
Democratic Party,0,1552
Jason Coenen for Day County Sheriff,0,999
Bill Adamson for SD House District 7,0,999
Maggie's List,0,724
GOP,0,382
Blue Wave,0,101
Matthew Ung,0,93
Sharice for Congress,0,91
PrintedKicks,0,72
Friends of Glenn Thompson - Team GT,0,61
Exclusive Apparel,0,48
Science for Humans and Freedom Institute,0,45
Stand Up America,0,42
Energy Citizens,0,38
Dean Phillips for Congress,0,24
March of Dimes,0,21
Kash Jackson for Governor,0,16
Jon Tester,0,15
Human Coalition,0,13
VoteTogether,0,11
Go Vote Project,0,9
Alabama Political Reporter,0,8
Mike Levin,0,7
Amnesty International USA,0,7
POET,0,6
Christian Democrats of America,0,6
My Faith Votes,0,5
Learn Our History,0,5
Jacky Rosen for Nevada,0,5
EMILY's List,0,5
Cracked.com,0,5
Beto O'Rourke,0,5
Turning Point USA,0,4
Premium Care For Seniors,0,4
Kamala Harris,0,4
Jake Brown for Mesa,0,4
Healthy Montana Campaign,0,4
CARE,0,4
Tim Walz & Peggy Flanagan: A Minnesota for All of Us,0,3
Mayor Matt Hall,0,3
Conservative Gear,0,3
Animal Matters,0,3
Tim Walz for Governor,0,2
Ranker,0,2
Planned Parenthood,0,2
GUNVOTE,0,2
PushBlack,0,1
LCV Victory Fund,0,1
Corazon Coqui,0,1
