Senate Leadership Fund,483000,1558943
NumbersUSA,250000,599998
America First Policies,225000,984827
Phil Bredesen,217993,1639132
Marsha Blackburn,100000,200998
Sierra Club,27164,90812
Lt. Governor Randy McNally,26000,114996
Tennessee House Republicans,17000,69996
Civiqs,16000,64997
Judd Cowan,15000,60997
Joda for TN House 30,12754,50759
Tennessee Democratic Party,12000,68988
Susan Lynn for State Representative,12000,59997
Bob Freeman,11000,56996
Tennessee Business Daily,10000,49999
Kate Trudell for TN House District 16,10000,49999
Johnny C. Garrett for State Representative,10000,49999
Eddie Smith for State Representative,10000,49999
Keep Tennessee Republican,10000,19998
Energy Citizens,9887,21923
Tom Steyer,7000,24992
Kanew for Congress,6904,22758
Kelly Northcutt for State Senate,5000,28991
Molder for Mayor,5000,25994
Chris Todd for State Representative,5000,9999
Aaron Thomas for Gallatin City Council,4000,20995
Mike Palazzolo For Germantown Mayor,3000,14997
Dummycrats,2000,11996
Smoky Mountain Values,2000,10997
American Economic Freedom Alliance,2000,10997
"I'll go ahead and keep my guns, Thanks",1547,3095
Donald J. Trump,1214,13141
ATTN:,1160,2321
America's Future Foundation,1000,7996
"Shaun Alexander for Alderman - Thompson's Station, TN",1000,6997
David Adams For City Commission,1000,5998
Cumberland University,1000,5998
The Southern Alliance for Clean Energy,1000,5755
Williamson County Republican Party,1000,4999
Vote YES - Put Cleveland First,1000,4999
Tennesseans for Student Success,1000,4999
Stop Destroying Tennessee Farms,1000,4999
State Representative Jerry Sexton,1000,4999
Rutherford County Democratic Party,1000,4999
Paul Bailey,1000,4999
NRA Institute for Legislative Action,1000,4999
Clark Boyd-State Representative District 46,1000,4999
Cameron Sexton,1000,4999
Beverly Watson for Mayor,1000,4999
Derek Winkle for TN House - District 9,996,4979
Dennis Potvin,941,4703
State Rep. Dwayne Thompson,829,5141
Democrats,791,1721
Jason Mccraw for Mayor,492,2863
Judge Bob Vance for Chief Justice,380,759
Live Action,378,808
VoteTogether,363,1870
FloridaStrong,294,589
League of Conservation Voters,262,4130
Sarah Godlewski for Wisconsin State Treasurer,249,497
David Ramey,216,1079
Circa,178,482
The Daily Show,168,870
End Citizens United,168,337
Good God,164,328
Catholic Relief Services,146,729
Mi Familia Vota,130,260
United States Holocaust Memorial Museum,124,267
Janet Garrett for Congress,123,613
Exclusive Apparel,122,1022
Clila- Coalición De Líderes Latinos,107,771
Strong Women Society,104,275
Swing Left,99,1988
The People's Trumpet,98,195
Stefanie Kingsley,86,428
Porsche Middleton for City Council,65,323
Progress NC Votes,62,310
Debra Hembree Lambert for Kentucky Supreme Court,51,127
Amnesty International USA,47,125
Cooperative Action Network,45,227
Paul Cummings for BART Director,43,217
Ryan Hampton,43,214
Parks Project,43,214
James Thompson for Kansas,43,153
Vito Glazers,42,209
National Republican Congressional Committee,41,1425
SEIU,41,205
2nd Amendment Rights,40,218
We Can Solve This,40,201
Vickie Yates Brown Glisson,40,79
Proud Right Winger,33,210
We The People Holsters,32,161
Republican Governors Association (RGA),32,158
DownsizeDC.org,32,158
45th President Donald J. Trump,31,204
March of Dimes,30,284
Liuba Grechen Shirley-Congress,30,238
Armed American Supply,30,187
45 Hats,30,148
Blue Wave,29,725
Bill O'Reilly,29,146
MoveOn,28,2149
EMILY's List,27,285
Claire McCaskill,27,136
Manhattan Institute for Policy Research,26,131
Klean Kanteen,24,671
Kelly Rossman-McKinney for State Senate,24,122
Indivisible Guide,23,1140
Independent Voter,21,154
Jeff Merkley,19,550
National Democratic Redistricting Committee,19,156
Mike Levin,18,92
When Democrats Turn Out,18,91
Trade For America,18,89
State Representative Julie Olthoff,18,36
Kamala Harris,13,125
Eric Garcetti,13,63
