Marsha for Senate,100000
NumbersUSA,50000
Tennessee Business Daily,10000
Johnny C. Garrett for State Representative,10000
"Friends of Kate Trudell. James Gurley, Treasurer.",10000
"Friends of Bob Freeman, Stephen Zralek Treasurer",10000
Civiqs,10000
"Campaign to Elect Eddie Smith, Dale Bailey Treasurer",10000
Tennessee House Republican Caucus,5000
Sierra Club,5000
Judd Cowan for State Representative,5000
Friends of Randy McNally,5000
Friends of Chris Todd for State Representative,5000
2A4LIFE LLC,1547
ATTN:,1160
Williamson County GOP,1000
Vote Yes - Put Cleveland First,1000
The American Mirror ,1000
Tennesseans for Student Success. Not authorized by any candidate or candidate’s committee.,1000
Stop Destroying Tennessee Farms,1000
Southern Alliance for Clean Energy.,1000
Shaun Alexander,1000
Senate Leadership Fund,1000
"Rutherford County Democratic Party, Alreen Kohn, Treasurer",1000
Paul Bailey for State Senate,1000
Need to Impeach,1000
Molder for Mayor,1000
Joda for TN-30,1000
Friends of Susan Lynn,1000
"Friends of Kelly Northcutt, Veronica Bosnak, Treasurer",1000
Friends for Mike Palazzolo,1000
Cumberland University,1000
"Committee to Elect Jerry Sexton, Terry Winstead Treasurer",1000
Committee to Elect Clark Boyd ,1000
Candidate and Friends ,1000
"Cameron Sexton for State Representative, Mark Elmore Treasurer",1000
"American Economic Freedom Alliance, Inc.",1000
America's Future Foundation,1000
"Aaron Thomas / Brianna Thomas, Treasurer",1000
The Committee to Elect Derek Winkle,996
The Committee to Elect Dennis Potvin,941
Committee to Elect Judge Bob Vance,380
Florida Strong Action PAC independently of any candidate.,294
Sarah Godlewski for State Treasurer,249
Ramey for Kentucky House,216
Comedy Central,168
Good God,164
Mi Familia Vota,130
the United States Holocaust Memorial Museum ,124
Janet Garrett for Congress,123
"Sky Took, LLC",104
End Citizens United,104
The People's Trumpet LLC,98
"Stefanie Kingsley, Candidate KYHD 82",86
Porsche Middleton for Citrus Heights City Council 2018 ID #1399258,65
Amnesty International USA,47
National Rural Electric Association,45
Ryan Hampton,43
"Paul Cummings, Director for a Better BART 2018",43
Vito Glazers,42
The Years Project,40
One Nation Design,40
Glisson for Congress,40
SEIU,39
Proud Right Winger,33
WeThePeopleHolsters ,32
"Right Direction Wisconsin PAC, Michael Adams, Treasurer. Not authorized by any candidate or candidate’s agent or committee.",32
Downsize DC,32
OuterGoods LLC,31
Armed American Supply,30
45 Hats,30
National Media Distribution Services,29
Bill O'Reilly Staff,29
McCaskill for Missouri,27
Manhattan Institute,26
#VoteTogether,26
"Donald J. Trump for President, Inc.",25
Klean Kanteen,24
 Friends for Kelly Rossman-McKinney,24
James Thompson for Kansas,21
Parks Project,20
When Democrats Turn Out PAC,18
Voters for Julie Olthoff,18
Trade for America,18
Mike Levin for Congress,18
