Elect Carolyn Long,100000
Humane Society Legislative Fund,50000
Washington Healthy Kids Coalition,10000
The Nature Conservancy,10000
South King County Deserves Better,10000
National Rifle Association,10000
George Steele,10000
"Friends of Sharon Brown 6855 W. Clearwater Ave #101-143, Kennewick WA 99336",10000
Crosscut,10000
"Clean Air Clean Energy Washington 4347 Roosevelt Way NE Seattle, WA 98105",10000
Stand With Checkers,5000
Sasha for State,5000
Retain Judge Kahler,5000
Friends of Joe Fain,5000
Families Yes,5000
Committee to Elect Kevin Schmelzlen ,5000
Arts & Culture Coalition of Pierce County,5000
" Carolyn Eslick Campaign  2018    P O Box 776 Sultan, WA 98294",5000
Media Research Center,1062
the ACLU of Washington,1000
cindy callahan carter,1000
William Slater,1000
"Whatcom Democrats, Phone: 360-647-7661 215 W. Holly St. Suite B-27, Bellingham WA 98225",1000
Whatcom County Republican Party,1000
Whatcom County Democrats,1000
"Vote Jamie Smith, PO Box 1342, Puyallup, WA 98371, (253) 200-6260",1000
Vote Bud Blake ,1000
The Fourth Corner INC,1000
The Committee to Elect Travis Brandt for Chelan County Superior Court Postion #2,1000
The Committee to Elect Joe Lindquist,1000
Spokane Public Schools,1000
South Seattle Emerald,1000
Sequim Library Vote Yes Committee,1000
People for Prosecutor Mark Lindquist,1000
"Pauley for KPUD (NP), PO Box 1883, Silverdale, WA 98383",1000
Partnering for Spokane's Future,1000
Paid for by ElectLebowsky,1000
Lisa Brown for Congress,1000
Karl Williams for Judge,1000
Jeff Asher for Sheriff,1000
Fuse Washington,1000
Friends to Elect Robert Udell For Sheriff,1000
"Friends of Maralyn Chase for Senate, PO Box 77267 Seattle WA  98177",1000
Friends of Jessa Lewis,1000
First American Project PAC. ,1000
Everytown for Gun Safety Action Fund. Not authorized by any candidate or candidate’s committee.,1000
"Elect Justin Boneau (D) P.O. Box 996 Bellingham, WA 98227",1000
Elect Dave Neupert Committee,1000
Earthjustice,1000
Dr. Kim Schrier for Congress,1000
Derek Smith for Judge,1000
Delbene for Congress,1000
Dan Harder for 43rd LD,1000
"Committee to ReElect Drew MacEwen, Republican",1000
Committee to Elect John Hart to Whitman County District Court,1000
Committee to Elect Cecily Hazelrigg Hernandez,1000
Commitee to Elect William Leach for Coroner,1000
City of Tacoma,1000
Citizens for Everett Medic One,1000
By the committee to Elect Jamie Raebel Benton County Coroner,1000
AARP Washington State,1000
Friends to Re-elect Shon Small for Benton County Commissioner ,982
Diana Izaguirre for Franklin County Auditor,965
CHRIS THOBABEN COMMITTEE TO ELECT FOR STATE REPRESENTATIVE,787
Ted Cruz for Senate,762
Washington State Democratic Party,665
United Moms,543
Sinema for Arizona,418
Catholic Relief Services,366
Commonwise,299
Comedy Central,291
Positive Christian Purity,272
PragerU ,263
Facing History and Ourselves,227
Nine Line Apparel,210
"4Ocean, LLC",185
WeThePeopleHolsters ,180
Loretta Smith for Portland City Council,169
Conrad N. Hilton Foundation,169
Inspiration Ministries,166
League of Conservation Voters,125
Nuclear Matters,123
GOP Gifts,86
IVN News,80
