Americans for Prosperity,448000,1053978
Dan Kohl,260000,549996
Tammy Baldwin,200000,423974
Restoration PAC,130000,349996
NextGen America,125000,562090
Our Lives Our Vote,121000,308992
Wisconsin Progressives,85000,259995
Human Rights Campaign,80000,249996
Play Fair Wisconsin,44705,208640
Republican Governors Association (RGA),27068,135342
Wisconsin Assembly Democrats,25000,110996
Mark Martello for Assembly District 35,25000,109997
Wisconsin First Political Fund,20000,99998
Leadership MKE,18000,173898
Shareblue Media,15007,30032
AFL-CIO,15000,62995
NextGen Wisconsin,15000,59998
Robyn For Wisconsin,14998,59990
Lori Hawkins for Wisconsin,12000,29996
Caleb Frostman for State Senate,11000,28993
Rebecca Kleefisch,10000,49999
Rebecca Clarke for Wisconsin Assembly 26,10000,49999
Treig E. Pronschinske For 92nd Assembly District,10000,19998
Teamsters,9000,32992
Tony Evers,8000,63435
Lee Snodgrass for State Senate,8000,24996
Swing Left,6173,33988
Erin Tracy for State Assembly,6000,37986
Tom Palzewicz for Congress,5000,52967
Pat Snyder for the 85th Assembly,5000,9999
Yorgan for Congress,4999,9996
Indivisible Guide,4584,23927
Albert Rohland,4297,8594
For Our Future WI,4000,19996
ACLU,3396,9533
Waukesha County Democratic Party,3000,16995
The Voter Participation Center,3000,16995
Plumer for Assembly,3000,14997
National Association for Gun Rights,3000,14997
Speak Up For Education and Kids,2000,17990
Dennis D Degenhardt for Assembly,2000,13994
Chris Rahlf for State Assembly,2000,11996
Wren for Wisconsin,2000,10997
David Zoerner for Kenosha County Sheriff,2000,10997
Mark Born for Assembly,2000,9998
Jim Ott for Assembly,2000,9998
Dennis4WI,2000,9998
Donald J. Trump,1555,10688
Elizabeth Riley For Assembly,1000,6997
Wisconsin State Representative John Nygren,1000,5998
Wisconsin Justice Initiative,1000,5998
WisconsinEye,1000,4999
Wisconsin Institute for Law & Liberty,1000,4999
WI Fair Elections Project,1000,4999
The Nature Conservancy in Wisconsin,1000,4999
Supervisor Calvin Callahan,1000,4999
Solar Energy Today,1000,4999
Rod Dicus for Dunn County Sheriff,1000,4999
River Alliance of Wisconsin,1000,4999
Niemeier for Trempealeau County District Attorney,1000,4999
NARAL Pro-Choice America,1000,4999
Democrats,963,1960
Todd Novak for 51st Assembly District,940,4700
Gae Magnafici for WI Assembly District 28,729,3643
League of Women Voters of the U.S.,632,3191
The Daily Show,576,2492
Claire McCaskill,572,1144
Michigan League of Conservation Voters,549,1099
National Public Pension Coalition,495,990
Local Majority,467,933
Alliance of Nurses for Healthy Environments,387,1936
PragerU,276,1378
CREDO Mobile,253,1274
Making Every Vote Count,229,459
The Devil We Know,211,1091
Humane Society Legislative Fund,210,1048
Blue Wave,182,1832
Janet Garrett for Congress,159,795
"I'll go ahead and keep my guns, Thanks",152,762
Judge Donna Honzel,150,748
America with Eric Bolling,139,694
March of Dimes,127,939
EMILY's List,122,705
Fischer for Representative,112,561
45 Hats,83,166
Gus Bilirakis for Congress,83,165
Proud Right Winger,78,448
Finance Watchdogs,74,372
NowThis Politics,73,364
Brian 'BAM' McClendon,73,364
Nine Line Apparel,69,138
Independent Voter,66,328
Dough,61,306
Kyrsten Sinema,58,290
We The People Holsters,58,115
Politicon,53,107
Angie Craig,48,125
Elect Brian Stewart,46,245
Concealed Online,42,221
Steve Gaynor,42,210
Allison Gilman For Judge,40,201
Beto O'Rourke,39,193
VoteTogether,37,386
Ronny Johns,37,184
Multiply Your Vote,31,156
Strong Women Society,28,209
Catholic Relief Services,28,140
Liuba Grechen Shirley-Congress,28,138
NumbersUSA,28,67
American AF,27,136
Environmental Defense Fund,26,405
Giffords,26,116
DefendArizona,25,124
Kirsten Gillibrand,23,114
Doctors Without Borders/ Médecins Sans Frontières (MSF),23,114
The Nature Conservancy,22,125
Disrupt Aging,22,112
2nd Amendment Rights,22,111
UnitedVoice.com,22,108
Elizabeth Warren,21,163
Build With Strength,20,621
The Nib,18,106
Human Coalition,18,91
Keep Them Accountable,18,84
San Antonio Professional Fire Fighters Association,17,87
Greenpeace USA,16,104
Your Trump Shop,16,79
International Rescue Committee,16,78
Progress NC Votes,16,38
LCV Victory Fund,15,859
Stop Wage Theft Now,15,73
Americans for Farmers & Families,14,68
News Procession,13,65
45th President Donald J. Trump,13,64
Jetties Bracelets,12,62
Premium Care For Seniors,12,61
Change vs. More of the Same,12,61
Vote No on Janet Nguyen,12,60
John Lovick,12,25
SMU,11,54
Alliance Defending Freedom,11,54
National Republican Congressional Committee,10,423
IL-14 Get the Facts,10,50
Science for Humans and Freedom Institute,9,264
Alliance for a Better Minnesota,9,46
America First Policies,9,45
Cottie for State Assembly,9,44
Dan Feehan for Congress,9,21
BoyerAZ,8,16
SEIU MN State Council,8,15
Gary Snyder for State Senate,7,33
Paul Pate for Iowa,5,26
Cort VanOstran for Congress,5,25
Todd Kaminsky,5,9
Right Now MN,4,18
Kathy Hoffman,3,17
Better With Age,3,15
FloridaStrong,3,14
Erika Harold,3,12
America First Action,2,50
Environmental Voter Project,2,10
Living Free,2,9
Kurland for Arizona House 23,2,9
Lauren Underwood for Congress,2,5
Randy Hultgren,2,4
SEIU,1,7
James Thompson for Kansas,1,6
NRCC IE,1,5
Congressman Peter King,1,5
Right Now USA Superpac,1,3
Democratic Party,0,12527
MoveOn,0,8280
Tom Steyer,0,7992
Dr. Katherine Gaulke,0,5994
GOP,0,4889
