California,13505399
Florida,11166537
Texas,9922739
Minnesota,7730638
Georgia,7283039
Nevada,5933170
Michigan,4432440
Illinois,3941890
Arizona,3842788
Montana,3498654
Colorado,2883910
Pennsylvania,2719768
Ohio,2633337
Massachusetts,2488138
Washington,2318880
North Carolina,2138735
Wisconsin,1843393
New York,1706579
Missouri,1673211
Tennessee,1555950
Mississippi,1480837
Kansas,1330796
Indiana,1276081
Alaska,1072573
Maryland,1034557
Oregon,986338
New Jersey,926933
Maine,873547
Iowa,802711
West Virginia,775877
New Mexico,650567
Kentucky,636738
Virginia,625029
Arkansas,620756
Utah,556895
Alabama,538381
Connecticut,533102
Nebraska,354161
Oklahoma,342945
North Dakota,289747
Louisiana,288258
Rhode Island,261997
New Hampshire,254007
South Dakota,245530
Delaware,200879
South Carolina,188360
Idaho,165854
Wyoming,128006
Hawaii,103924
District of Columbia,97507
Vermont,60232
