HOTLIST.VOTE,893,1786
GLSEN,700,3501
Epitaph Records,676,1353
Massachusetts Democratic Party,341,682
Minnesota DFL Party,268,671
Giving Brush,251,501
Freedom for All Massachusetts,224,449
TIDAL,220,439
Campus Relay For Life & CAC,184,368
Tim Walz for Governor,182,455
Stand Up for Ohio,157,313
Yes on 7G,155,310
Dan Patrick,154,384
Americans for Tax Reform,140,351
Microsoft,137,273
Ohioans for a Healthy Economy,129,323
Campaign for Southern Equality,128,256
AFL-CIO,117,293
Progress California supporting Ricardo Lara for Insurance Commissioner 2018,109,217
Forward Together,108,539
Downtown for Democracy,106,213
LPAC,104,522
Laura Christman for Mayor of Cherry Hills Village,103,205
Orman for Kansas,100,201
The Institute for Agriculture and Trade Policy,99,197
Andrew Gillum,90,179
Glastonbury Democratic Town Committee,86,172
National Horizon Action,85,171
TJ Cox for Congress,81,163
PAC+,78,196
Humane Society International,78,155
For Our Future Ohio,77,154
Our Oregon,71,356
Bob Casey,67,134
Nevada Conservation Political Action,65,129
No Cuts to Care: No on Measure 106,64,320
New American Jobs Fund,62,156
No Prop 6,62,123
Ralph Atchue for AZ Senate LD11,58,116
Generation Progress,57,286
Ohio In the Know,55,109
Republican Party of Texas,53,105
RepresentUs,51,101
Miaz,49,99
SEIU Healthcare Pennsylvania,49,97
Irvine Community News & Views,47,95
Care2,46,228
National Student Council,45,226
Yes On 1631,45,113
NowThis Her,44,219
"Cynthia Flores for Texas State Rep, District 52",44,89
Dunleavy for Alaska,44,88
Beacon,43,213
Tony Evers,42,209
Jewish Democratic Council of America,40,80
Be a Colorado Voter,40,80
Re-Elect Ben Chipman for State Senate,39,195
RALI Nevada,39,77
ACLU,38,190
Indiana Votes,38,76
Bill Huizenga,36,71
The California Endowment,35,176
Richard Cordray,35,69
Ohio Student Association,34,169
The Tribal Resistance,34,168
California Progressive PAC,34,69
Democratic Party of Georgia,34,68
Wisconsin Leadership Committee,33,166
Vote NO on 1631,33,67
Suit Up Maine,32,162
James G. Leslie For State Rep.,32,158
Me Too Ohio,32,64
Strange Kind of Grown Up,31,157
Penzeys Spices,31,155
Gray Chynoweth For NH,30,150
CRP IE,29,59
Dave Yost,29,58
New York State Democratic Party,28,56
NYC Votes,28,56
Jovanka Beckles,27,53
When We All Vote,26,131
Josh Lowenthal,25,125
Mel Hall,25,124
CopsOuttaCampus,25,124
Farm Credit,25,122
Citizens for Justice Chutich,24,121
Grassroots Oregon Voters,24,120
Gerry Connolly,24,120
"Iowa Federation of Labor, AFL-CIO",24,119
Robb for Council,24,49
Secure Nevada's Future,24,48
Defend Oregon,22,109
Jeremy Cooney,21,105
Positive Christian Purity,21,103
Tyler August for State Assembly,20,99
Blue Minnesota,20,98
Leah Shapiro for Judge,20,40
Jim McGovern,20,39
iSideWith.com,19,97
Victor for Thurston County Prosecutor,19,97
NARAL Pro-Choice Ohio,19,95
Keep Justice Jennifer Caughey,19,95
I'm for Grover,19,95
North Bay Labor Council,19,94
Peter Franchot,19,39
FreeAmerica,18,92
Steve Simon for Secretary of State,18,91
Aaron For Lummi Nation,18,91
Michigan Leadership Committee,18,88
Reality Alert & Election Forum,18,36
Union of Concerned Scientists,17,87
Military Tees,17,87
Lauren Underwood for Congress,17,87
National Wildlife Federation,17,85
Michela Skelton for the 50th,17,83
We All Do Better,17,34
State Senator Yvanna Cancela,17,34
Kali Fox Miller,17,34
act.tv,17,33
OurStates,17,33
CFG Action,17,33
Joey Brunelle for Portland,16,82
Planned Parenthood Action,16,81
Vote Together NC,16,78
"Access Reproductive Care-Southeast, Inc.",16,78
Frank Luntz,15,77
Florida State Representative Shawn Harrison,15,30
Yes on One,15,29
"VOTE- Lorena Chavez, East Side Union High School District School Board",15,29
Citizens Clean Elections Commission,14,72
Spectrum News NY1,14,71
SoCal Health Care Coalition,14,71
DoSomething.org,14,71
Brad Schneider,14,71
Turning the Tide,14,70
Vote Atul Deshmane,14,69
AFT - American Federation of Teachers,14,68
Texans for Ryan McConnico,14,28
Fuse Washington,14,28
TNTP,13,67
Oxfam,13,67
Linsey Fagan for Texas,13,67
Jeremy Jones,13,67
"We Support Jesse Salomon for State Senate: Effective, Proven Leadership",13,66
Justice Cindy Olson Bourland,13,65
iAmerica Action,13,63
Milwaukee Pride,13,63
Environment North Carolina,13,26
2020 Front Runner,13,26
Stop the Liberals,13,25
Rodney Glassman,12,62
Vote James Erb,12,61
"Maureen Kursh Reister for Justice of the Peace, Denton County, Pct 2",12,61
Lime,12,61
Greater Irvine Education Guide,12,61
Airbnb Citizen,12,61
Planned Parenthood Votes Colorado,12,60
Let's Go Colorado,12,59
ATPE - Association of Texas Professional Educators,12,59
The Fighting for Families Fund,12,58
Progressive Turnout Project,12,58
Planned Parenthood Votes Northwest and Hawaii,12,58
Mary Montgomery for Montgomery County Common Pleas Court Judge,12,58
Mallory Hagan for Congress,12,24
CVNM Verde Voters Fund,12,24
Arcadia Power,12,24
Conor Lamb,12,23
Mexico Joe,11,57
Claudia Tenney Wrong for NY,11,57
Alliance for Climate Education,11,56
Civiqs,11,55
Ryan Sullivan For State Delegate MD 7th,11,54
Ohio Senate Democrats - Campaign Team,11,54
Washington State Democratic Party,11,53
Sierra Club,11,53
One Colorado,11,53
FloridaStrong,11,53
Communities Engaged,11,53
Advanced Energy Economy,11,53
Tacoma Creates,11,22
Save the Children Action Network,11,22
A Better Illinois,11,22
YES 110 the Best Choice for Solon's Future,11,21
Nate McMurray for Congress,11,21
Faith and Freedom Coalition,11,21
Our New President,10,52
Sierra Club Michigan Chapter,10,51
Higher Heights for America,10,51
Women For Civility,10,50
Saturn for Utility Commissioner,10,50
Jahana Hayes,10,49
Patagonia,10,48
Captains for Clean Water,10,48
Florida Strong,10,19
Yale Politics Initiative,9,47
Utah Democratic Party,9,47
Merritt Wiseman for City Council,9,46
Laura Kelly,9,46
Fred Akshar,9,46
Bill Barry for Sheriff,9,46
Sangamon County Young Democrats,9,44
Michigan Realtors,9,44
Jefferson County Sheriff's Office,9,44
Bri For Colorado,9,43
CM Voter Center,9,18
Alyse Galvin for Congress,9,18
"Yes on 3, the Energy Choice Initiative",8,42
Paul Lilly for Brown County Judge,8,42
Paul Cusack,8,42
Oregon League of Conservation Voters,8,42
Lizzie Pannill Fletcher for Congress,8,42
NumbersUSA,8,41
"Joe A. Cloud, MD for State Rep",8,41
New Direction PAC,8,40
Joe Morelle for Congress,8,39
Firefly Engagement,8,39
Arati Singh for AISD Trustee,8,39
We are Houston Democrats,8,38
Mary Throne for Governor,8,38
Julie Johnson for Texas,8,38
Josh Revak for House,8,16
"Tracy Pratt for State Representative, District 71",8,15
Sharon Girard for AZ Senate LD8,8,15
LCV Victory Fund,8,15
The Nature Conservancy in Minnesota,7,37
Mike Dunleavy for Governor,7,37
Lena Epstein,7,37
Conservative Tribune,7,37
Buress For Assembly,7,37
UAW Region 2B,7,36
Riley for WV House,7,36
Representative Dafna Michaelson Jenet,7,36
Family Friendly PAC,7,36
Wisconsin Progressives,7,35
Progress NC Votes,7,35
Maresh For House,7,35
Ilhan Omar for Congress,7,35
Full Voter Participation Act,7,35
Working Michigan,7,34
Progressive Sarasota,7,34
Councilmember Derek M. Young,7,34
Chief Seattle Club,7,34
Zak Ringelstein,7,33
Ted Cruz,7,33
Politrip,7,33
Perrier 2018,7,33
Aaron Ammons For County Clerk,7,33
Vote Bobby O,7,14
Vote Jon Ford,7,13
Representative Carlos Guillermo Smith,7,13
North Dakotans for Public Integrity,7,13
No to Northern Pass,7,13
Mia Jones For Tax Collector,7,13
Martin Heinrich,7,13
Families For Trump,7,13
Elect Carolyn Long,7,13
"Students, Parents, and Teachers Supporting Marshall Tuck for Superintendent",6,32
Restoration PAC,6,32
New Mexico Working Families Party,6,32
Guillermina Gonzalez for Delaware,6,32
Vote No on Kelly Chambers,6,30
Troup Together,6,30
TakeAction Minnesota,6,30
No on Prop 109,6,30
Transparency in Government,6,29
Spokane County Democrats,6,29
Marsha Blackburn,6,29
Don Turner Jr. for VT Lieutenant Governor,6,29
Crush Cruz,6,29
Claudia Tenney for Congress,6,29
Christmas On Knob Hill,6,29
Brian M. Middleton for District Attorney,6,29
"Scott Field for Justice, 3rd Court of Appeals",6,28
Felicia French for Arizona,6,28
Todd White-El Dorado County Recorder-Clerk,6,13
Steven Bolen For Maryland,6,13
James Ramos for Assembly,6,13
Charlie Norr,6,13
Brian Watson for CO Treasurer,6,13
Battle Born Progress,6,13
"Wood Cooper & Peterson, LLC",6,12
WHO is John Brooks?,6,12
Vermont Conservation Voters,6,12
McKenzie River Trust,6,12
Kate Brown,6,12
Jen Jordan - GA State Senator District 6,6,12
Jeff Pravato for Senate,6,12
Penny for Transportation,6,11
Vote No On Amendment 1 WV,5,27
Sue Chalifoux Zephir for State Senate,5,27
See The Dance,5,27
Political Icons,5,27
Ned Burns for Bellevue Mayor,5,27
E. O. Wilson Biodiversity Foundation,5,27
Ammar Campa for Congress,5,27
The Center on Policy Initiatives,5,26
SoccerCity SD,5,26
SLO County Votes,5,26
MoveOn,5,26
Miners for West Virginia,5,26
Kenneth Mejia for Congress,5,26
Jim Harper for Secretary of State,5,26
Devin Nunes,5,26
