Tim Walz for Governor,63562,127123
"Walker Stapleton: Wasteful, Incompetent",50376,125939
Jordan for Governor,38515,96288
Citizens Energizing Michigan's Economy,30786,76965
The Truth About Adam Laxalt,29755,74388
Powerpac GA,26883,67207
Protecting America Now,26559,66397
George Scott for Congress,23520,58800
Southern Environmental Law Center,23258,58146
Stand Up for Ohio,22443,44886
NO on 3,20392,40783
Virginia 12th,20291,40581
Republican State Leadership Committee,20038,40075
Harry Arora,19329,38658
Missouri Farm Bureau,18682,37363
SEIU District 1199,18449,36897
TJ Cox for Congress,18014,36028
Nathan Johnson for TX Senate,16119,32237
Coloradans for Responsible Energy Development,15906,31811
FRC Action,15381,30762
Deidre DeJear,15195,30389
AFL-CIO,15026,30052
Collin County Votes,14458,28916
American Values PAC,14073,28146
International Rescue Committee,13610,27220
A Healthy Future,13155,26309
Cook County Judges,11990,23980
Boricua Vota,11965,23930
John Cox for Governor 2018,11554,23108
Kwame Raoul,11377,22755
Securing Ohio,11266,22532
NumbersUSA,10680,21360
Pete Sessions,10109,20217
Scott Noto For Judge - Kent County Circuit Court,9970,19940
SEIU Florida,9967,19933
Congressional Leadership Fund,9930,19859
Avocado Green Mattress,9885,19770
PAC+,9240,18480
Clean Missouri,8955,17909
Renee Fontenot Free Secretary of State,8848,17697
Fight for $15,8835,17670
Nathan Fletcher for County Supervisor 2018,8379,16757
KSDK News,8176,16352
Know Colorado,7987,15973
Better Government Committee of the San Manuel Band of Mission Indians,7867,15733
Tish James,7571,15142
Choose Me Not 3,7490,14980
Harry He For Assembly 2018,7211,14421
Mark Harris Not For Us,7161,14322
Pallone For New Jersey,7061,14122
For Our Future Ohio,6736,13471
Republican Party of Texas,6671,13343
Mike Johnson,6666,13331
Richmond Progress PAC,6487,32434
Brush Fires PAC,6477,12954
The Well News,6454,12907
Chellie Pingree,6304,12608
Sounds Like Tennessee,6253,12506
One Arizona,6149,12298
OPH PAC,6128,30639
The Joe You Don't Know,6071,12141
PLAN Action Fund,5906,11812
Hoosier Horizon,5682,11363
Dean Heller,5591,11182
Kelly Rossman-McKinney for State Senate,5327,10655
Amber Gustafson,5258,10515
Faith and Freedom Coalition,5149,10297
Ethos Research,4624,9248
Here For This,4350,21749
Measure AA: the Oakland Children's Initiative,4130,20650
Geoff Diehl,3978,7956
Ohio In the Know,3777,7553
RevZilla,3710,18550
SAGE,3654,18268
Brian 'BAM' McClendon,3440,17200
Julia Brownley for Congress,3403,17015
Veterans and Affordable Housing Act,3387,16935
Communities Engaged,3170,15852
Assemblymember Adrin Nazarian,3140,15700
Sam4AISD,3059,15293
Matthew Corey for U.S. Senate,3034,6068
Carol Donovan Dallas County Democratic Party Chair,2835,5671
American AF,2726,5451
Roberts for Judge,2694,5388
Elect Raj Kathuria 2018,2640,13198
Mark Stewart,2631,5261
John Wilson,2581,5162
Safe Streets Arvada,2555,12773
Roger Wicker,2531,12653
